,Zip,Best Season,2nd Best Season,3rd Best Season,4th Best Season,Off Season,Best color,ZObjects,Lat,Lon,Closest Station,Best Precip,Best Temp,Ranking
Acadia NP,4660,8,7,9,6,12,teal,<Zip: 04660>,44.31,-68.36,USC00170100,8,11,7.0
Arches NP,84532,5,6,7,8,1,yellow,<Zip: 84532>,38.45,-109.6,USC00425733,6,10,13.0
Badlands NP,57790,7,8,6,9,2,green,<Zip: 57790>,43.99,-102.23,USC00398911,1,5,49.0
Big Bend NP,79834,3,4,11,2,7,orange,<Zip: 79834>,29.28,-103.18,USC00416792,3,7,20.0
Biscayne NP,33032,7,5,6,8,12,green,<Zip: 33032>,25.46,-80.45,USW00012826,0,0,46.0
Black Canyon of the Gunnison NP,81415,7,6,8,9,2,green,<Zip: 81415>,38.7,-107.6,USC00056306,6,10,50.0
Bryce Canyon NP,84764,7,8,9,6,1,green,<Zip: 84764>,37.63,-112.2,USC00421008,6,8,30.0
Canyonlands NP,84532,5,9,6,4,1,yellow,<Zip: 84532>,38.45,-109.6,USC00425733,6,10,16.0
Capitol Reef NP,84775,9,5,6,7,1,blue,<Zip: 84775>,38.33,-111.06,USC00421171,12,8,15.0
Carlsbad Caverns NP,88220,7,6,3,8,1,green,<Zip: 88220>,32.4,-104.23,USC00291469,1,9,38.0
Channel Islands NP,93001,7,8,6,5,12,green,<Zip: 93001>,34.33,-119.31,USC00049285,7,2,25.0
Congaree NP,29061,3,4,5,10,12,orange,,33.92,-80.84,USC00387683,4,8,59.0
Crater Lake NP,97604,7,8,9,6,12,green,<Zip: 97604>,42.92,-122.12,USC00351946,8,3,29.0
Cuyahoga Valley NP,44141,7,6,8,5,11,green,<Zip: 44141>,41.3,-81.61,USW00004853,1,7,35.0
Death Valley NP,92328,4,3,8,9,12,gold,<Zip: 92328>,36.29,-116.45,USC00260150,6,2,5.0
Denali NP & PRES,99755,7,8,6,9,12,green,<Zip: 99755>,63.64,-148.81,USC00505778,3,7,10.0
Dry Tortugas NP,33040,5,7,6,4,9,yellow,<Zip: 33040>,24.55,-81.78,USW00012836,2,9,40.0
Everglades NP,33030,3,2,1,4,9,orange,<Zip: 33030>,25.46,-80.45,USW00012826,0,0,17.0
Gates of the Arctic NP & PRES,99721,7,8,6,9,10,green,<Zip: 99721>,68.15,-151.71,USW00026533,3,8,57.0
Glacier Bay NP & PRES,99826,7,8,6,9,12,green,<Zip: 99826>,58.42,-135.78,USW00025322,4,11,27.0
Glacier NP,59936,7,8,6,9,12,green,<Zip: 59936>,48.61,-113.81,USC00248809,8,6,8.0
Grand Canyon NP,86052,7,8,6,5,1,green,<Zip: 86052>,36.3,-112.08,USC00021001,6,1,2.0
Grand Teton NP,83012,7,8,6,9,11,green,<Zip: 83012>,43.65,-110.72,USC00486428,7,12,12.0
