,Zip,Best Season,2nd Best Season,3rd Best Season,4th Best Season,Off Season
Abraham Lincoln Birthplace NHP,42748,,,,,
Acadia NP,4660,,,,,
Adams NHP,2169,,,,,
African Burial Ground NM,10007,,,,,
Agate Fossil Beds NM,69346,,,,,
Alibates Flint Quarries NM,79036,,,,,
Allegheny Portage Railroad NHS,16641,,,,,
Amistad NRA,78840,,,,,
Andersonville NHS,31711,,,,,
Andrew Johnson NHS,37743,,,,,
Aniakchak NM & PRES,99613,,,,,
Antietam NB,21782,,,,,
Apostle Islands NL,54850,,,,,
Appomattox Court House NHP,24522,,,,,
Arches NP,84532,,,,,
Arkansas Post NMEM,72055,,,,,
Arlington House The RE Lee MEM,22211,,,,,
Assateague Island NS,21811,,,,,
Aztec Ruins NM,87410,,,,,
Badlands NP,57790,,,,,
Bandelier NM,87544,,,,,
Bent's Old Fort NHS,81050,,,,,
Bering Land Bridge NPRES,99772,,,,,
Big Bend NP,79834,,,,,
Big Cypress NPRES,34141,,,,,
Big Hole NB,59761,,,,,
Big South Fork NRRA,37841,,,,,
Big Thicket NPRES,77625,,,,,
Bighorn Canyon NRA,59035,,,,,
Biscayne NP,33032,,,,,
Black Canyon of the Gunnison NP,81415,,,,,
Blue Ridge PKWY,24179,,,,,
Bluestone NSR,25971,,,,,
Booker T Washington NM,24101,,,,,
Boston African American NHS,2108,,,,,
Boston NHP,2109,,,,,
Brices Cross Roads,38824,,,,,
Brown v Board of Education NHS,66612,,,,,
Bryce Canyon NP,84764,,,,,
Buck Island Reef NM,820,,,,,
Buffalo NR,72675,,,,,
Cabrillo NM,92106,,,,,
Canaveral NS,32796,,,,,
Cane River Creole NHP,71457,,,,,
Canyon de Chelly NM,86503,,,,,
Canyonlands NP,84532,,,,,
Cape Cod NS,2536,,,,,
Cape Hatteras NS,27915,,,,,
Cape Krusenstern NM,99761,,,,,
Cape Lookout NS,28531,,,,,
Capitol Reef NP,84775,,,,,
Capulin Volcano NM,88414,,,,,
Carl Sandburg Home NHS,28731,,,,,
Carlsbad Caverns NP,88220,,,,,
Casa Grande Ruins NM,85128,,,,,
