Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,5811.75,5616.875,8026.875,11823.125,13150,14220.5625,17038.6875,15581.1875,12807.8125,11885.6875,7899.9375,6455.5625,
2016,"9,748",,,,,,,,,,,,"9,748"
2015,"8,997","7,036","12,251","24,312","13,590","16,645","19,693","16,264","14,574","14,589","9,609","10,873","168,433"
2014,"9,540","9,938","10,003","12,224","15,837","15,399","24,512","16,712","17,649","17,737","13,401","9,931","172,883"
2013,"6,372","4,601","6,410","10,919","12,406","15,023","12,978","10,884","11,918","2,962","7,579","5,925","107,977"
2012,"6,196","5,210","9,570","13,370","16,951","14,777","15,525","19,853","12,131","11,223","7,912","6,146","138,864"
2011,"3,572","6,665","8,545","8,073","10,857","12,720","13,712","15,348","11,897","11,476","9,764","5,781","118,410"
2010,"3,249","1,571","2,811","8,513","11,168","12,960","15,828","17,101","11,901","11,381","5,588","5,292","107,363"
2009,"4,718","6,341","6,818","10,731","11,915","13,686","15,950","16,077","12,807","12,129","4,777","2,982","118,931"
2008,"5,926","4,538","4,710","11,425","13,034","11,088","13,038","15,847","11,496","13,314","4,684","4,891","113,991"
2007,"7,014","3,582","7,697","11,874","13,143","12,453","16,431","13,679","11,955","12,628","6,667","6,092","123,215"
2006,"4,619","4,535","9,500","11,954","13,374","13,297","12,789","12,512","11,893","12,496","7,696","6,344","121,009"
2005,"2,579","4,726","6,573","11,314","11,459","13,774","16,310","12,737","12,152","9,455","8,548","5,730","115,357"
2004,"4,752","4,957","8,755","10,178","12,214","15,002","17,873","15,673","11,580","10,142","7,865","7,450","126,441"
2003,"4,676","4,929","8,212","11,960","12,371","13,749","17,889","16,716","11,765","12,421","8,861","6,446","129,995"
2002,"8,279","7,470","9,922","10,425","14,889","17,781","21,907","16,466","13,788","12,433","7,121","6,003","146,484"
2001,"6,599","6,392","7,176","11,096","13,133","14,982","19,840","17,311","15,655","13,048","9,805","7,303","142,340"
2000,"5,900","7,379","9,477","10,802","14,059","14,193","18,344","16,119","11,764","12,737","6,522","6,100","133,396"
1999,"6,556","4,706","6,342","9,283","9,565","10,543","11,408","11,698","10,690","10,667","11,796","8,137","111,391"
1998,"4,410","4,860","7,026","9,543","9,774","9,931","11,638","11,699","11,751","11,541","11,768","7,159","111,100"
1997,"5,106","4,010","7,600","9,009","10,115","12,687","17,939","16,537","11,985","11,480","10,412","4,961","121,841"
1996,"2,153","7,846","9,457","9,752","13,154","13,836","22,420","22,174","12,041","11,747","10,240","4,626","139,446"
1995,"5,111","4,649","6,756","11,026","18,372","18,346","23,397","17,982","19,059","12,145","7,740",724,"145,307"
1994,"3,892","3,027","5,513","7,892","13,646","29,013","28,903","14,214","22,387","18,001","10,298","3,608","160,394"
1993,"7,446","3,193","4,584","12,991","20,223","29,700","26,318","24,077","20,142","19,113","12,905","8,317","189,009"
1992,"7,758","7,574","9,182","13,001","21,722","20,584","22,694","22,509","18,007","25,790","6,193","8,459","183,473"
1991,"7,717","5,735","7,420","9,338","16,727","19,526","22,077","21,798","15,954","14,457","8,221","5,846","154,816"
1990,"6,242","5,261","6,931","12,306","12,878","17,744","19,159","15,766","11,798","12,369","7,327","3,954","131,735"
1989,"5,233","6,268","7,656","6,107","9,579","12,651","22,431","24,237","12,338","15,542","6,058","5,224","133,324"
1988,"5,811","6,262","7,014","4,119","11,194","16,287","19,664","19,853","11,672","11,019","6,901","3,826","123,622"
1987,"6,099","3,481","3,247","4,219","6,399","9,173","14,836","12,349","10,390","12,228","7,068","3,800","93,289"
1986,"3,965","5,329","2,168","2,220","8,106","7,438","9,031","6,952","9,929","5,817","4,523","3,512","68,990"
1985,"4,243","4,757","2,509","2,113","8,312","7,125","11,574","8,364","5,446","5,846","6,205","3,029","69,523"
1984,"2,977","2,408","2,759","2,967","5,704","9,170","8,976","8,422","5,952","4,919","3,293","2,088","59,635"
1983,554,"1,184","1,240","2,339","6,797","6,422","9,302","8,636","8,076","6,525","2,440","1,633","55,148"
1982,449,960,"2,177","4,667","7,107","5,818","8,969","10,378","8,145","6,327","3,012","2,060","60,069"
1981,523,"1,206","2,187","3,233","7,330","9,806","10,978","13,299","7,407","6,334","2,390",864,"65,557"
1980,453,773,"1,534","3,477","7,538","8,909","12,488","16,264","9,264","10,515","1,688","1,092","73,995"
1979,181,227,"2,647","2,295","3,964","8,943","9,409","13,401","6,055","7,618","2,579",906,"58,225"
