Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,2879.9375,2624.25,4448.25,4415.9375,7418.3125,5246.0625,4582.375,4155.3125,3955.0625,4352.375,3747.25,4107.6875,
2016,"1,813",,,,,,,,,,,,"1,813"
2015,"2,407","1,252","2,777","3,467","6,914","4,157","3,624","4,325","4,222","4,697","3,366","4,149","45,357"
2014,"1,943","1,890","3,260","3,629","7,184","3,765","4,296","3,548","2,960","4,406","2,755","3,227","42,863"
2013,"2,759","2,095","3,407","3,417","5,752","4,283","4,129","3,972","4,201","1,997","3,293","3,624","42,929"
2012,"2,631","3,169","4,070","4,180","6,469","7,734","4,087","3,542","3,564","4,049","3,704","4,062","51,261"
2011,"2,457","2,968","3,539","4,799","6,344","6,112","4,726","3,896","4,448","4,737","4,063","4,233","52,322"
2010,"2,410","2,508","5,054","4,990","7,252","6,414","5,909","5,785","4,546","4,703","5,166","5,586","60,323"
2009,"6,684","3,820","4,172","4,764","8,043","6,403","5,862","4,726","5,195","5,012","4,158","4,457","63,296"
2008,"2,091","2,186","14,611","4,697","7,558","4,355","6,130","4,638","5,107","5,331","4,186","8,543","69,433"
2007,"4,565","3,173","4,256","5,507","7,384","5,172","2,594","2,047","2,242","2,786","1,571","2,159","43,456"
2006,"3,357","2,436","3,362","4,908","7,374","4,433","4,743","2,731","3,853","5,101","4,963","3,440","50,701"
2005,"2,377","2,123","4,047","4,107","7,920","4,702","4,725","4,064","3,293","3,188","4,192","3,814","48,552"
2004,"2,397","2,828","3,686","4,450","7,380","5,497","4,434","4,059","4,006","4,245","3,550","3,664","50,196"
2003,"2,308","2,215","3,020","4,427","7,911","5,683","5,295","4,056","4,133","4,635","4,133","4,094","51,910"
2002,"2,820","3,026","3,805","3,684","6,701","4,493","4,072","3,966","3,674","5,369","3,268","4,000","48,878"
2001,"3,072","2,376","3,887","4,384","8,196","4,702","4,882","3,412","3,296","4,194","3,611","3,539","49,551"
2000,"1,801","3,923","4,219","5,245","10,311","6,032","3,810","7,718","4,541","5,188","3,977","3,132","59,897"
1999,"2,624","2,526","3,797","4,251","8,535","5,796","3,506","4,097","4,732","4,490","2,416","5,009","51,779"
1998,"3,030","3,749","4,667","6,098","9,967","6,092","5,997","5,124","3,794","4,960","3,094","3,635","60,207"
1997,"3,339","3,748","7,185","6,101","10,541","6,212","6,064","5,174","4,780","5,830","4,013","4,322","67,309"
1996,"1,933","2,370","4,171","4,746","9,814","5,522","3,696","6,565","5,315","6,894","4,053","4,023","59,102"
1995,"2,491","2,145","4,219","5,306","10,013","6,342","7,638","5,423","6,367","6,855","4,006","2,391","63,196"
1994,"2,265","3,319","5,872","6,182","10,678","5,764","5,402","4,479","3,731","5,198","3,701","2,947","59,538"
1993,"1,966","2,085","2,454","3,813","6,759","3,427","3,634","2,895","4,009","2,841","3,926","3,894","41,703"
1992,"3,062","3,273","4,134","5,966","10,388","5,910","6,584","6,686","4,275","5,359","4,045","4,799","64,481"
1991,"2,901","4,685","6,893","9,196","13,984","9,093","9,560","7,746","5,476","6,787","2,879","2,876","82,076"
1990,"1,516","3,179","3,525","8,092","11,704","9,943","8,291","9,418","5,558","5,986","2,590","1,215","71,017"
1989,"2,025","2,451","4,302","7,047","13,502","8,506","9,788","7,163","4,793","5,209","4,158","2,406","71,350"
1988,"2,330","3,340","5,561","8,299","13,375","9,251","8,789","6,982","5,403","6,939","4,406","1,891","76,566"
1987,"2,438","3,571","4,723","5,807","12,618","8,136","7,937","8,378","5,860","9,538","4,014","4,075","77,095"
1986,"2,876","2,603","4,954","5,734","12,916","8,322","6,976","7,364","5,129","7,111","4,180","4,435","72,600"
1985,"1,960","3,242","5,931","7,204","12,271","7,222","6,684","5,931","4,257","7,105","3,650","3,150","68,607"
1984,"4,664","4,048","4,563","6,222","11,334","8,412","12,447","8,223","6,222","9,315","4,842","4,597","84,889"
1983,"5,636","7,163","9,935","9,698","17,811","13,402","13,358","12,487","10,626","9,473","4,849","4,972","119,410"
1982,"4,176","5,157","6,024","8,215","7,102","5,276","5,931","8,100","6,943","7,533","7,247","5,874","77,578"
1981,"2,402","2,574","2,772","3,560","5,636","9,253","10,701","8,734","7,080","7,801","6,745","6,842","74,100"
1980,"3,956","5,258","5,157","7,515","8,954","7,304","7,084","6,358","4,677","3,982","2,671","2,675","65,591"
1979,"1,531","1,780","3,320","3,600","5,410","3,992","8,334","8,646","3,353","3,155","1,865","2,688","47,674"
