Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,0,0,0,0,6,11.375,28.25,34.9375,35.8125,14.3125,0,0,
2016,0,,,,,,,,,,,,0
2015,0,0,0,0,0,61,44,27,16,5,0,0,153
2014,0,0,0,0,0,11,50,62,11,0,0,0,134
2013,0,0,0,0,0,11,50,62,11,0,0,0,134
2012,0,0,0,0,4,2,8,3,2,0,0,0,19
2011,0,0,0,0,0,2,11,11,9,24,0,0,57
2010,0,0,0,0,24,11,11,5,9,2,0,0,62
2009,0,0,0,0,1,1,2,0,10,0,0,0,14
2008,0,0,0,0,0,5,5,0,0,0,0,0,10
2007,0,0,0,0,0,11,3,1,11,0,0,0,26
2006,0,0,0,0,38,11,3,8,0,0,0,0,60
2005,0,0,0,0,5,11,50,62,135,22,0,0,285
2004,0,0,0,0,5,11,50,62,135,22,0,0,285
2003,0,0,0,0,14,11,50,26,14,39,0,0,154
2002,0,0,0,0,5,11,50,62,74,39,0,0,241
2001,0,0,0,0,0,6,36,52,73,39,0,0,206
2000,0,0,0,0,0,6,29,116,63,37,0,0,251
1999,0,0,0,0,15,15,50,120,125,52,0,0,377
1998,0,0,0,0,3,13,20,87,86,0,0,0,209
1995,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,6,8,15,29,95,125,145,250,470,13,14,23,"1,193"
1993,6,6,9,51,106,125,200,461,456,158,9,6,"1,593"
1992,8,6,8,35,128,107,223,526,501,75,10,11,"1,638"
1991,8,6,8,36,69,92,189,407,498,136,10,10,"1,469"
1990,6,6,6,10,100,45,168,278,216,124,4,4,967
1989,6,6,6,10,24,47,138,254,243,111,4,4,853
