Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,108.8125,100.875,229.4375,177.75,126.8125,210.375,366.3125,362.4375,181.875,230.875,104.25,79.8125,
2015,260,127,292,216,172,148,438,156,61,422,182,168,"2,642"
2014,260,127,292,210,172,148,438,156,61,422,182,168,"2,636"
2013,260,127,292,216,172,148,438,156,61,422,182,168,"2,642"
2012,260,127,292,216,172,148,438,156,61,422,182,168,"2,642"
2011,131,128,292,216,74,80,170,156,266,176,145,56,"1,890"
2010,260,127,292,216,172,148,438,156,61,422,182,168,"2,642"
2009,31,33,43,45,43,134,177,255,26,66,145,56,"1,054"
2008,24,108,178,78,65,122,122,134,108,24,25,31,"1,019"
2007,25,25,35,45,137,134,168,134,24,21,23,25,796
2006,20,30,50,57,22,178,277,304,132,150,25,20,"1,265"
2005,35,82,180,200,125,351,395,412,80,404,132,32,"2,428"
2004,30,80,175,195,125,350,400,410,400,400,120,25,"2,710"
2003,30,75,150,200,200,225,350,500,400,150,120,25,"2,425"
2002,50,150,200,350,200,100,500,700,300,150,50,25,"2,775"
2001,150,245,500,400,150,100,550,770,330,165,55,110,"3,525"
2000,100,75,350,100,100,500,500,700,300,150,50,100,"3,025"
1999,75,75,350,100,100,500,500,700,300,150,50,100,"3,000"
1998,120,120,450,100,150,500,"1,000",700,300,150,50,100,"3,740"
