Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,4597.5,3983.3125,5523.625,7948.75,10259.5,10436.5625,11937.75,11379.9375,9454.1875,11104.375,11189.75,9311.8125,
2016,"5,089","5,844",,,,,,,,,,,"10,933"
2015,"4,792","4,162","6,018","7,726","11,378","9,900","17,151","15,580","14,675","12,580","13,121","8,749","125,832"
2014,"5,079","3,675","5,617","8,590","9,190","8,902","13,059","12,820","12,509","13,183","9,685","7,647","109,956"
2013,"4,180","3,846","6,110","8,090","14,510","15,845","14,386","12,706","12,335","8,594","10,637","8,869","120,108"
2012,"4,735","4,981","5,193","17,749","15,974","12,277","15,051","13,884","11,255","13,815","10,817","9,531","135,262"
2011,"5,106","5,203","7,274","9,446","18,641","15,127","16,191","12,859","9,592","11,771","17,437","9,075","137,722"
2010,"4,765","4,828","8,270","13,846","16,279","18,970","15,838","13,743","11,092","11,482","11,389","9,987","140,489"
2009,"4,842","3,359","4,485","5,569","7,486","8,679","11,822","13,315","8,511","11,352","10,880","10,209","100,509"
2008,"4,972","3,301","4,254","5,093","7,399","8,391","9,824","10,998","7,994","11,172","10,811","9,425","93,634"
2007,"4,871","3,383","4,345","5,338","7,528","8,822","10,264","10,004","8,453","11,209","11,115","9,953","95,285"
2006,"4,946","3,316","4,234","5,261","7,547","7,742","9,588","9,372","8,080","10,559","10,616","9,865","91,126"
2005,"5,199","3,269","4,412","5,758","8,077","8,555","9,757","9,448","8,080","10,002","10,065","9,761","92,383"
2004,"4,490","4,035","6,766","8,242","9,425","9,212","10,672","10,910","9,514","12,253","11,268","10,995","107,782"
2003,"4,232","3,815","5,382","6,306","8,709","8,864","10,376","10,034","8,676","12,339","12,260","10,587","101,580"
2002,"4,028","4,637","5,360","6,660","8,395","9,860","10,412","10,762","8,438","11,185","11,244","10,849","101,830"
2001,"3,700","4,315","5,424","6,062","7,449","8,602","9,932","9,918","8,278","12,221","12,304","10,321","98,526"
2000,"3,623","3,608","5,234","7,444","6,165","7,237","6,681","5,726","3,785","3,953","5,387","3,166","62,009"
1999,"2,607","2,327","4,423","5,106","6,090","6,096","6,981","6,656","4,917","4,449","5,974","4,567","60,193"
1998,"2,083","2,481","4,340","5,090","8,391","7,242","7,320","6,706","3,826","3,964","4,840","3,804","60,087"
1997,"3,487","2,381","5,065","4,863","7,819","7,281","8,876","10,672","4,796","6,627","9,579","6,187","77,633"
1996,"3,638","3,999","5,380","8,471","11,889","13,596","13,061","15,294","12,711","8,123","8,834","6,630","111,626"
1995,"3,550","3,934","5,720","4,063","10,019","6,956","30,832","14,883","8,854","6,786","11,313","8,556","115,466"
1994,"4,742","4,559","5,751","6,386","10,238","10,437","10,287","20,354","16,994","18,278","11,265","8,022","127,313"
1993,"4,419","5,335","7,743","9,010","5,643","7,150","6,998","8,391","7,391","5,811","4,263","10,700","82,854"
1992,"6,524","2,088","4,934","4,259","7,841","6,296","7,542","5,648","5,968","8,601","6,961","5,607","72,269"
1991,"4,333","1,884","5,627","4,255","4,407","2,248","7,616","5,308","6,528","10,107","6,764","4,999","64,076"
1990,"5,027","2,580","6,595","7,754","8,673","6,816","6,969","6,827","6,420","7,056","7,228","5,985","77,930"
1989,"4,404","2,379","6,011","24,566","4,346","3,616","4,571","3,984","8,108","14,590","16,703","8,896","102,174"
1988,"3,767","3,010","6,810","6,344","7,273","6,171","9,761","5,528","4,018","5,327","7,863","5,893","71,765"
1987,"4,411","3,055","4,701","5,932","8,160","4,000","5,933","6,134","3,435","5,940","5,886","4,873","62,460"
1986,"5,119","3,604","5,249","4,520","9,649","5,594","3,827","7,382","5,749","5,514","6,313","4,149","66,669"
1985,"3,196","2,536","5,071","6,893","8,197","8,571","7,233","10,289","6,616","7,891","5,624","5,547","77,664"
1984,"2,310","2,411","6,750","5,310","7,221","10,919","8,349","9,658","6,471","8,019","9,902","4,228","81,548"
1983,"2,724","1,754","2,960","3,894","2,567","1,408","1,920","2,948","1,739","5,061","4,831","1,549","33,355"
1982,"3,572","2,224","2,717","2,968","2,681","2,513","3,505","5,775","3,280","5,028","5,463","4,098","43,824"
1981,575,616,"1,142","1,306","1,245",939,849,"2,425","3,822","3,660","2,002","4,182","22,763"
