Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,655.8125,823.5625,1518.9375,2039.5,2599.25,2951.9375,2857.1875,2171.8125,1650.125,1891.25,1334.875,789.3125,
2016,785,822,,,,,,,,,,,"1,607"
2015,"1,495",971,"1,689","1,883","3,250","5,664","3,491","3,328","1,254","1,981","1,190","1,009","27,205"
2014,659,"1,396","1,746","2,126","2,120","3,464","3,778","2,155","2,059","2,741","2,533","1,350","26,127"
2013,885,864,"1,499","2,246","2,661","2,927","3,019","2,488","1,928","1,125","1,360","1,101","22,103"
2012,803,"1,182","2,015","2,120","2,667","3,252","2,789","2,030","3,244","1,816","1,382","1,061","24,361"
2011,669,"1,174","2,036","1,888","2,519","3,496","3,020","2,233","2,493","2,268","1,452",782,"24,030"
2010,528,565,"1,800","2,152","2,666","2,966","2,966","2,342","1,892","1,846","1,271",671,"21,665"
2009,686,899,"1,159","2,141","2,339","2,945","3,197","2,506","1,767","2,117",845,615,"21,216"
2008,714,698,"2,285","1,728","2,581","2,490","2,246","1,915","1,700","1,711","1,132",790,"19,990"
2007,755,606,"1,673","2,067","2,032","2,588","2,385","1,927","1,524","1,827","1,373",653,"19,410"
2006,569,601,"1,392","1,981","1,789","2,296","2,962","1,764",875,"1,736","1,744",630,"18,339"
2005,375,360,"1,219","1,569","2,039","2,314","1,795","2,119","1,251","1,566","1,064",686,"16,357"
2004,411,599,"1,096","1,957","2,323","2,689","2,387","1,855","1,052","1,625","1,726",793,"18,513"
2003,484,386,"1,121","1,695","2,626","2,560","2,748","1,603","1,249","1,626","1,200",608,"17,906"
2002,478,814,986,"1,669","3,436","2,304","2,687","1,946","1,461","1,707",971,729,"19,188"
2001,622,"1,127","1,326","3,030","3,487","2,672","2,915","2,469","1,499","1,797","1,102",646,"22,692"
2000,360,935,"1,261","2,380","3,053","2,604","3,330","2,069","1,154","2,771","1,013",505,"21,435"
1999,363,772,"1,363","2,619","3,405","3,051","2,992","2,501","1,250","2,389","1,186",732,"22,623"
1998,471,563,"1,160","1,672","2,583","2,241","2,578","2,069","1,495","2,731","1,028",635,"19,226"
1997,470,573,720,"2,077","3,014","2,368","2,655","2,428","1,441","1,955",884,587,"19,172"
1996,202,485,"1,157","2,133","2,460","2,452","3,500","3,020","1,939","1,914",552,320,"20,134"
1995,616,923,"1,554","2,486","2,887","3,425","4,314","4,043","2,155","2,759",372,170,"25,704"
1994,396,426,"1,549","1,885","2,928","3,525","3,850","4,384","2,216","2,934","1,304",813,"26,210"
1993,592,"1,016","1,944","2,446","2,983","2,917","4,443","3,317","1,546","2,918","1,225",547,"25,894"
1992,468,"1,070","1,086","1,783","2,812","3,992","4,814","3,835","1,798","2,882",855,588,"25,983"
1991,795,517,810,"1,372","3,033","3,037","3,678","2,901","1,760","1,639",919,426,"20,887"
1990,557,"1,273","1,345","1,854","3,001","4,223","3,743","3,112","2,103","1,801","1,188",860,"25,060"
1989,615,452,"1,258","1,464","1,969","3,099","2,071","2,577",983,"2,204",700,179,"17,571"
1988,487,"1,350",904,"2,177","3,529","2,833","2,517","2,482","1,269","1,556",481,485,"20,070"
1987,508,650,"1,121","1,546","3,040","3,031","3,257","3,517","1,162","1,589",757,410,"20,588"
1986,510,480,"1,307","2,377","2,946","2,066","2,878","3,556","2,178","1,501",826,234,"20,859"
1985,186,436,"1,176","2,174","4,010","2,785","3,729","2,067","1,306",975,599,201,"19,644"
1984,395,"1,103",961,"1,754","2,839","3,248","5,842","3,451","1,737","2,191",955,496,"24,972"
1983,436,577,993,"1,848","3,221","3,483","3,965","3,183","2,016","1,899",945,441,"23,007"
1982,238,407,745,"1,722","2,581","3,149","3,625","3,076","1,918","1,555",869,576,"20,461"
1981,326,521,845,"2,089","2,984","2,238","3,855","3,076","1,476","1,069",694,701,"19,874"
1980,617,606,858,"1,506","2,995","3,366","4,700","3,172","1,203","1,489",651,412,"21,575"
1979,500,310,940,"1,528","3,604","3,043","6,065","3,868","1,377","2,033","1,564",675,"25,507"
