Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,45029.5,56905.875,107249.8125,179132.0625,211278.25,263028.9375,360089.375,314124,211683.1875,221879.1875,114265.9375,70194.125,
2016,"70,940",,,,,,,,,,,,"70,940"
2015,"65,193","46,438","155,517","179,393","169,427","258,839","373,479","312,423","242,558","239,388","127,124","93,062","2,262,841"
2014,"62,099","67,052","119,140","207,483","266,753","295,635","383,681","370,731","235,057","259,665","114,724","94,058","2,476,078"
2013,"70,653","61,900","148,417","150,332","225,978","272,449","351,602","338,793","235,709","156,466","140,785","92,791","2,245,875"
2012,"72,796","103,133","150,151","250,122","249,574","311,037","423,597","361,542","246,260","233,118","131,897","95,837","2,629,064"
2011,"48,857","52,071","108,961","229,279","252,034","316,042","412,471","368,627","281,561","248,813","134,157","93,283","2,546,156"
2010,"42,167","50,739","87,386","193,247","235,389","264,670","374,843","245,963","206,481","215,986","102,051","41,575","2,060,497"
2009,"35,827","60,880","91,912","181,983","198,891","221,709","404,023","336,041","218,500","244,290","111,463","49,507","2,155,026"
2008,"36,406","54,412","113,016","184,365","237,712","267,201","359,241","350,206","204,217","247,605","119,818","58,296","2,232,495"
2007,"36,103","41,200","84,094","164,320","201,593","281,188","357,514","320,925","228,503","270,889","126,234","72,326","2,184,889"
2006,"40,625","52,964","89,030","193,772","184,690","233,828","301,104","274,949","197,834","202,381","105,511","67,698","1,944,386"
2005,"28,334","43,744","83,428","144,805","190,156","269,972","337,963","309,134","209,798","204,632","112,557","57,719","1,992,242"
2004,"30,265","52,064","76,879","158,656","189,238","238,710","257,944","293,148","196,951","230,848","110,941","61,861","1,897,505"
2003,"30,062","31,174","68,975","121,590","163,352","206,227","268,281","254,486","140,748","188,493","92,890","51,225","1,617,503"
2002,"36,689","72,255","127,743","145,413","182,554","219,619","267,635","254,337","159,976","200,443","84,653","49,783","1,801,100"
2001,"45,590","58,999","106,341","185,959","215,238","263,153","364,818","319,575","128,968","136,004","88,341","68,315","1,981,301"
2000,"38,806","61,469","105,007","175,394","217,873","288,184","523,234","315,104","253,810","271,046","125,109","75,770","2,450,806"
1999,"37,618","63,645","98,502","174,602","240,140","274,029","396,545","338,993","219,400","274,873","133,118","78,546","2,330,011"
1998,"53,942","76,902","116,362","199,363","250,440","300,733","717,458","316,549","231,483","229,666","122,016","82,283","2,697,197"
1997,"34,950","56,841","83,857","150,404","239,312","328,906","491,805","487,969","289,194","323,874","137,496","83,181","2,707,789"
1996,"23,966","42,240","80,951","172,554","211,097","252,101","352,805","420,432","231,656","253,766","157,866","61,131","2,260,565"
1995,"38,575","44,742","83,469","144,271","171,518","213,271","302,361","286,531","198,169","235,268","86,844","34,479","1,839,498"
1994,"26,480","37,052","81,440","134,497","170,769","220,303","280,372","389,242","201,328","210,529","104,359","65,139","1,921,510"
1993,"43,200","48,126","66,372","144,439","196,152","226,816","301,166","391,294","213,259","241,720","104,635","53,018","2,030,197"
1992,"35,491","55,154","79,091","131,210","166,417","219,645","484,731","315,100","210,376","228,944","99,388","50,537","2,076,084"
1991,"39,010","55,720","89,472","128,324","188,390","254,623","322,947","301,589","275,671","211,388","95,470","57,959","2,020,563"
1990,"39,800","52,244","103,823","171,644","203,171","244,609","360,857","356,753","200,978","193,737","114,226","61,101","2,102,943"
1989,"43,333","50,025","118,722","156,521","177,213","251,790","403,290","371,038","214,396","209,892","93,338","45,594","2,135,152"
1988,"40,811","47,708","91,222","133,782","187,454","272,478","353,987","362,746","265,933","257,979","110,475","59,249","2,183,824"
1987,"30,395","56,784","94,913","169,118","238,401","275,100","340,885","360,085","234,513","269,989","99,540","50,260","2,219,983"
1986,"33,611","48,482","83,452","95,717","157,058","193,960","272,799","291,429","170,012","170,119","84,194","41,534","1,642,367"
1985,"27,565","43,434","72,000","116,489","133,703","190,873","259,409","227,330","159,618","190,830","86,158","53,118","1,560,527"
1984,"24,650","48,424","59,198","111,113","135,694","179,195","236,006","226,123","151,605","185,714","84,648","38,969","1,481,339"
1983,"35,177","62,554","91,688","145,730","210,671","230,412","302,453","313,568","239,855","234,513","89,950","131,688","2,088,259"
1982,"20,705","38,357","51,471","116,286","152,148","184,825","305,864","328,669","177,913","200,281","75,625","50,978","1,703,122"
1981,"25,405","50,244","68,413","128,254","151,935","196,609","270,915","343,244","195,639","209,364","80,231","33,889","1,754,142"
1980,"40,608","42,741","82,555","159,682","223,692","364,605","348,811","290,634","161,067","182,470","90,210","47,035","2,034,110"
1979,"35,120","41,963","77,051","144,557","171,998","221,321","232,801","267,739","189,608","224,719","118,679","51,835","1,777,391"
