Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1198.363636,1493.363636,1987.181818,2134.363636,2785.333333,2031.75,2386.916667,1553.166667,1561.166667,1390.833333,1353.083333,899.5833333,
2016,"2,147","1,673",,,,,,,,,,,"3,820"
2015,"1,608","1,678","2,886","2,860","2,437","2,411","3,180","2,257","1,931","1,756","1,487",847,"25,338"
2014,"2,349","1,858","2,530","2,600","3,817","2,486","2,865","1,875","1,546","1,495","1,800","1,647","26,868"
2013,"1,313","1,277","2,189","2,280","2,487","2,154","2,639","1,580","1,058",512,"1,110",757,"19,356"
2012,"1,159","1,291","1,854","1,810","1,652","1,825","2,032","1,344","3,471","1,386","2,464",813,"21,101"
2011,657,891,"1,906","1,488","1,610","1,868","2,062","1,483","1,140","1,451","1,471",859,"16,886"
2010,926,"1,583","1,731","1,842","1,862","1,858","2,384","1,312","1,015","1,350","1,248",697,"17,808"
2009,"1,158","1,485","2,044","2,024","2,327","2,298","2,355","1,470",982,"1,312",853,920,"19,228"
2008,795,"1,240","1,557","1,754","2,350","1,483","1,936","1,327",875,"1,130","1,546",957,"16,950"
2007,"1,044","1,761","1,839","1,774","2,584","1,471","1,751","1,274","1,314","1,440",731,553,"17,536"
2006,"1,531","1,423","2,051","2,383","3,021","1,568","2,099","1,317","1,917","1,464","1,192",960,"20,926"
2005,642,"1,940","1,272","2,663","1,505","1,658","2,125","1,535","1,680","1,458","1,138",774,"18,390"
2004,,,,,"7,772","3,301","3,215","1,864","1,805","1,936","1,197","1,011","22,101"
