Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,53294.875,42617.8125,62392.1875,74928.5625,87429.5625,90597.1875,95139.1875,95497.625,89122.3125,59113.5,45552,41400.8125,
2015,"54,525","44,377","62,087","74,973","75,728","90,679","94,777","95,194","95,239","52,800","35,106","38,201","813,686"
2014,"54,534","44,237","62,278","75,009","74,538","90,812","94,727","95,267","96,847","52,090","46,951","40,471","827,761"
2013,"54,590","44,475","62,329","75,040","74,249","90,989","94,668","95,278","97,361","52,134","47,087","40,278","828,478"
2012,"54,707","44,545","62,015","74,991","75,021","90,702","94,846","95,004","95,765","52,802","47,437","40,688","828,523"
2011,"54,563","44,424","61,879","74,912","76,441","90,506","94,802","95,149","94,022","53,258","47,221","40,968","828,145"
2010,"54,232","44,205","61,933","74,913","78,388","90,385","94,843","95,278","92,198","53,967","46,958","39,947","827,247"
2009,"54,579","43,536","63,235","75,190","68,590","91,479","94,477","95,631","104,891","48,289","46,053","40,475","826,425"
2008,"54,867","45,665","62,585","75,195","72,808","91,874","94,372","95,335","99,927","52,355","47,763","43,114","835,860"
2007,"55,293","44,895","60,440","74,748","78,877","89,266","95,738","93,634","87,786","56,142","49,188","39,313","825,320"
2006,"53,847","43,820","61,203","74,516","83,545","89,527","94,582","95,873","85,307","55,535","46,144","42,736","826,635"
2005,"52,576","43,114","62,202","74,916","88,121","89,779","95,048","95,889","83,081","57,516","45,644","42,367","830,253"
2004,"56,310","40,185","69,744","76,443","100,403","96,949","92,642","97,425","168,355","76,102","26,605","34,844","936,007"
2003,"56,310","39,765","59,337","75,225","93,899","93,851","93,851","93,851","75,108","72,681","56,310","56,310","866,498"
2002,"57,420","41,046","49,713","72,508","109,226","76,223","102,567","85,135","27,081","75,081","56,310","20,310","772,620"
2001,"46,617","38,443","65,021","73,360","106,881","90,833","88,801","107,065","72,908","52,500","30,924","59,849","833,202"
2000,"46,221","39,585","67,196","76,913","111,001","91,038","97,381","95,969","71,952","67,424","43,146","40,522","848,348"
1999,"46,052","39,945","67,165","74,978","106,885","95,342","98,882","96,179","73,368","67,940","45,091","40,221","852,048"
1998,"44,361","38,032","65,115","74,160","106,155","95,778","97,929","97,799","73,445","67,296","44,245","40,643","844,958"
1997,"41,850","38,072","65,636","74,318","108,326","95,508","94,283","98,955","73,066","68,686","43,884","39,585","842,169"
1996,"38,520","40,194","61,518","73,541","102,021","91,332","93,856","98,338","68,976","66,915","43,168","40,288","818,667"
1995,"32,580","31,680","56,490","73,190","94,810","90,088","95,125","92,625","69,000","63,500","37,425","31,650","768,163"
1994,"32,550","31,650","56,420","73,140","94,875","90,000","94,875","92,375","68,700","63,400","37,298","32,085","767,368"
1993,"32,431","31,621","56,395","73,115","94,767","89,999","94,786","92,294","68,600","63,332","37,260","32,070","766,670"
1992,"31,363","30,523","54,283","67,385","87,028","88,767","91,200","91,800","68,861","63,329","37,238","32,029","743,806"
1991,"28,726","29,544","48,542","63,202","90,690","80,352","107,554","97,344","59,213","59,762","34,101","29,275","728,305"
1990,"28,445","27,622","44,335","58,809","81,066","75,471","77,944","78,022","54,221","53,828","32,629","29,797","642,189"
1989,"29,417","27,817","46,028","56,417","82,941","51,177","58,762","70,612","54,954","53,880","37,174","31,928","601,107"
1988,"27,605","28,374","47,181","51,876","87,774","76,602","94,942","74,394","56,934","58,050","34,262","27,289","665,283"
1987,"27,716","26,608","40,029","47,965","79,654","72,364","70,482","74,120","66,472","50,320","29,636","27,465","612,831"
1986,"25,455","21,679","44,785","46,786","73,005","68,736","67,762","69,536","49,461","41,405","33,356","27,023","568,989"
1985,"6,953","10,400","17,907","13,720","62,691","76,800","63,519","60,082","43,128","44,320","26,569","26,197","452,286"
1984,"5,653","8,889","15,202","11,246","80,130","89,785","60,606","61,461","44,509","23,343","15,320","15,929","432,073"
1983,"5,599","8,466","14,662","9,229","63,186","71,846","67,341","52,086","38,173","27,526","17,194","10,684","385,992"
1982,"5,944","7,912","13,329","10,031","63,215","66,000","63,458","51,462","37,175","27,282","16,949","10,769","373,526"
1981,"7,250","9,890","11,692","10,671","58,356","66,526","38,518","43,919","27,768","24,557","23,083","11,366","333,596"
1980,"5,000","7,608","13,595","13,611","45,968","34,278","37,363","40,174","37,525","23,211","17,621","8,061","284,015"
1979,"9,260","9,057","13,670","31,304","45,867","38,364","39,253","55,033","35,401","23,929","17,799","9,160","328,097"
