Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1256.3125,1698.75,3769.75,5058.5625,7001.125,5613,5352,4458.5,5016.75,8086.9375,2725.4375,1902.6875,
2016,675,,,,,,,,,,,,675
2015,681,"1,317","2,575","3,436","6,003","3,777","3,389","2,857","5,237","6,413","2,174","1,055","38,914"
2014,927,960,"3,408","4,269","5,843","4,304","2,329","3,642","4,316","5,273","1,977","1,138","38,386"
2013,531,782,"3,560","3,829","3,466","4,490","4,088","2,960","2,482",879,"1,703","1,147","29,917"
2012,254,633,"3,210","3,729","6,324","4,951","4,540","2,572","4,622","5,125","1,941","1,143","39,044"
2011,395,560,"3,571","4,112","5,465","4,739","4,464","3,523","4,728","5,191","1,731",696,"39,175"
2010,613,490,"3,044","3,609","5,556","2,294","4,790","3,712","2,389","4,935","2,006",788,"34,226"
2009,740,"1,193","3,004","3,666","5,183","4,030","4,200","3,360","4,319","4,904","2,006",771,"37,376"
2008,658,604,"3,365","3,627","5,824","4,519","4,698","3,546","3,184","4,915","1,680",560,"37,180"
2007,392,806,"3,062","3,817","5,245","4,257","4,407","3,602","4,346","36,576","1,222",479,"68,211"
2006,"1,110","1,212","3,030","4,750","5,719","4,654","4,450","3,308","2,149","4,550","2,298",693,"37,923"
2005,793,497,"3,492","4,394","6,752","5,723","5,558","4,414","4,898","4,979","2,359","1,680","45,539"
2004,"3,366","4,639","6,831","6,739","9,876","7,500","4,002","5,056","4,793","9,651","5,663","3,696","71,812"
2003,"3,385","4,487","5,862","11,452","11,132","8,244","8,815","4,703","8,925","9,666","4,089","3,861","84,621"
2002,"2,213","4,549","5,635","9,942","10,705","8,082","5,888","5,272","8,536","10,116","4,674","3,559","79,171"
2001,650,750,"1,188","1,873","8,185","8,438","9,153","10,508","7,580","10,904","4,744","4,554","68,527"
2000,"3,393","3,701","5,479","7,693","10,740","9,806","10,861","8,301","7,764","5,314","3,340","4,623","81,015"
1999,"3,440","3,553","5,110","5,906","9,252","11,278","9,753","8,065","7,430","10,108","5,159","4,283","83,337"
1998,"2,243","2,085","5,447","9,933","10,610","10,729","10,152","8,667","9,274","8,378","2,693","3,594","83,805"
1997,"2,302","2,214","8,596","7,665","10,377","10,190","10,191","34,464","9,625","11,765","3,591","2,356","113,336"
1996,"1,763","3,766","6,642","8,240","9,529","9,902","8,962","6,966","7,328","6,896","3,492","3,382","76,868"
1995,"2,830","2,653","6,891","6,137","8,769","8,248","8,601","6,723","4,824","8,759","8,751","1,478","74,664"
1994,"2,403","1,957","5,503","10,074","9,468","7,847","8,220","8,065","7,405","9,940","2,811","2,480","76,173"
1993,"1,215","1,650","4,899","4,958","11,186","8,248","8,190","7,736","7,568","7,342","2,710","2,165","67,867"
1992,"1,215","1,590","5,607","7,793","8,418","9,449","9,631","9,722","7,721","7,700","2,977","1,153","72,976"
1991,"1,858","2,686","4,970","7,603","10,140","8,850","9,245","9,883","7,445","7,577","1,946",0,"72,203"
1990,"1,610","1,651","4,814","6,083","11,248","14,245","7,819","7,956","5,823","6,598","3,117","1,711","72,675"
1989,"1,838","1,559","7,483","5,965","11,178","13,946","9,734","10,460","7,339","9,331","3,360","2,240","84,433"
1988,"1,044","2,024","5,796","6,393","6,155","5,871","6,939","7,868","9,146","9,746","2,845","1,571","65,398"
1987,"1,277",902,"2,369","4,640","8,158","7,160","6,494","11,357","7,402","4,673","2,061","1,495","57,988"
1986,"2,022","1,594","4,411","4,370","6,313","5,918","6,199","6,700","4,706","3,778","2,001","1,461","49,473"
1985,"1,093","1,012","2,786","3,883","6,003","5,236","5,721","5,772","3,857","3,878","2,098","1,794","43,133"
1984,"1,240","1,524","5,722","6,233","12,270","10,715","8,627","8,239","5,071","3,026","2,387",945,"65,999"
1983,738,840,"3,016","4,342","9,814","12,002","11,166","11,196","9,268","5,905","2,035","1,098","71,420"
1982,"1,398","1,469","3,804","5,716","8,359","10,486","11,060","7,171","7,840","11,691","2,580","1,300","72,874"
1981,"2,627","2,751","3,757","5,047","10,039","9,646","8,888","10,873","7,514","5,932","2,990","3,335","73,399"
1980,678,"1,958","2,366","2,530","7,034","8,220","7,392","9,187","5,559","2,585","1,594","2,549","51,652"
1979,"1,008",560,"2,994","5,685","5,514","7,341","6,299","5,731","3,554","2,295","1,685","6,144","48,810"
