Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,161085.625,160757,245091.6875,347793,411744.5625,403233.5625,420015.4375,431112.9375,365645.4375,325200.875,256125.4375,190406.1875,
2016,"163,582","156,496",,,,,,,,,,,"320,078"
2015,"171,828","136,421","287,277","495,612","689,455","422,593","533,292","507,137","503,824","405,276","359,899","285,698","4,798,312"
2014,"197,495","172,468","328,666","468,219","643,315","639,084","559,463","552,185","487,091","438,981","304,635","274,617","5,066,219"
2013,"208,480","201,559","325,347","488,245","575,133","643,225","555,065","640,906","425,811","439,735","243,133","194,728","4,941,367"
2012,"178,586","230,285","371,121","487,225","548,010","490,030","438,446","530,104","440,262","430,341","312,393","255,574","4,712,377"
2011,"165,828","210,462","282,065","303,339","446,861","395,187","547,269","397,005","317,052","331,939","278,260","262,237","3,937,504"
2010,"165,049","85,515","238,112","395,115","447,764","487,213","472,178","536,300","420,361","337,117","317,627","208,887","4,111,238"
2009,"142,823","192,245","230,543","318,523","406,988","452,387","352,002","411,465","413,720","371,293","320,996","138,696","3,751,681"
2008,"161,897","132,287","203,682","280,802","274,931","309,895","423,563","327,330","301,822","282,670","232,056","180,533","3,111,468"
2007,"161,873","121,668","190,680","242,907","325,289","276,762","367,876","287,220","299,125","244,497","176,111","115,960","2,809,968"
2006,"160,179","124,386","195,970","326,493","285,810","327,142","355,059","358,046","255,729","239,681","218,224","192,459","3,039,178"
2005,"149,839","137,519","184,306","301,100","311,509","338,469","338,560","353,686","285,980","252,060","209,297","137,680","3,000,005"
2004,"111,027","126,801","178,616","285,485","274,302","285,936","354,432","301,545","294,269","280,922","240,853","184,211","2,918,399"
2003,"109,157","104,032","216,077","249,560","229,241","228,070","302,912","387,491","338,644","308,536","186,212","141,660","2,801,592"
2002,"186,951","206,891","260,041","265,984","319,834","392,994","353,446","375,655","289,189","220,042","169,214","162,137","3,202,378"
2001,"109,916","198,185","184,881","391,511","512,821","441,211","437,292","605,812","466,308","316,789","310,608","198,714","4,174,048"
2000,"196,442","191,388","244,083","264,568","296,650","321,539","329,392","325,920","311,140","303,335","218,489","112,708","3,115,654"
1999,"27,052","106,647","189,021","227,640","204,076","344,056","340,903","225,735","203,168","176,355","45,380","26,883","2,116,916"
1998,"21,960","131,854","199,062","230,992","152,370","292,201","318,493","218,922","188,633","162,608","42,537","24,768","1,984,400"
1997,"12,852","118,537","219,978","239,827","144,373","313,140","321,048","179,315","162,345","155,323","43,504","23,788","1,934,030"
1996,"4,562","2,916","42,927","64,917","60,679","273,448","95,075","234,525","47,191","46,608","18,733","12,928","904,509"
1995,"130,893","119,281","149,404","274,344","106,312","195,127","109,189","111,635","151,169","174,533","89,075","13,326","1,624,288"
1994,"16,567","26,043","27,953","13,414","178,676","215,513","190,089","187,278","107,930","105,506","115,446","92,290","1,276,705"
1993,"123,422","131,419","132,746","220,725","761,750","880,998","521,911","224,188","276,485","281,660","95,716","10,477","3,661,497"
1992,"83,792","114,401","94,439","288,978","328,222","397,057","563,001","587,987","389,433","371,136","225,083","142,726","3,586,255"
1991,"80,017","110,752","104,350","209,530","228,056","216,434","229,251","196,706","166,002","189,619","117,478","97,006","1,945,201"
1990,"90,760","120,682","97,035","240,120","228,358","201,725","208,211","220,254","177,403","160,366","103,264","95,498","1,943,676"
1989,"83,799","103,396","143,164","213,897","194,561","242,667","226,304","223,764","180,409","161,527","113,312","83,487","1,970,287"
1988,"281,197","188,819","86,089","143,564","167,785","221,498","220,813","179,615","172,977","178,332","111,546","81,862","2,034,097"
1987,"31,243","12,854","200,085","233,617","751,970","886,590","955,813","948,792","697,963","528,658","368,754","345,854","5,962,193"
1986,"16,904","134,575","180,296","583,971","846,826","698,298","703,472","522,543","486,141","341,836","252,628","128,471","4,895,961"
1985,"41,378","144,932","505,725","618,127","786,408","757,483","716,264","680,674","695,985","621,097","497,440","119,435","6,184,948"
1984,"58,897","117,158","474,235","621,411","805,303","754,476","714,762","634,947","648,139","597,064","486,264","246,545","6,159,201"
1983,"37,076","34,562","427,248","587,967","685,251","714,794","846,146","749,073","776,105","624,183","458,612","234,817","6,175,834"
1982,"48,655","98,648","392,273","554,649","781,183","639,035","726,036","704,108","783,253","616,548","463,755","249,475","6,057,618"
1981,"26,991","58,624","337,738","476,940","691,590","619,530","662,626","661,985","682,208","586,783","418,141","227,321","5,450,477"
1980,"90,560","93,162","164,050","238,662","436,161","306,907","369,841","372,461","371,286","318,941","221,385","117,709","3,101,125"
1979,"73,630","63,932","161,630","236,650","337,916","410,341","357,212","294,702","355,500","223,620","205,540","111,973","2,832,646"
