Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,4641.875,6560.4375,9645.125,7412.5,5154.8125,2948.375,2845.0625,2329.25,2859.6875,3774.5625,3916.875,3223.6875,
2016,"4,593","5,684",,,,,,,,,,,"10,277"
2015,"3,942","6,711","10,203","7,605","5,595","2,877","2,726","1,958","2,796","4,277","4,927","3,343","56,960"
2014,"3,134","4,699","6,487","7,216","4,120","2,126","2,506","2,329","2,060","3,372","3,820","3,256","45,125"
2013,"2,547","3,177","6,852","5,454","3,953","2,050","1,822",620,"1,864","1,416","3,123","7,768","40,646"
2012,"3,817","5,392","6,742","5,337","3,313","2,025","2,559","1,678","2,371","3,036","2,484","2,405","41,159"
2011,"4,018","5,212","8,883","5,974","3,007",58,849,"1,309","1,363","2,057","2,186","2,121","37,037"
2010,"4,663","6,130","9,304","7,598","4,916","2,691","2,987","2,990","2,959","4,031","4,207","2,960","55,436"
2009,"5,362","7,030","10,432","8,487","5,329","3,000","3,053","2,735","3,458","4,599","4,571","2,795","60,851"
2008,"4,828","6,885","9,359","7,213","5,013","2,421","2,408","3,302","3,158","4,202","4,679","3,089","56,557"
2007,"4,226","6,414","10,718","7,527","4,245","2,653","3,378","2,338","4,030","4,423","4,641","3,841","58,434"
2006,"5,707","8,104","9,818","7,120","5,215","2,990","3,373","2,676","3,256","4,829","5,276","3,215","61,579"
2005,"5,425","6,922","10,956","7,005","5,015","3,140","3,134","2,824","3,329","4,051","4,865","3,558","60,224"
2004,"4,481","6,179","9,402","3,241","2,320","1,263","1,541","1,331","1,397","2,992","1,926","1,513","37,586"
2003,"5,163","4,677","7,395","6,883","4,596","2,715","2,223","1,898","1,343","3,675","3,110","1,298","44,976"
2002,"4,733","8,476","13,219","10,029","7,875","5,392","3,148","2,302","2,596","3,088","3,514","2,668","67,040"
2001,"5,045","7,709","12,640","10,134","8,611","6,583","3,896","2,914","3,992","5,878","5,224","3,198","75,824"
2000,"7,179","11,250","11,912","11,777","9,354","5,190","5,918","4,064","5,783","4,467","4,117","4,551","85,562"
1999,"7,706","11,350","15,686","14,899","11,697","5,577","5,081","3,471","6,043","9,256","7,854","3,921","102,541"
1998,"3,676","4,855","8,174","9,586","11,932","6,341","5,277","5,019","3,896","5,236","5,195","4,559","73,746"
1997,"7,179","9,584","14,715","9,511","7,997","4,431","4,321","4,955","4,650","4,824","4,921","3,622","80,710"
1996,"5,751","9,666","15,161","11,637","9,709","5,294","5,498","5,616","6,059","6,719","5,795","5,937","92,842"
1995,"6,540","9,418","13,931","13,969","11,139","6,925","6,913","5,466","6,079","7,402","5,288","1,101","94,171"
1994,"8,208","10,830","15,122","13,452","11,558","3,521","3,102","5,520","3,827","4,861","4,282","4,261","88,544"
1993,"5,906","9,356","16,478","16,284","13,828","8,249","9,497","9,826","10,754","12,194","8,054","7,414","127,840"
1992,"5,065","7,284","11,361","11,406","10,452","8,250","8,924","9,628","9,504","9,982","7,694","5,266","104,816"
1991,"4,121","6,557","9,524","9,326","9,325","6,942","7,322","7,256","6,253","7,448","5,312","4,301","83,687"
1990,"4,177","4,901","8,392","7,126","8,290","6,123","6,942","7,735","6,710","7,248","6,355","4,192","78,191"
1989,"4,057","6,903","8,938","8,207","7,831","5,107","5,298","5,318","6,035","4,509","4,763","3,376","70,342"
1988,"3,966","5,673","7,301","6,000","7,068","5,012","5,828","4,903","5,102","5,538","4,324","3,061","63,776"
1987,"3,569","4,921","6,793","7,081","7,563","4,781","5,054","3,906","4,550","5,290","5,166","3,221","61,895"
1986,"3,745","4,460","7,749","6,422","7,634","4,599","5,292","5,717","4,771","4,301","3,564","3,218","61,472"
1985,"2,940","3,902","8,765","9,151","7,763","4,635","4,716","5,067","4,086","4,060","3,962","2,633","61,680"
1984,"2,656","4,628","7,656","8,239","6,632","4,609","4,675","4,508","5,036","4,689","3,795","2,695","59,818"
1983,"2,652","4,257","6,297","5,954","7,729","4,070","4,336","3,842","3,476","3,082","3,773","2,269","51,737"
1982,"2,715","4,629","6,482","6,580","7,139","3,874","5,939","3,707","3,958","5,077","3,093","1,865","55,058"
1981,"2,784","4,715","5,463","5,875","6,267","3,742","4,065","3,656","4,108","4,522","3,818","2,849","51,864"
1980,"2,471","3,121","5,491","5,929","6,044","4,556","3,920","5,178","4,039","3,660","2,651","2,172","49,232"
1979,"2,125","4,230","6,082","7,214","4,810","4,492","4,010","3,619","3,161","3,804","3,096","2,841","49,484"
