Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,655.75,661.4375,1142.3125,4202.875,11238.125,14752.8125,12023.75,11072.1875,12650.25,9359.625,4756.625,2354.3125,
2016,500,550,,,,,,,,,,,"1,050"
2015,500,550,"1,115","5,820","14,476","16,068","15,442","14,385","13,432","14,886","5,821","2,794","105,289"
2014,490,490,"1,089","6,019","14,097","15,413","10,780","14,479","15,651","10,262","4,305","1,750","94,825"
2013,440,350,625,"4,643","15,029","17,888","9,523","12,040","13,184","8,214","7,056","5,914","94,906"
2012,971,676,"1,309","2,982","11,684","18,866","12,901","9,944","17,020","11,984","6,459","4,200","98,996"
2011,676,549,"1,268","2,374","7,986","16,878","17,378","10,675","14,511","12,692","6,687","4,090","95,764"
2010,630,910,"1,764","3,591","8,429","13,180","14,840","11,974","13,902","12,446","7,955","2,863","92,484"
2009,560,805,"1,575","4,290","13,136","17,900","12,881","12,061","15,372","10,133","6,364","1,572","96,649"
2008,500,360,420,"2,885","12,411","15,561","12,716","12,939","12,285","8,282","5,598","1,936","85,893"
2007,500,500,"2,850","5,369","13,530","13,241","10,332","8,336","11,330","7,573","5,222",750,"79,533"
2006,500,500,500,"7,984","11,225","12,102","10,035","10,970","12,996","5,951","3,568",800,"77,131"
2005,500,500,750,"4,875","7,476","11,934","9,933","10,986","9,122","7,631","3,028",500,"67,235"
2004,500,500,750,"6,969","10,847","12,158","10,430","11,838","12,138","7,206","2,250","1,000","76,586"
2003,875,"1,380","1,587","4,505","10,447","14,073","12,625","7,473","12,082","10,109","3,223","1,500","79,879"
2002,"1,050","1,163","1,200","1,500","9,614","16,537","11,910","8,274","12,005","8,761","4,320","2,000","78,334"
2001,"1,050",750,775,"1,200","11,068","11,180","9,824","11,073","8,750","7,276","2,219","3,000","68,165"
2000,750,600,700,"2,240","8,355","13,066","10,830","9,708","8,624","6,348","2,031","3,000","66,252"
1999,500,600,700,"1,400","10,030","9,590","12,635","10,338","9,899","9,899","4,500","2,250","72,341"
1998,600,550,700,"1,300","8,743","7,004","9,807","10,409","8,337","6,741","4,418","2,218","60,827"
1997,475,475,675,"1,719","9,766","10,531","11,178","11,368","9,808","7,214","8,359",475,"72,043"
1996,0,0,0,"2,856","15,644","8,383","11,792","9,836","7,665","8,947","2,187",475,"67,785"
1995,340,"1,247","1,162","6,458","13,406","12,239","12,926","9,009","9,997","6,926","4,101",0,"77,811"
1994,559,"1,564","4,245","5,243","9,176","11,514","9,407","11,613","15,813","7,802","2,359","1,586","80,881"
1993,"1,088","2,115","6,210","6,453","9,908","11,631","12,485","11,841","12,152","6,195","2,764","1,322","84,164"
1992,"5,510","5,510","5,510","9,576","12,573","14,064","12,686","10,442","11,468","8,103","2,172",150,"97,764"
