Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,614.0625,824.0625,1521.375,1683.6875,1671.3125,1755.6875,1603.25,1583.8125,1406.125,1147.5,1169.3125,674,
2015,288,186,429,308,428,325,482,377,0,0,0,0,"2,823"
2014,854,866,"2,261","2,284","2,535","2,508","2,517","3,031","1,782",489,498,403,"20,028"
2013,"1,004","1,127","2,392","3,015","1,911","2,746","2,530","2,311","1,754",777,"2,321",849,"22,737"
2012,368,"1,143","2,030","2,844","2,394","4,785","2,512","2,326","2,195","1,852","1,765","1,133","25,347"
2011,655,"1,529","1,092","1,092",0,"1,794","1,680","2,127","1,397","2,074","1,639",541,"15,620"
2010,367,235,"1,582","1,117","4,254","3,063","1,406","3,591","1,761","2,512","2,693","1,160","23,741"
2009,83,83,"1,094","1,225",949,765,842,724,"3,752",585,656,228,"10,986"
2008,458,709,"1,736",976,844,802,935,735,393,599,585,235,"9,007"
2007,455,669,"1,167","1,149","1,419","1,094","1,127",666,"1,067",933,76,284,"10,106"
2006,810,711,"1,427","1,550","1,672","1,318","1,202","1,041",619,905,597,643,"12,495"
2005,565,775,"1,145","1,740","1,816","1,455","1,082",932,697,755,959,608,"12,529"
2004,768,679,"1,161","1,656","1,465","1,314","1,610","1,090",917,"1,262","1,082",509,"13,513"
2003,669,671,"1,634","1,857","1,557","1,181","1,925","1,582",845,"1,121","1,402",557,"15,001"
2002,986,"1,704","1,779","1,886","1,743","1,871","2,014","1,480","1,170",993,"1,326",826,"17,778"
2001,629,"1,030","1,976","1,832","1,910","1,367","1,852","1,493","1,629","1,236","1,181","1,247","17,382"
2000,499,667,961,"1,660","1,364","1,166","1,326","1,212","1,747","1,393","1,006",758,"13,759"
1999,655,587,905,"1,056",908,862,"1,092","1,000",773,874,923,803,"10,438"
1998,919,741,"1,029","1,120","1,130","1,204","1,499","1,158",807,875,947,563,"11,992"
1997,457,852,993,"1,124","1,413","1,394","1,408","1,525","1,030","1,130",800,560,"12,686"
1996,239,702,"1,310","1,299","1,257","1,219","1,011","1,041","1,228",804,757,474,"11,341"
1995,610,621,"2,098","1,838","1,319","1,057","1,177","1,353",883,"1,212",902,253,"13,323"
1994,156,436,393,"1,030",670,497,"1,306","1,312","1,305","1,238","1,410",765,"10,518"
1993,633,511,570,"1,408","1,217",900,722,761,483,609,498,328,"8,640"
1992,416,610,642,"1,064",747,712,919,932,"1,055","1,420",712,699,"9,928"
1991,854,"3,254","3,655",486,482,"1,490","1,242","1,164","1,298",953,995,724,"16,597"
1990,"1,976","4,053","4,630","5,275","6,983","11,857","4,211","4,691","4,984","2,638","2,438","1,733","55,469"
1989,"1,028","3,340","4,142","1,897","8,918","3,591","2,272","2,422","2,500","2,235","1,800","1,436","35,581"
1988,735,"4,557","1,691","2,746","3,506","2,581","1,573","1,828","1,584","1,361",989,842,"23,993"
1987,651,"1,908","1,854","1,644","2,264","2,214","2,000","2,271","1,056","1,050",801,879,"18,592"
1986,407,"4,338","3,088","1,308","2,016","2,392","2,097","1,576","1,840","1,263",979,632,"21,936"
1985,354,"4,381","1,152","1,270","1,804","1,503","1,705","1,926","1,145",872,698,505,"17,315"
1984,410,"2,336",890,"1,311","1,507","1,253","2,458","2,306","1,092","1,853",578,796,"16,790"
1983,496,"1,018","1,499","1,044","1,661","1,401","1,625","1,157",906,"1,301",712,311,"13,131"
1982,126,418,515,"1,106","1,275","1,403","2,849","1,613",926,"1,360",648,636,"12,875"
1981,238,465,908,742,"1,728","1,139","1,810","1,199",976,477,884,723,"11,289"
1980,286,207,414,700,972,699,"1,336",771,555,489,453,322,"7,204"
1979,0,56,395,365,775,"1,035","1,355",945,"1,362",504,456,272,"7,520"
