Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,130004.75,132162,286307.9375,334632.0625,325854.75,362294.25,388070.0625,361705.625,322439.6875,315766.0625,191331.8125,167981.1875,
2016,"136,581",,,,,,,,,,,,"136,581"
2015,"137,701","106,662","281,139","340,424","330,316","367,671","396,495","368,474","321,708","323,432","195,337","174,550","3,343,909"
2014,"136,538","107,270","284,815","340,040","330,262","367,272","396,495","368,474","321,254","322,345","187,963","172,332","3,335,060"
2013,"119,042","127,407","314,654","318,234","301,731","338,334","365,886","307,959","319,974","285,525","195,739","174,246","3,168,731"
2012,"136,576","147,255","271,561","310,610","331,414","367,788","397,610","368,761","321,592","295,296","171,230","154,494","3,274,187"
2011,"130,202","142,995","284,611","343,003","334,548","368,181","397,020","368,667","321,382","321,382","230,069","172,517","3,414,577"
2010,"129,977","139,193","285,798","329,690","332,229","366,987","394,591","365,519","437,822","317,076","195,151","165,932","3,459,965"
2009,"130,850","132,732","286,425","337,169","329,611","367,702","390,503","366,946","310,804","318,155","187,111","166,743","3,324,751"
2008,"130,641","132,794","285,975","339,148","329,954","369,313","391,445","367,260","311,988","319,414","187,594","166,513","3,332,039"
2007,"131,405","132,724","290,062","342,620","330,594","370,340","391,303","367,519","312,001","320,829","187,923","166,590","3,343,910"
2006,"130,896","133,094","286,690","341,772","332,997","370,495","390,602","367,996","311,369","320,255","189,992","167,860","3,344,018"
2005,"130,870","132,609","288,023","339,828","332,637","369,365","391,025","367,866","311,141","319,635","188,094","167,602","3,338,695"
2004,"131,169","131,219","285,035","336,504","329,210","368,842","390,873","367,603","311,459","321,034","187,262","167,363","3,327,573"
2003,"130,847","132,319","285,558","343,749","337,528","371,197","393,269","354,285","312,464","315,801","185,288","166,834","3,329,139"
2002,"127,817","133,355","289,423","349,078","308,134","368,399","391,681","368,641","312,913","318,566","188,151","168,030","3,324,188"
2001,"122,876","141,631","281,510","312,068","310,977","367,833","395,717","368,444","309,967","315,177","188,405","167,856","3,282,461"
2000,"122,669","141,333","279,648","330,176","311,534","296,989","334,606","342,876","311,197","318,335","196,000","168,237","3,153,600"
1999,"110,998","144,861","273,638","320,510","334,566","331,509","345,320","349,679","262,562","304,310","186,150","172,159","3,136,262"
1998,"132,351","122,351","270,714","321,100","340,038","334,596","336,120","358,530","274,633","288,213","190,498","153,413","3,122,557"
1997,"142,748","135,576","292,671","306,946","336,262","326,924","340,021","363,614","318,012","290,636","192,642","172,128","3,218,180"
1996,"96,430","115,278","261,482","315,581","322,462","323,183","341,418","351,636","321,161","328,500","192,307","175,601","3,145,039"
1995,"146,996","91,291","295,473","336,861","333,482","343,599","373,931","355,155","320,655","331,309","200,875","173,697","3,303,324"
1994,"146,417","141,921","275,996","344,548","335,337","316,274","345,700","383,758","311,698","315,600","208,897","170,096","3,296,242"
1993,"86,590","65,937","104,769","223,717","269,430","285,204","318,620","346,036","184,959","223,365","144,698","92,076","2,345,401"
1992,"70,335","63,476","109,467","220,636","229,269","244,779","281,612","257,297","230,257","247,856","136,872","96,265","2,188,121"
1991,"44,227","68,403","103,754","193,452","215,217","268,420","289,297","288,313","220,522","245,676","147,937","112,685","2,197,903"
1990,"45,151","71,231","140,486","230,408","240,158","272,098","318,391","283,523","206,732","233,641","165,330","101,249","2,308,398"
1989,"44,742","39,621","160,994","214,886","260,281","257,349","306,813","242,609","208,674","256,328","158,450","72,434","2,223,181"
1988,"55,477","69,189","150,304","255,320","273,553","274,603","324,194","261,716","230,588","279,413","175,915","122,378","2,472,650"
1987,"41,064","62,085","138,445","247,180","256,712","269,306","376,271","276,723","227,365","273,572","158,755","104,209","2,431,687"
1986,"60,248","58,874","125,709","191,571","193,380","280,637","295,996","266,160","154,052","144,689","154,207","64,707","1,990,230"
1985,"36,291","76,579","102,797","192,569","201,513","287,851","330,950","315,302","212,853","177,776","108,541","95,166","2,138,188"
1984,"34,052","91,199","114,702","225,626","315,201","349,208","316,735","330,497","236,046","240,404","137,994","113,113","2,504,777"
1983,"42,808","50,450","93,268","153,971","160,343","272,872","336,868","333,351","212,500","203,434","140,026","69,037","2,068,928"
1982,"367,772","495,791","535,035","1,127,879","638,555","928,673","929,502","793,884","849,707","712,856","575,387","563,842","8,518,883"
1981,"544,236","465,790","580,334","893,194","772,021","777,717","932,634","990,508","660,321","790,515","517,469","634,064","8,558,803"
1980,"309,442","275,171","417,519","597,054","573,542","604,096","756,755","614,848","503,994","593,777","562,909","529,805","6,338,912"
1979,"418,881","455,418","571,491","715,851","667,243","680,660","738,479","720,446","576,580","600,993","496,529","529,556","7,172,127"
