Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,0,0,0,0,515.875,13736.25,34461.375,35791.8125,20484.875,10390.5625,0,0,
2015,0,0,0,0,"1,995","25,834","40,269","33,554","23,742","14,919",0,0,"140,313"
2014,0,0,0,0,"2,266","15,776","31,342","27,736","22,517","14,777",0,0,"114,414"
2013,0,0,0,0,812,"12,492","33,541","22,153","20,392","2,404",0,0,"91,794"
2012,0,0,0,0,0,"2,874","36,366","34,096","7,209","7,300",0,0,"87,845"
2011,0,0,0,0,0,"1,269","33,953","38,178","23,807",0,0,0,"97,207"
2010,0,0,0,0,0,"6,679","35,683","28,679","8,167","1,141",0,0,"80,349"
2009,0,0,0,0,0,"15,343","33,563","33,382","22,739","5,185",0,0,"110,212"
2008,0,0,0,0,0,"21,790","36,671","39,772","26,907","8,865",0,0,"134,005"
2007,0,0,0,0,"5,176","18,465","32,657","35,433","21,021","8,006",0,0,"120,758"
2006,0,0,0,0,0,"3,249","37,882","38,641","13,706","11,825",0,0,"105,303"
2005,0,0,0,0,0,"1,093","25,473","28,760","12,076",0,0,0,"67,402"
2004,0,0,0,0,0,"15,320","34,685","37,414","18,786","8,583",0,0,"114,788"
2003,0,0,0,0,0,"14,067","33,611","38,889","16,868","15,115",0,0,"118,550"
2002,0,0,0,0,0,"18,868","41,802","53,143","18,653","14,896",0,0,"147,362"
2001,0,0,0,0,0,"29,963","34,273","41,888","29,475","19,879",0,0,"155,478"
2000,0,0,0,0,0,"19,718","39,750","40,837","27,653","20,025",0,0,"147,983"
1999,0,0,0,0,0,"22,814","30,130","33,668","37,782","28,248",0,0,"152,642"
1998,0,0,0,0,0,"4,469","34,741","42,327","39,571",0,0,0,"121,108"
1997,0,0,0,0,0,"8,753","33,108","46,227","33,470","18,254","2,927",0,"142,739"
1996,0,0,0,0,0,"7,087","32,063","35,760","35,840","12,614",0,0,"123,364"
1995,0,0,0,0,0,88,"18,531","28,290","23,637","16,461","17,752",471,"105,230"
1994,0,0,0,0,0,"8,278","34,073","18,277","31,531","13,483",212,0,"105,854"
1993,0,0,0,0,0,816,"37,725","36,095","34,713","22,313","2,991",0,"134,653"
1992,0,0,0,0,434,"3,276","25,801","17,607","21,589","21,445",0,0,"90,152"
1991,0,0,0,0,0,"21,223","36,534","42,511","30,117","15,054",0,0,"145,439"
1990,0,0,0,0,"6,301","25,453","34,205","41,483","29,147","17,972","4,101",0,"158,662"
1989,0,0,0,0,0,"25,154","33,639","35,362","23,821","7,647",0,0,"125,623"
1988,0,0,0,0,0,"18,174","32,889","32,016","18,909","13,724","1,107",0,"116,819"
1987,0,0,0,0,0,"20,288","29,586","33,703","21,471","13,865",0,0,"118,913"
1986,0,0,0,0,0,"3,195","24,038","31,397","16,823","8,056","6,009",0,"89,518"
1985,0,0,0,0,0,"16,592","24,359","38,792","21,337","7,598",0,0,"108,678"
1984,0,0,0,0,0,"14,777","21,450","31,382","23,583","6,617",0,0,"97,809"
1983,0,0,0,0,0,0,"12,571","25,303","21,166","13,096","1,476",0,"73,612"
1982,0,0,0,0,0,0,"23,529","27,752","19,552","9,166",0,0,"79,999"
1981,0,0,0,0,0,"13,203","21,244","28,705","20,802","2,130",0,0,"86,084"
1980,0,0,0,0,0,0,"24,245","32,193","15,097","6,165","1,430",0,"79,130"
1979,0,0,0,0,0,"3,248","21,920","28,788","18,967","8,275",125,0,"81,323"
