Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1979.9375,2016.5,4821.3125,7307.25,25946.6875,77416.5625,103547.5,105634.6875,43909,13665.0625,4340.5625,2364.3125,
2016,"2,518","3,706",,,,,,,,,,,"6,224"
2015,"2,196","2,497","7,567","8,376","31,440","94,038","122,667","120,623","58,836","21,218","5,737","3,638","478,833"
2014,"2,145","2,176","4,401","7,642","30,453","87,808","116,467","113,490","51,356","17,895","4,762","2,280","440,875"
2013,"2,225","2,160","5,401","6,681","27,824","84,577","111,791","112,348","52,977","3,267","4,639","3,436","417,326"
2012,"2,368","2,842","7,046","10,575","27,960","80,371","105,021","106,098","50,251","15,592","5,034","3,836","416,994"
2011,"2,087","1,793","6,440","7,177","23,055","75,750","102,672","104,450","49,158","16,102","4,083","2,436","395,203"
2010,"1,400","2,002","4,007","7,737","26,136","84,344","117,564","122,206","47,784","16,321","4,611","2,088","436,200"
2009,"1,801","1,998","3,703","6,118","27,137","76,790","106,723","104,045","44,088","10,742","5,281","2,597","391,023"
2008,"1,966","1,498","4,725","6,168","21,757","64,833","84,504","96,111","37,826","11,044","4,036","1,835","336,303"
2007,"1,851","1,742","4,503","6,108","20,371","62,662","85,798","84,146","36,018","12,676","4,705","1,692","322,272"
2006,"1,900","1,761","3,321","6,455","22,872","68,786","88,906","86,860","36,439","12,681","3,873","1,910","335,764"
2005,"2,207","1,989","5,358","5,381","23,067","75,973","97,645","106,572","33,978","11,849","3,846","1,710","369,575"
2004,"2,222","2,166","4,128","7,551","26,201","74,813","96,254","112,896","41,585","13,454","3,649","1,639","386,558"
2003,"1,702","2,108","3,126","6,642","25,829","76,554","107,264","110,067","42,279","15,162","3,301","2,232","396,266"
2002,"1,910","1,747","3,963","8,105","28,275","83,835","109,673","104,977","43,420","12,963","3,913","2,153","404,934"
2001,"1,598","1,787","4,217","8,158","26,289","70,733","98,816","99,313","42,897","14,363","5,284","2,141","375,596"
2000,"2,101","1,998","5,235","8,042","26,481","76,798","104,995","105,953","33,652","13,312","2,695","2,206","383,468"
1999,"1,825","2,811","4,987","7,032","26,000","76,894","101,810","108,559","44,401","14,272","5,211","2,090","395,892"
1998,"2,228","2,384","3,642","8,149","28,083","77,524","106,847","105,850","44,929","13,237","4,023","2,168","399,064"
1997,"1,736","2,125","5,927","6,339","25,550","73,989","104,915","109,658","39,140","13,608","3,985","2,165","389,137"
1996,"2,147","2,087","4,512","9,419","26,670","88,529","120,142","118,040","45,422","14,010","3,826","1,787","436,591"
1995,"3,418","3,729","5,751","7,927","26,720","79,400","111,115","116,609","45,326","14,840","4,100","1,593","420,528"
1994,"1,215","1,023","4,506","8,618","28,299","86,012","124,235","131,734","54,358","9,465","2,724","2,587","454,776"
1993,"1,709","2,633","4,614","7,881","30,553","79,375","118,559","122,896","40,426","12,878","3,083","1,850","426,457"
1992,"2,295","2,895","5,100","8,410","24,899","89,348","135,107","122,757","45,101","15,250","4,444","1,653","457,259"
1991,"1,917","2,030","5,559","6,472","28,017","99,909","125,289","122,159","47,004","12,559","3,351","2,446","456,712"
1990,"1,799","1,739","3,838","6,901","28,197","88,317","124,146","119,574","34,579","12,284","5,886","1,688","428,948"
1989,"2,079","1,441","3,726","5,724","21,577","67,428","102,389","95,935","31,504","10,460","4,339","2,614","349,216"
1988,"1,320",778,"4,436","7,597","21,635","68,598","98,412","92,245","30,842","11,141","4,150","1,993","343,147"
1987,"2,332","2,629","2,865","7,050","20,777","62,663","83,868","94,012","34,868","10,814","4,514","1,620","328,012"
1986,"1,458","1,431","5,165","4,690","17,267","59,468","85,458","72,279","27,537","9,326","4,204","2,249","290,532"
1985,"1,657","1,836","3,764","6,907","14,142","46,020","53,163","57,851","20,976","6,971","2,363","1,137","216,787"
1984,"2,206","2,506","2,849","5,319","14,702","50,737","59,382","46,834","21,986","7,978","3,898","1,458","219,855"
1983,"2,143","2,471","3,081","5,805","16,670","63,128","72,167","66,252","19,956","10,381","4,169","1,053","267,276"
1982,"1,363","3,200","4,090","6,291","16,713","61,466","70,196","67,150","22,022","6,815","3,747","1,250","264,303"
1981,"2,646","2,649","5,567","9,048","22,291","26,065","89,816","82,337","28,569","9,464","4,563","2,295","285,310"
1980,"1,558","2,236","3,464","6,232","11,229","34,232","51,479","63,981","27,860","4,863","4,366","2,192","213,692"
1979,"1,366","2,373","4,490","11,710","18,244","35,281","63,185","55,938","21,260","8,130","1,862","2,252","226,091"
