Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,4146.625,5047.5,8403.5625,14652.75,28815.8125,50727.1875,56581.75,48542.6875,30821.25,18118.4375,7517.25,4392.875,
2016,"3,291",,,,,,,,,,,,"3,291"
2015,"3,868","4,354","10,001","17,996","28,446","55,878","62,506","49,448","33,266","17,986","5,417","2,633","291,799"
2014,"2,354","2,788","6,387","16,618","30,977","47,855","51,907","42,811","25,519","15,809","4,366","3,234","250,625"
2013,"2,872","3,668","6,962","22,040","33,616","57,814","52,366","47,522","31,700","7,503","5,633","2,665","274,361"
2012,"5,304","3,706","8,110","13,304","36,202","44,729","64,031","50,899","32,848","32,367","7,487","3,871","302,858"
2011,"2,686","2,600","7,139","5,859","24,442","33,272","41,111","30,148","32,047","24,028","6,188","4,039","213,559"
2010,"4,410","8,801","9,526","6,200","14,361","33,171","51,901","31,796","19,160","13,430","3,252","1,804","197,812"
2009,"1,112","6,273","2,091","8,419","23,435","38,981","42,348","33,449","19,208","9,194","6,312","13,040","203,862"
2008,"3,773","1,852","6,173","7,387","23,940","39,340","37,482","36,675","20,765","9,651","11,700","2,986","201,724"
2007,"4,267","5,201","6,895","15,561","23,904","45,569","48,453","42,077","21,724","10,828","4,244","2,191","230,914"
2006,"7,446","9,802","13,072","23,317","27,672","34,206","50,881","54,922","28,873","11,984","9,995","6,303","278,473"
2005,"7,810","8,018","9,725","18,453","32,380","59,330","63,381","53,166","59,132","20,562","19,655","8,972","360,584"
2004,"3,684","4,888","9,870","17,593","30,680","59,025","66,422","56,243","44,368","24,155","7,787",564,"325,279"
2003,"3,565","3,962","8,330","13,308","28,015","57,975","59,458","54,900","27,704","23,558","5,924","3,150","289,849"
2002,"3,661","3,865","9,792","14,509","29,708","60,912","60,368","53,200","29,071","22,748","7,361","3,947","299,142"
2001,"4,319","4,893","10,827","15,023","31,931","63,938","71,029","59,978","29,898","21,968","7,529","5,040","326,373"
2000,"5,215","6,089","9,557","18,857","41,344","79,640","81,664","79,449","37,857","24,124","7,426","5,847","397,069"
1999,"4,747","5,857","11,946","13,976","39,569","85,286","87,166","73,649","46,690","27,322","8,361","6,173","410,742"
1998,"4,026","4,960","12,830","15,783","48,297","92,284","86,742","73,360","45,130","23,718","8,065","5,100","420,295"
1997,"3,436","5,211","16,550","15,818","43,342","94,519","95,875","83,219","45,610","31,967","6,916","4,161","446,624"
1996,"4,040","6,833","14,141","26,034","42,843","99,215","101,402","86,619","50,492","21,151","7,188","4,175","464,133"
1995,"6,081","8,232","12,778","22,065","49,458","101,745","105,339","94,494","56,496","26,754","8,838","4,229","496,509"
1994,"7,436","9,241","14,035","26,035","53,590","94,052","96,498","90,811","50,004","25,136","6,630","7,108","480,576"
1993,"6,295","6,633","13,211","27,289","57,959","95,559","121,225","108,757","55,375","27,477","8,137","6,357","534,274"
1992,"5,798","5,200","15,886","23,295","51,276","76,980","115,002","88,132","57,390","28,874","5,305","7,274","480,412"
1991,"5,510","6,231","13,647","15,452","44,188","71,404","93,932","87,096","62,359","27,000","14,634","6,328","447,781"
1990,"7,197","6,833","11,981","23,993","46,057","70,229","100,861","84,341","57,625","23,629","12,142","5,480","450,368"
1989,"7,019","6,394","14,224","18,982","47,027","69,023","90,491","83,174","48,918","28,521","15,924","6,606","436,303"
1988,"4,969","6,121","11,927","20,890","42,249","84,148","99,094","87,001","57,919","40,697","12,694","6,743","474,452"
1987,"5,241","7,004","8,678","18,407","39,785","72,445","87,034","80,939","46,192","28,558","11,197","6,609","412,089"
1986,"5,039","6,448","15,830","14,226","46,569","71,659","99,541","91,636","40,870","20,300","11,596","7,177","430,891"
1985,"5,059","4,775","6,307","21,698","45,361","73,496","91,765","86,617","43,700","22,757","11,946","4,706","418,187"
1984,"3,730","5,291","6,108","12,309","35,302","78,720","185,758","86,139","46,144","19,254","11,124","3,261","493,140"
1983,"4,367","6,565","10,079","13,122","39,610","90,042","112,175","77,037","41,338","20,658","9,609","2,773","427,375"
1982,"3,901","6,578","10,124","18,276","45,203","76,777","94,014","77,656","33,391","17,358","9,870","3,790","396,938"
1981,"7,206","5,703","9,411","19,584","40,751","56,701","75,525","64,220","33,135","20,027","9,465","4,056","345,784"
1980,"2,213","4,140","6,218","13,684","36,482","53,864","78,387","67,388","36,201","20,595","8,387","5,222","332,781"
1979,"1,704","3,172","6,498","14,214","35,850","52,953","65,606","60,718","27,997","19,733","5,423","1,969","295,837"
