Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,127,160.375,313.5625,250.125,433.0625,258.4375,321.5625,222.9375,431.5,282.375,169.3125,125.4375,
2016,185,257,,,,,,,,,,,442
2015,207,235,419,290,604,224,321,269,781,179,274,139,"3,942"
2014,113,154,249,266,417,178,445,216,729,125,183,127,"3,202"
2013,147,130,313,187,339,152,343,204,513,65,294,242,"2,929"
2012,88,143,235,196,418,230,290,222,528,170,196,73,"2,789"
2011,186,170,233,260,313,173,323,250,220,143,176,146,"2,593"
2010,110,119,247,263,485,280,291,155,157,137,117,84,"2,445"
2009,97,42,917,266,778,238,330,319,308,220,199,69,"3,783"
2008,115,124,259,134,318,329,261,219,239,281,134,131,"2,544"
2007,147,184,234,162,350,174,177,205,308,168,175,55,"2,339"
2006,72,124,296,325,412,238,258,189,184,"1,048",89,137,"3,372"
2005,145,198,198,234,587,223,226,171,428,972,153,117,"3,652"
2004,140,179,334,449,202,198,568,200,0,123,165,126,"2,684"
2003,21,12,0,20,315,332,385,290,595,234,215,253,"2,672"
2002,132,299,380,361,403,377,311,274,741,182,32,4,"3,496"
2001,161,253,303,303,388,425,219,216,752,173,149,168,"3,510"
2000,151,200,400,286,600,364,397,168,421,298,158,136,"3,579"
1999,175,240,207,327,567,460,262,269,365,271,159,98,"3,400"
1998,122,531,320,238,489,502,170,301,194,433,152,164,"3,616"
1997,244,150,443,400,483,306,207,248,150,597,192,77,"3,497"
1996,102,285,451,260,338,484,239,307,344,212,249,169,"3,440"
1995,188,280,296,356,277,291,265,323,362,253,170,51,"3,112"
1994,161,266,423,292,251,292,276,286,242,196,198,148,"3,031"
1993,209,269,254,314,271,292,325,348,194,175,162,194,"3,007"
1992,178,196,425,376,378,343,333,332,320,306,367,138,"3,692"
1991,125,237,344,329,356,273,311,324,291,314,235,143,"3,282"
1990,209,248,491,333,405,395,291,311,371,193,237,170,"3,654"
1989,302,305,249,254,327,127,206,325,306,252,324,152,"3,129"
1988,336,339,339,330,296,272,397,365,358,410,390,386,"4,218"
1987,269,287,270,349,332,267,237,291,299,350,345,233,"3,529"
1986,172,125,196,213,194,94,187,309,267,264,339,279,"2,639"
1985,0,452,388,267,292,187,130,194,237,295,288,84,"2,814"
