Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,2866.555556,2794.444444,7278.777778,13640.44444,22737.22222,26867.33333,31437.22222,31977.77778,40838.88889,29098.55556,12078.66667,4813,
2016,"5,462",,,,,,,,,,,,"5,462"
2015,"3,667","2,924","9,162","18,086","31,150","32,243","38,328","39,102","69,248","58,311","25,990","9,006","337,217"
2014,"3,072","3,062","10,872","19,820","33,757","37,349","40,412","40,426","42,544","34,254","12,303","6,355","284,226"
2013,"5,006","4,078","9,154","19,368","31,275","37,435","43,910","41,152","43,419","12,329","13,222","5,576","265,924"
2012,"5,677","7,152","12,848","22,956","32,157","40,152","46,412","44,949","47,608","38,068","14,393","5,554","317,926"
2011,"1,143","1,919","3,797","8,242","19,136","22,353","29,784","31,716","70,337","49,302","18,757","8,760","265,246"
2010,"1,490",375,"4,049","8,917","14,016","17,935","21,844","21,228","23,326","17,214","5,815","1,628","137,837"
2009,"1,336","2,457","5,594","9,365","15,409","19,859","21,998","23,016","25,752","16,078","7,069","1,735","149,668"
2008,"1,671","1,703","4,644","8,083","12,631","15,547","19,244","23,190","22,543","18,893","5,347","2,595","136,091"
2007,"2,737","1,480","5,389","7,927","15,104","18,933","21,003","23,021","22,773","17,438","5,812","2,108","143,725"
