Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1460.375,1420.0625,2471.5,3034.625,6395.5,9553.25,13032.5625,10320.5625,7795.6875,5197.625,1946.875,1478.0625,
2016,"1,505","1,841",,,,,,,,,,,"3,346"
2015,"1,644","2,166","3,362","3,160","6,150","9,854","13,091","11,541","9,816","6,121","1,204","1,021","69,130"
2014,"1,784","1,599","2,526","2,789","5,462","9,562","12,584","9,640","8,136","6,210","1,755","1,250","63,297"
2013,"1,466","1,561","1,993","2,830","6,229","10,795","11,019","9,404","7,056","1,824","2,516","1,339","58,032"
2012,"1,671","1,349","3,335","3,965","6,410","9,275","10,388","8,110","7,916","5,635","2,509","2,074","62,637"
2011,"1,818","1,094","2,144","2,626","5,824","9,378","12,488","9,496","7,515","4,859","2,124","1,923","61,289"
2010,"1,470","1,138","1,944","2,825","5,630","9,844","13,321","11,399","9,136","5,766","1,716","1,233","65,422"
2009,"1,320","1,508","2,605","1,990","6,209","10,191","12,738","11,485","7,806","4,767","2,255","1,377","64,251"
2008,834,"1,083","1,781","2,289","5,289","8,353","11,622","9,684","7,240","5,806","2,056",951,"56,988"
2007,753,"1,108","2,536","2,775","5,639","8,083","11,074","8,885","7,820","4,879","1,714",726,"55,992"
2006,"1,315","1,305","2,219","3,203","5,654","8,356","11,703","8,679","7,486","3,910","1,611",653,"56,094"
2005,"1,549","1,665","2,230","2,760","6,271","8,510","12,105","8,959","6,903","4,484","1,785","2,287","59,508"
2004,"1,311",739,"2,881","2,360","6,319","8,058","11,545","10,136","8,679","5,346","1,740","2,144","61,258"
2003,"1,806","1,031","1,724","2,964","8,120","9,523","13,280","12,238","7,076","6,238","1,831","1,706","67,537"
2002,"1,331","1,746","2,719","3,800","7,018","6,558","13,139","9,860","7,648","5,058","2,053","1,579","62,509"
2001,"1,380","1,658","2,630","4,050","7,324","13,281","18,672","11,969","8,575","5,968","2,396","1,766","79,669"
2000,"1,914","1,971","2,915","4,168","8,780","13,231","19,752","13,644","5,923","6,291","1,885","1,620","82,094"
1999,"1,395","2,343","3,523","2,358","7,081","12,188","17,921","14,838","9,220","6,094","2,980","1,569","81,510"
1998,"1,473","1,830","2,163","2,921","8,334","12,168","18,049","14,521","10,384","4,130","2,216","1,590","79,779"
1997,"1,179","1,731","3,663","2,888","8,104","13,093","22,801","15,355","9,219","5,365","1,570","1,520","86,488"
1996,"1,160","1,770","2,701","3,688","7,254","14,284","25,404","15,656","9,699","5,608","2,449","1,605","91,278"
1995,"1,415","1,960","3,058","1,909","7,239","13,273","27,725","15,833","9,380","6,804","2,018",820,"91,434"
1994,"1,968","1,993","3,648","4,088","8,324","12,419","29,548","17,900","10,768","5,438","2,286","1,953","100,333"
1993,916,"1,351","2,405","3,926","7,551","12,891","18,955","14,971","10,341","4,969","1,483","1,749","81,508"
1992,"1,659","1,519","1,673","4,066","9,499","12,170","17,782","14,866","10,480","9,991","2,531","1,733","87,969"
1991,"1,055","1,508","2,684","2,333","6,930","10,529","15,118","13,379","9,870","6,400","1,819","1,450","73,075"
1990,"1,254","1,843","2,996","6,144","12,496","13,580","22,076","19,136","9,034","3,471","1,754","1,060","94,844"
1989,"2,325","1,718","4,712","6,138","13,236","19,388","35,389","38,044","25,868","9,714","3,827","1,381","161,740"
1988,"1,492","2,171","4,146","5,897","12,852","20,065","35,362","37,610","19,650","9,364","3,640","2,763","155,012"
1987,"2,092","2,146","4,124","5,840","12,844","19,850","32,797","35,473","16,789","7,880","2,884",878,"143,597"
1986,"2,207","1,879","4,686","3,865","10,503","17,678","30,838","29,124","13,560","6,362","2,867","3,861","127,430"
1985,876,"1,146","2,165","3,416","7,444","13,742","24,083","22,278","10,074","5,049","1,657","2,060","93,990"
1984,935,992,798,"1,223","4,963","8,686","12,409","13,513","6,939","1,965","1,371","1,051","54,845"
1983,667,"1,120",598,"1,251","4,123","7,342","13,417","11,759","5,674","3,748","1,093",517,"51,309"
1982,475,904,"1,534","2,294","4,846","7,527","10,650","11,469","5,086","3,309",987,496,"49,577"
1981,"1,012",948,"1,120","2,238","3,658","8,106","12,150","10,691","6,450","2,654","1,197",523,"50,747"
1980,399,809,"1,229","1,881","4,672","10,782","17,844","16,148","7,521","3,359","1,093",915,"66,652"
1979,430,710,958,"2,171","3,574","7,532","10,849","10,686","6,126","2,965",632,286,"46,919"
