Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,493.875,563.875,1479.125,2679.125,5296.375,5062.125,3190.4375,2425.3125,3002.6875,2037,1102,1206.75,
2016,466,862,,,,,,,,,,,"1,328"
2015,506,416,"1,331","2,116","4,557","3,599","3,050","2,238","3,608","1,902",827,"1,381","25,531"
2014,312,443,"1,526","1,852","5,047","3,962","2,811","2,290","3,717","1,772","1,154","1,080","25,966"
2013,431,429,928,"2,362","4,864","4,552","2,720","1,981","5,078",670,878,880,"25,773"
2012,572,816,"1,468","2,158","4,666","4,736","2,443","1,797","2,644","1,566",961,"1,207","25,034"
2011,989,439,"1,530","2,307","5,124","3,819","2,742","2,131","2,359","2,452","1,112","1,215","26,219"
2010,341,337,"1,431","2,697","4,731","5,987","3,237","2,075","2,453","2,169",992,"1,185","27,635"
2009,526,641,"1,394","1,784","4,924","6,389","3,719","2,948","2,123","1,898","1,172","1,026","28,544"
2008,347,347,"1,338","1,954","4,060","7,742","2,452","1,948","1,598","1,648",705,"1,183","25,322"
2007,211,317,"1,298","2,377","4,205","3,649","2,678","1,586","2,279","1,829",928,957,"22,314"
2006,552,645,"1,480","2,917","4,770","4,136","2,475","1,635","2,189","1,555","1,072",843,"24,269"
2005,246,701,"1,569","2,835","5,067","3,588","3,205","1,932","1,887","2,436","1,126","1,206","25,798"
2004,363,575,"1,300","2,770","4,875","6,828","2,807","2,327","2,593","1,950","1,345","1,240","28,973"
2003,492,594,"1,682","2,650","6,462","4,839","3,099","2,602","2,683","2,246",945,"1,356","29,650"
2002,696,977,"1,593","3,200","7,367","6,017","5,299","3,892","4,401","2,558","1,128","1,311","38,439"
2001,579,579,"2,008","4,629","7,677","6,038","3,899","3,668","4,586","3,229","2,044","1,737","40,673"
2000,739,766,"1,790","4,258","6,346","5,113","4,411","3,755","3,845","2,712","1,243","1,501","36,479"
1999,618,"1,075","1,814","3,791","7,551","6,282","4,819","4,264","4,204","4,504","1,739","1,589","42,250"
1998,638,"1,170","1,979","4,195","7,043","15,835","4,498","4,151","3,725","3,204","1,778","2,112","50,328"
1997,691,985,"2,605","5,304","6,379","8,295","5,716","6,053","4,923","3,975","1,688","1,809","48,423"
1996,633,"1,150","2,372","4,486","6,905","8,936","6,526","5,403","4,065","4,438","1,417","2,075","48,406"
1995,556,"1,205","2,114","5,677","6,866","8,143","6,101","5,246","5,947","4,332","1,566","1,806","49,559"
1994,395,870,"2,774","5,469","9,197","26,465","6,080","5,348","7,813","4,545","1,642","2,452","73,050"
1993,600,"1,071","2,174","3,861","9,376","30,599","7,553","6,700","6,451","5,693","1,265","2,603","77,946"
1992,"1,131","1,678","2,879","4,234","11,983","32,166","8,396","8,288","7,030","3,610","1,238","2,062","84,695"
1991,370,"1,210","2,514","2,883","10,201","28,156","7,372","7,330","5,373","4,548","1,054","3,484","74,495"
1990,"1,152","1,133","2,235","4,336","10,645","24,943","9,120","7,281","6,641","4,520","2,662","1,626","76,294"
1989,"1,039",765,"3,176","3,520","10,345","25,062","7,734","5,804","6,805","6,276","2,410","3,817","76,753"
1988,746,941,"2,277","3,850","10,705","18,609","8,427","6,547","5,807","5,535","1,856","2,980","68,280"
1987,911,"1,247","4,449","4,183","10,896","22,064","8,033","6,519","7,834","4,258","1,551","2,551","74,496"
1986,"1,302","1,113","3,338","4,969","11,920","22,135","7,083","9,755","11,510","4,951","1,783","3,064","82,923"
1985,776,880,"2,608","3,929","11,708","21,539","8,406","7,597","9,850","4,141","1,663","3,096","76,193"
1984,"1,125","1,727","2,700","3,087","9,258","19,474","10,056","9,130","10,678","3,930","2,771","4,099","78,035"
1983,"1,356","1,397","2,351","3,155","7,033","23,100","7,843","6,161","8,576","7,423","2,027","2,884","73,306"
1982,689,"1,627","2,285","3,817","6,402","13,817","7,593","7,047","6,812","7,104","2,630","3,902","63,725"
1981,"1,110","1,289","2,941","3,782","6,065","6,846","7,001","7,098","6,795","3,228","2,649","2,829","51,633"
1980,340,397,"1,489","2,781","6,399","4,401","4,074","4,962","3,256","3,040","2,401","2,382","35,922"
1979,0,0,0,0,0,"2,049","2,243","2,063","1,551","2,031","1,591",480,"12,008"
