Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,34823,37026.375,49213.625,51302.5,61852.5,75870.125,129701.875,76976.125,62715.4375,41102.6875,37959.1875,27845.25,
2016,"35,522","52,895",,,,,,,,,,,"88,417"
2015,"63,005","53,069","30,432","52,422","88,314","151,483","125,948","80,012","57,072","44,590","35,703","36,622","818,672"
2014,"35,212","28,263","27,199","31,038","77,259","79,003","147,334","145,240","73,767","48,081","65,558","45,786","803,740"
2013,"37,620","50,508","47,474","46,930","79,058","95,871","133,427","109,414","68,343","20,794","18,084","26,017","733,540"
2012,"59,973","31,865","70,009","34,219","64,926","73,643","97,326","52,922","45,980","43,381","75,555","31,605","681,404"
2011,"33,677","32,422","40,251","46,125","56,504","70,626","123,956","91,878","72,382","30,567","87,866","24,185","710,439"
2010,"70,133","55,345","88,789","64,951","35,771","89,073","119,736","83,298","67,538","48,668","35,149","28,538","786,989"
2009,"50,049","39,759","76,754","102,961","91,233","107,825","187,871","92,245","102,649","74,000","59,883","32,097","1,017,326"
2008,"35,040","49,832","63,196","78,053","69,205","97,602","167,524","77,758","92,372","71,771","43,277","48,787","894,417"
2007,"20,129","29,457","71,876","50,504","71,368","59,512","141,362","69,670","72,448","39,837","31,761","24,721","682,645"
2006,"26,194","31,017","46,828","65,417","60,860","68,676","149,875","71,837","76,261","46,076","23,327","23,939","690,307"
2005,"65,532","72,041","78,524","74,643","74,954","52,917","123,477","93,146","64,277","44,502","23,432","33,753","801,198"
2004,"14,666","42,800","44,119","59,864","79,400","77,312","148,755","63,929","51,613","41,109","29,139","29,709","682,415"
2003,"8,671","21,098","16,190","34,353","27,052","33,187","125,076","80,709","51,358","47,464","36,832","28,393","510,383"
2002,"13,953","20,778","25,991","30,090","37,524","55,263","93,865","36,044","39,488","13,121","13,299","7,978","387,394"
2001,"11,506","16,023","30,950","25,286","38,519","59,309","102,158","37,971","38,473","21,464","13,642","9,361","404,662"
2000,"11,808","18,145","28,836","23,984","37,693","42,620","87,540","45,545","29,426","22,218","14,840","14,033","376,688"
1999,"14,419","15,132","25,014","30,442","38,981","36,532","94,439","41,983","29,655","23,151","15,659","12,243","377,650"
1998,"10,678","13,938","20,956","27,975","60,202","35,572","93,363","44,509","18,725","14,532","16,195","8,681","365,326"
1997,"9,234","19,934","24,367","30,163","35,187","35,271","93,749","36,874","17,476","20,674","24,999","12,709","360,637"
1996,"11,589","15,591","24,689","25,285","36,139","30,412","96,762","34,672","26,655","19,966","17,721","13,288","352,769"
1995,"12,151","12,038","25,115","19,796","26,644","32,474","84,108","31,917","27,798","18,142","15,210","4,916","310,309"
1994,"14,219","13,093","20,242","22,989","31,526","32,930","68,277","34,345","32,188","18,575","15,128","14,854","318,366"
1993,"10,168","11,508","25,264","19,532","34,883","30,627","77,598","27,112","24,224","17,514","17,221","10,917","306,568"
1992,"9,993","11,967","19,992","21,304","47,272","25,261","24,077","72,630","23,399","15,988","11,995","7,580","291,458"
1991,"7,406","8,306","14,053","17,102","22,108","20,126","87,512","19,378","13,128","17,359","10,270","8,669","245,417"
1990,"6,691","8,945","14,829","13,391","15,505","17,872","71,890","17,789","14,104","14,177","9,697","5,490","210,380"
1989,"5,753","6,127","10,810","18,553","24,624","24,617","62,799","23,442","20,459","15,576","8,486","8,218","229,464"
1988,"6,372","12,282","20,249","24,425","27,786","26,718","66,287","29,243","21,652","18,956","11,928","9,280","275,178"
1987,"7,150","8,795","14,851","23,165","25,954","24,388","59,314","29,572","20,896","18,522","11,193","6,098","249,898"
1986,"6,846","9,615","15,208","20,749","28,306","29,641","71,290","29,648","18,108","16,195","9,029","8,510","263,145"
1985,"7,861","8,716","16,062","26,525","29,073","26,263","70,115","29,599","17,948","17,142","8,091","7,434","264,829"
1984,"6,562","8,680","14,642","22,672","26,646","27,859","78,737","26,085","20,085","16,897","10,010","6,503","265,378"
1983,"9,904","8,924","13,790","20,202","23,072","24,096","66,391","25,923","18,073","14,652","10,161","4,462","239,650"
1982,"6,064","8,470","13,485","18,824","26,514","21,404","51,765","19,776","10,881","10,463","8,367","5,340","201,353"
1981,"7,835","9,532","14,834","21,042","23,840","22,286","64,606","26,781","16,711","8,408","9,415","5,934","231,224"
1980,"4,516","7,769","12,464","19,197","20,326","17,186","20,989","22,456","11,231","10,226","7,765","8,017","162,142"
1979,"3,450","7,480","14,626","15,657","20,377","18,032","23,300","20,380","9,806","9,721","8,711","5,209","156,749"
