Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,12326.125,15206.875,23895.75,35502.6875,37748.875,36517.5625,38978.125,38404.125,35100.75,27357.5,26117.5625,15339.375,
2016,"19,976","23,054",,,,,,,,,,,"43,030"
2015,"16,717","8,697","24,428","35,452","29,917","29,904","40,279","41,755","36,037","24,105","24,700","25,442","337,433"
2014,"23,234","23,039","30,854","34,480","37,682","40,717","56,529","59,256","56,212","48,991","16,998","38,086","466,078"
2013,"18,865","18,341","31,539","35,041","36,673","40,731","59,385","56,713","56,632","21,171","46,940","21,887","443,918"
2012,"12,979","14,810","22,743","32,073","34,204","35,149","39,309","45,563","37,822","32,896","35,151","26,125","368,824"
2011,"6,887","18,161","31,924","76,349","45,473","42,879","43,592","41,294","42,046","26,765","20,658","13,353","409,381"
2010,"11,869","17,348","9,984","37,526","44,337","37,317","40,324","51,414","38,079","31,309","26,960","6,416","352,883"
2009,"9,792","17,775","19,502","31,732","34,290","34,694","37,475","50,972","37,107","28,467","24,770","12,794","339,370"
2008,"14,864","18,382","27,134","61,332","62,886","41,775","46,362","28,048","36,840","43,300","89,285","13,994","484,202"
2007,"12,845","7,175","32,218","30,035","36,615","31,023","43,189","41,029","31,805","28,751","22,280","7,695","324,660"
2006,"13,039","17,167","24,892","32,218","73,343","31,771","9,261","32,454","29,519","24,012","14,889","12,825","315,390"
2005,"7,445","14,703","25,921","30,205","33,774","40,142","48,461","30,403","31,484","18,340","15,703","10,221","306,802"
2004,"11,521","19,433","20,907","24,107","24,475","29,046","27,964","30,247","23,954","19,321","11,660","10,851","253,486"
2003,"11,905","17,483","20,606","26,898","27,967","30,659","28,908","21,012","18,182","25,653","23,795","11,498","264,566"
2002,"14,420","14,533","26,643","32,811","33,331","37,174","20,409","30,503","28,485","24,048","16,899","7,977","287,233"
2001,"4,482","6,820","13,824","19,948","22,987","41,791","44,667","23,278","28,115","23,469","17,770","19,881","267,032"
2000,"6,354","9,443","19,213","27,836","26,028","39,509","37,536","30,525","29,293","17,122","9,423","6,385","258,667"
1999,"8,051","9,488","16,950","25,784","32,234","28,348","34,113","26,102","24,873","26,609","10,756","4,823","248,131"
1998,"9,701","12,437","18,925","30,641","28,506","32,858","39,533","32,460","26,455","20,271","12,310","9,854","273,951"
1997,"10,042","11,728","20,320","23,714","29,371","34,781","35,798","31,295","29,996","19,546","9,570","7,891","264,052"
1996,"4,168","6,905","19,934","21,682","30,978","36,607","37,344","34,085","26,781","11,705","9,764","8,001","247,954"
1995,"5,129","6,936","14,428","17,775","36,103","31,041","37,251","27,622","32,110","24,549","8,604","3,143","244,691"
1994,"6,680","14,246","26,833","20,203","30,860","15,184","21,041","19,854","23,107","12,469","8,275","4,501","203,253"
1993,"11,066","24,551","15,480","20,246","25,549","33,299","27,790","25,518","29,647","18,620","15,819","8,244","255,829"
1992,"9,898","15,430","19,541","27,716","41,295","41,667","48,021","45,179","33,073","21,108","20,000","10,000","332,928"
1991,"3,739","12,310","31,710","25,650","52,929","49,943","44,844","43,523","35,525","24,912","15,947","8,678","349,710"
1990,"9,995","16,068","28,166","50,040","39,238","72,280","49,350","47,181","39,585","18,111","19,675","9,771","399,460"
1989,"14,763","14,844","22,116","33,874","55,309","57,560","77,802","53,903","34,777","16,872","17,162","5,940","404,922"
1988,"2,318","12,206","26,475","28,276","24,731","41,762","43,056","33,826","40,826","26,968","27,854","16,644","324,942"
1987,"4,839","9,011","30,676","16,880","31,080","23,310","30,772","40,093","13,261","14,858","7,486","3,006","225,272"
1986,"9,618","3,564","35,651","26,817","47,112","39,117","29,214","44,091","22,309","20,372","17,175","4,373","299,413"
1985,"10,977","29,602","42,582","53,727","37,700","47,673","37,963","21,304","37,238","24,578","19,336","4,907","367,587"
1984,"4,081","23,106","19,045","41,158","25,038","28,979","38,742","22,800","42,100","30,947","17,062","11,324","304,382"
1983,"6,818","15,396","25,181","28,420","29,613","31,246","41,557","23,079","19,984","22,489","7,434","5,002","256,219"
1982,"2,316","8,701","23,109","43,937","51,333","30,882","52,793","40,990","28,195","26,320","18,422","5,695","332,693"
1981,"4,123","10,427","35,046","41,426","55,113","37,920","55,775","39,623","22,514","15,137","14,356","3,407","334,867"
1980,"10,092","11,275","52,450","73,497","84,390","52,105","73,237","51,783","30,420","25,228","19,840","4,297","488,614"
1979,"4,255","3,735","66,725","87,495","76,338","38,927","77,047","56,319","35,632","20,758","16,105","13,585","496,921"
