Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,711.6875,778.0625,1326.1875,2186.375,4247.875,2311.125,3058.6875,2691.6875,9585.6875,2757.5625,1532,762.75,
2016,945,,,,,,,,,,,,945
2015,910,673,"1,247","1,476","3,275","1,998","2,354","2,711","13,797","3,065","1,981","1,200","34,687"
2014,438,672,"1,165","2,450","3,164","2,359","2,907","2,695","13,580","2,770","1,316",801,"34,317"
2013,"1,012",816,"1,509","2,665","3,559","2,483","3,378","3,532","11,984","1,365","1,371",698,"34,372"
2012,686,978,"1,050","2,539","2,684","2,461","2,221","2,657","13,854","2,990","1,168","1,001","34,289"
2011,670,927,"1,175","1,879","2,695","2,662","2,298","2,285","10,784","2,570","1,337",757,"30,039"
2010,713,304,"1,827","2,888","4,080","2,561","3,432","3,212","8,127","3,472","1,529",417,"32,562"
2009,506,682,"1,514","2,323","3,629","2,813","6,780","2,874","5,503","2,433","1,960",437,"31,454"
2008,541,480,966,"1,687","4,634","1,950","2,615","3,201","9,125","3,538","1,203",683,"30,623"
2007,649,448,"1,190","1,790","5,799","2,564","2,932","1,965","10,621","3,062",978,578,"32,576"
2006,794,570,"1,254","2,169","3,180","1,702","1,713","1,823","7,513","2,505","1,265","1,148","25,636"
2005,454,653,986,"1,866","5,743","2,155","2,517","2,150","8,879","2,009","1,300",476,"29,188"
2004,581,"1,431","1,474","1,839","3,784","2,063","2,406","2,007","9,984","2,742","1,194",513,"30,018"
2003,861,579,"1,624","2,086","5,375","2,225","5,134","3,053","8,537","2,622","1,954",826,"34,876"
2002,"1,241","1,323","1,473","2,818","5,627","2,596","2,884","2,523","7,285","2,563","1,620",901,"32,854"
2001,868,"1,074","1,203","2,521","5,624","2,626","2,845","3,689","6,760","3,152","2,410","1,019","33,791"
2000,463,839,"1,562","1,986","5,114","1,760","2,523","2,690","7,038","3,263","1,926",749,"29,913"
1999,665,646,694,964,"2,696","2,343","1,753","1,825","8,382","2,460","1,423",707,"24,558"
1998,606,742,"1,008","1,373","3,624","1,517","2,701","2,647","7,266","3,794","1,571",862,"27,711"
1997,503,607,"1,010","1,419","3,004","1,972","1,881","2,129","4,121","2,733",664,623,"20,666"
1996,227,559,"1,062","1,583","2,957","1,781","2,271","1,933","3,100","2,091",933,731,"19,228"
1995,332,465,950,"1,103","2,105","1,603","2,016","1,761","3,931","2,100",773,233,"17,372"
1994,122,552,512,"1,365","1,901","1,704","1,721","1,256","2,927","1,688",575,358,"14,681"
1993,742,379,473,"1,141","3,030","2,116","2,011","1,784","4,852","2,081",725,211,"19,545"
1992,280,353,614,"1,092","2,367","1,329","1,905","1,977","3,943","3,664","2,672",452,"20,648"
1991,288,388,585,722,"2,037","1,142","1,647","1,783","3,057","1,042",458,377,"13,526"
1990,481,392,866,"1,249","2,108","1,914","1,844","2,142","1,751","2,936","1,054",575,"17,312"
1989,272,385,646,"1,189","1,876","1,529","1,693","1,788","1,257","3,850",646,275,"15,406"
1988,604,538,680,"1,010","1,537","1,040","1,155","1,202",817,"2,930",392,97,"12,002"
1987,972,503,"1,123","1,019","2,450","1,366","1,174","1,401","1,309","3,637",985,293,"16,232"
1986,278,304,932,"1,043","1,707","1,633","1,347","1,841","1,847","2,376",476,344,"14,128"
1985,341,362,851,"1,097","1,609","1,531","1,494","1,436","1,296","2,660",715,228,"13,620"
1984,277,418,422,792,"1,892",949,"1,110","1,464","1,113","1,928",476,494,"11,335"
1983,133,240,360,313,"1,258",927,"1,183","1,631",949,"1,714",458,147,"9,313"
