Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,2179.8125,2798.3125,4707.625,7812.4375,45886.3125,7387.4375,24048.75,7512.125,6830.375,6796,6995.0625,3164.25,
2016,"2,204",,,,,,,,,,,,"2,204"
2015,"2,162","2,195","4,246","5,920","37,813","7,114","40,128","13,059","8,046","5,824","2,916","6,433","135,856"
2014,"1,764","2,608","4,269","6,683","42,414","11,087","23,196","11,079","9,450","5,688","2,954","4,026","125,218"
2013,"2,398","2,808","4,640","6,989","41,436","6,803","23,704","6,257","9,639","3,148","13,360","7,349","128,531"
2012,"2,243","2,863","4,493","6,051","32,387","9,683","18,486","7,064","7,640","7,213","25,399","2,450","125,972"
2011,"2,016","2,371","4,323","6,555","43,112","9,487","23,532","13,749","8,166","5,861","23,091","3,333","145,596"
2010,"2,176","2,439","4,171","6,878","49,315","6,382","22,502","5,502","6,205","6,872","3,653","2,817","118,912"
2009,"1,764","2,050","4,667","6,021","43,830","5,298","16,118","5,062","5,606","7,190","3,423","2,255","103,284"
2008,"2,384","2,418","4,573","7,504","45,806","5,902","23,818","5,946","4,446","5,706","2,962","2,223","113,688"
2007,"2,290","2,398","4,251","7,005","42,518","7,106","24,802","5,144","5,826","7,546","3,381","2,293","114,560"
2006,"2,188","3,177","5,101","9,539","52,333","6,326","24,344","5,714","5,674","7,792","3,973","2,418","128,579"
2005,"2,103","2,807","4,096","9,373","53,162","6,347","23,862","6,338","7,066","7,880","2,817","2,283","128,134"
2004,"2,684","4,253","5,157","8,232","57,354","7,005","22,830","6,144","7,083","6,864","3,902","2,020","133,528"
2003,"1,887","2,367","4,862","10,358","45,130","7,741","24,093","6,830","5,906","7,384","4,549","3,322","124,429"
2002,"2,586","3,420","4,494","9,677","49,387","6,858","23,614","7,744","5,939","7,248","4,847","2,393","128,207"
2001,"2,012","3,025","5,363","8,942","50,123","7,130","23,354","6,917","6,061","7,134","6,243","2,857","129,161"
2000,"2,220","3,574","6,616","9,272","48,061","7,930","26,397","7,645","6,533","9,386","4,451","2,156","134,241"
1999,"1,987","3,891","5,149","8,931","54,522","7,811","29,862","9,138","7,291","10,640","4,479","2,712","146,413"
1998,"2,503","4,021","6,146","11,784","50,006","9,230","24,120","10,282","7,224","10,234","4,248","3,294","143,092"
1997,"3,443","3,280","6,078","9,430","47,582","67,474","24,363","9,054","7,318","8,838","4,290","3,142","194,292"
1996,"1,981","3,241","5,547","9,334","46,888","9,411","23,904","10,782","8,011","8,494","4,192","3,347","135,132"
1995,"3,228","3,759","7,392","11,118","44,946","8,963","21,238","8,982","7,872","8,386","3,588","1,865","131,337"
1994,"2,479","3,776","8,416","11,306","57,323","9,909","28,134","10,672","8,107","16,243","4,848","4,109","165,322"
1993,"2,451","1,989","7,667","11,302","46,052","10,749","27,722","11,195","8,451","8,842","4,217","2,834","143,471"
1992,"2,404","5,953","5,066","8,814","42,862","10,603","23,661","11,477","8,086","10,673","4,028","2,498","136,125"
1991,"2,117","4,126","5,243","9,640","37,619","9,286","26,456","11,126","7,226","8,714","3,984","2,583","128,120"
1990,"2,769","4,487","6,422","9,651","37,427","7,966","21,922","8,491","6,662","7,568","4,143","2,243","119,751"
1989,"2,905","2,862","5,918","8,890","35,902","9,261","20,987","9,646","6,722","9,090","3,938","1,964","118,085"
1988,"1,928","2,594","4,760","8,738","32,846","8,854","20,390","9,077","7,802","9,038","4,259","3,497","113,783"
1987,"2,045","3,210","5,066","6,610","33,581","10,333","30,318","8,574","6,064","7,250","4,147","2,526","119,724"
1986,"1,809","2,331","5,381","7,700","32,408","9,899","28,537","10,451","6,190","9,133","4,460","2,604","120,903"
1985,"1,726","2,190","7,043","8,955","34,819","9,616","26,147","9,478","6,474","8,232","4,900","1,975","121,555"
1984,"1,926","2,421","4,370","7,938","31,480","9,758","21,414","9,486","7,157","9,176","4,575","3,046","112,747"
1983,"1,736","2,257","3,277","8,686","30,355","10,424","20,520","10,318","8,163","9,355","4,092","1,900","111,083"
1982,"1,246","2,306","5,002","7,654","25,118","9,773","22,196","10,960","8,112","9,451","3,643","2,264","107,725"
1981,"1,950","2,297","3,901","7,042","21,270","7,032","24,229","9,379","5,699","6,525","3,871","1,798","94,993"
1980,"1,304","1,043","3,793","4,981","19,497","7,381","16,259","7,949","5,431","6,152","4,732","2,046","80,568"
1979,941,"1,772","3,001","6,006","20,515","7,348","15,685","7,211","6,008","5,242","3,419","1,600","78,748"
