Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,35282.1875,37073.0625,97663,156511.5625,239966.8125,371818.3125,377463.375,328710.8125,223042.9375,136036.9375,66296.3125,32760.8125,
2016,"7,500",,,,,,,,,,,,"7,500"
2015,"34,366","36,089","113,949","204,425","243,669","508,012","425,197","415,269","295,885","131,968","54,857","31,407","2,495,093"
2014,"34,242","32,040","102,154","178,241","256,403","432,150","418,765","369,801","249,044","142,259","125,073","28,280","2,368,452"
2013,"30,998","25,056","95,683","156,187","245,331","434,028","358,859","271,777","232,535","69,532","43,962","27,976","1,991,924"
2012,"31,870","32,283","82,568","165,505","250,644","404,123","347,781","343,129","201,822","136,404","37,841","27,358","2,061,328"
2011,"35,335","36,102","110,285","145,596","229,423","477,886","476,891","300,925","253,039","111,154","60,504","33,677","2,270,817"
2010,"26,603","33,134","120,368","157,091","325,125","278,331","371,824","334,308","250,608","140,122","60,974","25,979","2,124,467"
2009,"33,649","30,743","78,775","135,943","223,105","336,646","343,519","327,893","208,113","155,180","55,636","31,143","1,960,345"
2008,"31,047","37,172","89,881","145,501","217,809","331,829","353,404","309,481","205,620","146,349","49,918","29,496","1,947,507"
2007,"29,707","35,150","90,944","157,208","216,336","330,823","346,641","265,960","190,681","132,966","68,378","29,320","1,894,114"
2006,"33,882","36,424","91,571","137,584","226,664","329,434","346,910","304,306","191,041","95,798","56,497","35,267","1,885,378"
2005,"29,706","32,007","91,014","132,202","204,851","327,641","336,541","306,260","206,564","140,432","66,962","34,546","1,908,726"
2004,"39,173","44,877","92,701","130,706","203,991","282,395","324,078","273,219","184,498","136,453","98,218","31,536","1,841,845"
2003,"40,034","41,060","82,649","138,140","210,330","318,462","329,124","283,104","191,670","141,102","65,009","36,300","1,876,984"
2002,"41,198","40,666","103,670","159,719","244,916","341,233","378,195","336,362","212,865","147,669","62,730","37,673","2,106,896"
2001,"43,542","45,797","110,078","183,385","264,832","387,431","409,224","393,681","233,615","151,496","76,547","40,403","2,340,031"
2000,"49,163","54,569","106,318","176,752","276,040","428,669","472,461","423,898","261,087","197,707","77,635","43,812","2,568,111"
1999,"43,490","50,241","116,467","153,727","258,499","424,444","512,678","439,312","300,762","197,860","88,482","53,898","2,639,860"
1998,"38,185","54,105","88,732","169,036","264,239","387,159","442,941","396,572","281,686","195,235","76,139","48,961","2,442,990"
1997,"47,528","51,915","110,318","159,753","240,538","386,699","418,619","435,369","263,417","185,186","84,285","47,154","2,430,781"
1996,"40,104","49,083","94,928","206,320","228,371","416,855","444,709","439,516","264,558","185,374","88,288","46,898","2,505,004"
1995,"34,708","64,453","86,237","145,706","266,887","408,384","433,274","458,665","281,150","189,947","93,042","48,900","2,511,353"
1994,"64,624","111,651","141,773","206,049","265,135","405,664","480,435","436,020","317,291","209,373","97,567","62,152","2,797,734"
1993,"59,605","82,155","122,201","198,474","368,911","523,296","621,315","641,087","524,941","257,252","110,375","74,546","3,584,158"
1992,"81,524","112,237","137,940","244,113","344,749","522,767","569,497","656,381","472,468","243,787","120,868","81,423","3,587,754"
1991,"80,359","95,392","116,589","197,074","342,612","449,121","501,092","565,152","392,470","245,378","118,885","77,020","3,181,144"
1990,"76,256","107,030","133,313","251,050","286,727","498,340","465,174","480,427","346,088","224,528","128,038","77,271","3,074,242"
1989,"66,327","77,348","146,008","230,207","291,464","515,951","486,889","802,598","364,839","250,817","135,157","85,242","3,452,847"
1988,"77,858","99,311","125,340","216,114","332,620","508,360","555,936","778,675","377,393","249,131","129,108","79,395","3,529,241"
1987,"70,331","80,382","99,363","226,821","328,150","422,588","460,288","463,186","314,789","197,319","108,105","87,417","2,858,739"
1986,"72,779","73,415","108,399","188,608","284,072","350,130","435,821","353,028","224,146","200,918","79,601","67,981","2,438,898"
1985,"59,969","71,571","90,670","168,633","231,695","321,388","301,372","317,977","229,743","140,828","80,957","64,063","2,078,866"
1984,"29,243","67,896","106,701","169,566","247,262","342,215","292,554","230,055","193,760","141,689","81,038","69,123","1,971,102"
1983,"51,999","68,058","99,317","143,159","232,770","278,920","285,123","241,087","186,911","144,024","79,157","62,506","1,873,031"
1982,"37,745","42,690","67,621","143,168","201,141","309,385","294,852","254,883","187,486","88,732","42,039","63,484","1,733,226"
1981,"56,124","57,059","81,701","149,621","205,350","263,293","261,072","251,170","179,248","119,000","55,790","54,101","1,733,529"
1980,"45,656","56,237","85,539","124,807","175,488","256,517","258,610","246,273","123,319","71,739","72,054","55,252","1,571,491"
1979,"35,808","52,723","80,800","108,457","109,517","310,847","293,204","288,768","147,677","118,260","60,982","48,952","1,655,995"
