Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1060376.063,1070372.438,1198758,1230795.813,1289626.5,1277608.25,1320102.125,1260541.188,1248374,1159239,1066086.813,1047483.75,
2016,"1,039,441",,,,,,,,,,,,"1,039,441"
2015,"1,106,214","1,108,558","1,256,695","1,311,398","1,296,405","1,375,751","1,404,568","1,303,817","1,340,255","1,316,623","1,030,929","1,037,324","14,888,537"
2014,"1,085,399","1,092,652","1,253,893","1,296,873","1,252,946","1,372,584","1,427,087","1,318,867","1,417,403","1,334,983","1,049,436","1,102,297","15,004,420"
2013,"1,015,180","999,483","1,166,283","1,327,053","1,292,292","1,209,948","1,195,518","1,451,166","1,366,169","967,119","1,137,442","1,161,468","14,289,121"
2012,"1,107,270","1,026,094","1,357,560","1,236,873","1,282,860","1,326,465","1,372,619","1,235,748","1,397,599","1,126,962","952,950","1,117,338","14,540,338"
2011,"1,111,106","1,102,650","1,236,426","1,213,125","1,240,951","1,409,782","1,265,819","1,343,961","1,181,128","1,247,138","1,085,226","1,130,175","14,567,487"
2010,"978,113","1,078,020","1,164,121","1,259,577","1,449,132","1,285,008","1,286,225","1,124,062","1,216,629","1,305,087","1,126,700","998,829","14,271,503"
2009,"1,162,913","1,067,226","1,096,882","1,371,176","1,394,557","1,333,798","1,416,554","1,385,354","1,405,901","1,227,741","1,100,551","1,073,719","15,036,372"
2008,"1,022,084","1,121,686","1,193,226","1,243,123","1,372,560","1,305,441","1,404,672","1,283,401","1,214,196","1,178,560","1,166,112","1,049,689","14,554,750"
2007,"992,940","930,689","1,247,946","1,314,979","1,256,367","1,285,282","1,407,861","1,376,366","1,200,395","1,170,835","1,160,733","1,052,920","14,397,313"
2006,"1,031,307","1,019,751","1,089,121","1,145,053","1,273,030","1,299,669","1,292,113","1,240,117","1,209,855","1,032,423","946,878","907,507","13,486,824"
2005,"992,149","1,084,578","1,138,918","1,146,781","1,207,973","1,110,481","1,287,464","1,178,359","1,224,640","1,166,419","1,059,222","1,005,645","13,602,629"
2004,"1,108,593","1,118,447","1,217,524","1,101,820","1,179,793","1,191,772","1,269,247","1,180,827","1,066,457","936,117","917,614","982,336","13,270,547"
2003,"1,077,531","1,042,636","1,164,894","1,195,530","1,368,582","1,131,907","1,259,006","1,202,349","1,204,367","1,147,627","1,075,791","984,530","13,854,750"
2002,"1,059,534","1,019,435","1,218,266","1,176,104","1,189,595","1,257,216","1,261,346","1,217,123","1,173,902","1,202,992","1,130,638","1,055,116","13,961,267"
2001,"972,922","944,560","1,150,492","1,185,159","1,244,564","1,222,922","1,229,429","1,143,869","1,129,734","1,179,867","1,007,109","1,047,273","13,457,900"
2000,"1,142,762","1,369,494","1,227,881","1,168,109","1,332,417","1,323,706","1,342,106","1,183,273","1,225,354","1,007,331","1,110,058","1,053,574","14,486,065"
1999,"972,474","1,070,058","1,132,792","1,302,790","1,179,726","1,327,761","1,167,544","1,209,249","1,264,156","1,186,212","1,091,638","1,143,685","14,048,085"
1998,"949,556","1,016,357","1,125,410","1,220,318","1,258,958","1,337,678","1,350,034","1,188,875","1,251,288","1,267,198","1,024,980","1,055,938","14,046,590"
