Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,87.45454545,100,178.6363636,209.9090909,13072.90909,58597.63636,59681.5,62038.91667,45470.83333,6495.75,157.8333333,78.08333333,
2015,22,161,122,90,"40,981","82,042","97,454","132,162","85,222",130,188,39,"438,613"
2014,134,200,270,290,"39,900","185,034","184,866","181,552","105,353",134,454,40,"698,227"
2013,139,160,129,197,"19,300","77,826","72,086","99,125","86,277",86,180,48,"355,553"
2012,170,196,674,280,"32,236","89,149","75,055","76,315","70,506","3,600",60,8,"348,249"
2011,4,8,90,448,"37,208","92,946","110,593","79,374","80,156","1,248",40,59,"402,174"
2010,202,45,42,100,174,"88,246","104,363","120,141","70,681","25,048",60,105,"409,207"
2009,58,63,160,160,"8,779","48,571","81,316","77,214","91,619","17,661",127,112,"325,840"
2008,56,87,199,101,928,"38,499","46,198","63,789","30,208","24,547",182,216,"205,010"
2007,60,188,85,216,0,"17,216","23,801","19,529","5,287","2,459",121,52,"69,014"
2006,139,93,133,216,"2,809","4,009","10,859","21,737","1,123","1,608",348,61,"43,135"
2005,0,60,81,152,"2,234","1,353","3,163","2,489","1,041",732,124,130,"11,559"
2004,0,0,102,149,234,"1,725","3,396","2,212","2,364",826,198,106,"11,312"
2003,,,,,,,482,990,"1,035",0,0,0,"2,507"
