Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,184994.1875,204866.875,321285.1875,383245.375,472337,490087,495467.6875,417225.375,283055.625,242358.75,221864.375,208847.5,
2016,"251,009","193,758",,,,,,,,,,,"444,767"
2015,"195,763","275,390","353,118","361,237","485,932","324,109","505,118","379,116","329,305","279,580","216,415","271,800","3,976,883"
2014,"221,003","213,666","353,829","483,595","617,506","643,421","529,592","469,774","212,502","256,681","219,056","234,615","4,455,240"
2013,"255,920","199,639","355,195","508,218","510,954","619,796","581,249","477,449","388,553","314,644","290,473","335,875","4,837,965"
2012,"242,278","201,831","400,581","526,312","642,225","664,024","675,252","492,852","213,118","219,942","319,305","375,742","4,973,462"
2011,"232,684","185,770","357,849","535,857","628,835","662,969","702,600","542,731","482,024","426,116","374,367","370,070","5,501,872"
2010,"192,608","225,467","403,057","406,983","463,267","500,272","373,794","438,149","355,681","365,082","323,164","236,223","4,283,747"
2009,"103,792","114,022","350,899","379,403","478,656","519,371","520,593","504,551","436,219","325,232","221,654","178,282","4,132,674"
2008,"93,338","125,432","160,146","162,179","230,099","267,011","291,840","225,881","144,382","135,463","113,364","105,066","2,054,201"
2007,"129,956","154,638","184,846","157,789","210,616","224,046","230,391","202,776","148,978","163,747","114,051","112,460","2,034,294"
2006,"79,471","97,741","189,364","204,150","216,265","233,614","216,756","188,596","166,342","142,087","130,636","121,794","1,986,816"
2005,"80,085","101,331","102,254","179,534","243,395","226,038","239,968","179,237","83,070","84,682","86,968","82,838","1,689,400"
2004,"251,394","269,223","460,736","469,674","622,244","604,874","651,316","551,790","196,979","54,247","56,870","52,130","4,241,477"
2003,"224,692","293,390","414,854","534,734","565,393","597,539","522,670","568,215","359,222","327,732","297,746","233,584","4,939,771"
2002,"233,647","291,894","350,978","395,967","572,767","552,857","623,034","472,884","321,857","224,576","294,846","226,555","4,561,862"
2001,"222,751","255,639","346,257","408,725","496,679","613,312","620,792","492,105","337,157","273,709","270,115","212,659","4,549,900"
2000,"200,525","272,797","356,600","417,569","572,559","588,139","642,518","489,500","353,501","284,220","220,800","191,867","4,590,595"
1999,"234,247","306,088","366,398","446,170","572,938","519,900","624,195","470,425","372,837","275,337","228,951","179,784","4,597,270"
1998,"242,048","261,651","371,942","384,411","566,031","587,499","594,465","487,953","318,757","54,827","212,540","211,177","4,293,301"
1997,"232,998","270,231","402,219","415,986","560,226","565,612","563,802","545,944","384,480","301,407","233,473","220,636","4,697,014"
1996,"64,894","115,858","137,549","196,280","312,054","363,433","336,186","309,538","204,876","189,405","144,813","206,151","2,581,037"
1995,"259,828","287,427","396,890","480,765","664,789","604,504","652,817","460,376","400,042","143,388","105,751","63,779","4,520,356"
1994,"212,781","282,991","393,906","470,257","619,992","598,222","645,977","581,014","422,849","343,254","294,409","203,843","5,069,495"
1993,"263,536","328,262","379,220","483,973","672,337","714,626","706,156","611,782","415,063","400,322","275,343","205,674","5,456,294"
1992,"274,212","314,701","412,540","525,925","677,037","604,324","706,549","585,622","441,412","393,013","288,244","204,150","5,427,729"
1991,"214,237","273,206","418,890","451,194","496,110","665,649","664,329","622,119","453,195","297,996","220,141","210,912","4,987,978"
1990,"211,869","230,408","356,201","499,110","574,060","636,831","646,143","528,371","417,436","354,595","230,031","188,675","4,873,730"
1989,"241,273","217,592","314,136","389,202","453,848","560,113","591,893","587,895","398,703","283,012","257,150","163,551","4,458,368"
1988,"233,859","242,842","407,272","514,486","631,106","720,934","715,499","470,566","412,854","349,492","279,713","219,276","5,197,899"
1987,"240,893","224,687","338,666","422,016","500,459","597,423","646,426","555,558","432,902","345,040","295,760","227,062","4,826,892"
1986,"246,210","308,948","691,929","895,716","1,045,972","1,067,524","1,045,863","893,432","729,654","269,327","240,025","211,601","7,646,201"
1985,"205,304","298,355","683,911","912,910","1,310,093","1,239,315","1,447,430","1,580,679","1,095,330","593,440","250,644","263,403","9,880,814"
1984,"186,448","216,218","397,204","598,930","554,232","770,732","706,771","606,969","611,356","478,350","388,260","287,914","5,803,384"
1983,"129,725","159,194","334,598","390,754","490,498","475,672","512,119","474,253","427,854","292,977","207,143","165,599","4,060,386"
1982,"120,896","155,152","373,448","351,779","455,226","456,480","471,533","418,382","233,290","193,659","154,825","122,768","3,507,438"
1981,"120,400","141,980","316,967","360,457","370,296","449,989","411,841","382,978","272,796","185,753","180,832","122,188","3,316,477"
1980,"93,456","73,054","151,333","223,607","336,810","344,275","340,492","288,014","224,970","181,125","146,395","103,976","2,507,507"
1979,"107,053","126,836","260,175","465,468","510,992","484,231","365,821","323,343","125,092","48,089","58,590","89,351","2,965,041"
