Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,382.125,520.8125,1574.3125,1607.6875,3439.25,3253.0625,3560.9375,2882.5625,1996.8125,1220.5625,758.3125,344,
2016,617,"1,009",,,,,,,,,,,"1,626"
2015,555,797,"2,053","3,236","2,870","2,581","3,544","3,149","2,562","1,872",884,592,"24,695"
2014,567,634,"1,996","1,803","4,205","3,028","3,370","2,882","1,702","1,368",537,390,"22,482"
2013,291,485,"1,542","1,532","3,322","3,495","3,208","2,789","2,152",900,859,433,"21,008"
2012,606,679,"1,355","2,056","3,367","3,895","4,018","2,742","2,730","1,462",712,314,"23,936"
2011,410,758,"1,374","1,935","3,630","2,865","3,048","2,246","2,382","1,377",630,445,"21,100"
2010,635,705,"3,124","2,301","4,298","3,786","4,844","3,863","2,693","1,572","1,448",526,"29,795"
2009,571,684,"1,670","1,997","5,169","4,123","4,085","3,341","2,653","1,515","1,148",307,"27,263"
2008,461,376,"2,311","1,613","3,676","2,858","3,776","2,819","2,171","1,362","1,485",255,"23,163"
2007,371,571,"1,761","1,536","3,842","4,894","3,665","3,034","2,038","1,251",982,834,"24,779"
2006,381,686,"2,228","1,861","4,484","3,988","4,582","3,323","2,150","1,217",703,272,"25,875"
2005,476,768,"1,634","1,659","3,900","3,935","4,232","2,833","2,081","1,147",618,261,"23,544"
2004,289,314,"1,274","1,730","3,760","3,202","3,727","3,100","1,953","1,558",553,341,"21,801"
2003,168,180,714,620,"1,869","2,835","2,896","3,048","1,425","1,238",665,263,"15,921"
2002,158,314,845,676,"2,321","2,234","2,613","2,391","1,013",486,243,71,"13,365"
2001,50,164,578,364,"1,931","2,021","2,649","2,198","1,340",574,296,146,"12,311"
2000,125,218,730,804,"2,384","2,309","2,718","2,363",904,630,370,54,"13,609"
1999,118,164,530,856,"2,226","2,051","2,776","1,946",999,935,308,161,"13,070"
1998,131,195,358,875,"2,543","2,530","2,103","1,873","1,326",971,271,91,"13,267"
1997,150,425,568,388,"1,660","2,399","2,346","2,351",786,503,211,74,"11,861"
1996,64,251,523,454,"2,104","1,993","2,160","1,665","1,605",691,224,59,"11,793"
1995,326,364,403,658,"3,541","1,951","2,359","1,554","1,278",170,201,3,"12,808"
