Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,800.6875,792,1136.9375,1437.125,1348.75,1471,1112.625,1268.375,1176.8125,1565.5,1064.125,1042.1875,
2016,"3,289","3,554",,,,,,,,,,,"6,843"
2015,715,682,"1,014","3,195","2,531","2,724","3,750","3,880","3,058","6,735","3,729","3,433","35,446"
2014,694,683,"1,233","2,532","2,486","2,757","2,582","2,057","1,591","2,004","1,166","1,158","20,943"
2013,814,997,"1,831","2,154","2,725","2,388","1,994","2,209","1,822","1,283","1,096","1,116","20,429"
2012,"1,270",800,"1,162","2,000","1,627","1,693","1,103","2,031","1,464","1,848",508,852,"16,358"
2011,0,0,0,0,0,0,0,0,"2,481","1,818","1,772","1,746","7,817"
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,75,75,0,0,0,0,0,0,0,150
2008,0,0,0,0,0,500,0,0,140,30,20,0,690
2007,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,922,"1,032","1,202","2,425",0,788,0,0,0,0,0,0,"6,369"
2005,854,763,"1,132","1,546",756,"2,306",799,"1,945",810,"2,353","1,209",814,"15,287"
2004,860,936,"1,439",660,"1,684",957,998,509,606,"2,041","1,233",979,"12,902"
2003,656,518,664,"1,115","1,564","1,514","1,058","1,208","1,132","1,375","1,224","1,350","13,378"
2002,323,527,"1,552","1,052","1,450","1,240",839,"1,186","1,282","1,354","1,274","1,356","13,435"
2001,"2,873","2,316","3,116","2,586","2,803","2,304","1,805","2,359","1,009",586,488,726,"22,971"
2000,"2,830","3,418","3,846","3,654","3,879","4,365","2,874","2,910","3,434","3,621","3,307","3,145","41,283"
1999,"1,673","2,384","5,674","2,509","5,340","10,326","3,872",662,"1,656","3,448","3,311","3,032","43,887"
1998,849,"1,222","4,145","5,234","3,413","2,458","3,140","3,388","2,140","3,465","1,773","2,179","33,406"
1997,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"1,482","1,783","2,751","3,581","3,226","1,093",0,0,0,0,0,0,"13,916"
1991,"1,871","2,800","2,936","2,873","3,290","4,483","4,324","4,119","3,517","4,254","3,271","2,811","40,549"
1990,"1,862","1,134","1,596","2,324","2,229","2,850","1,904","2,402","2,465","2,711","2,554","3,151","27,182"
1989,"2,941","2,867","2,744","3,831","5,039","2,579","3,023","2,921","3,237","2,888","2,701","2,576","37,347"
1988,"2,452","2,339","3,050","3,615","4,994","3,136","3,008","3,988","3,468","5,758","5,880","3,619","45,307"
1987,"1,607","1,650","2,187","3,592","3,518","2,104","2,543","3,629","3,540","5,768","10,338","5,805","46,281"
1986,"1,317","1,299","1,394","1,627","1,584","2,003","2,636","3,186","4,783","5,564","10,210","6,020","41,623"
1985,"1,051","1,460","1,415","2,126","1,696","1,655","1,807","1,457","1,833","1,749","1,322","1,385","18,956"
1984,234,437,341,421,980,"1,869","1,321",729,730,419,656,"1,026","9,163"
1983,0,0,0,0,0,0,743,395,457,418,433,207,"2,653"
1982,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,163,208,0,0,0,0,0,0,0,0,0,0,371
