Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1923.5625,1764.125,2068.6875,2415,2695,2558.8125,2960.375,2550.125,2283.125,2445.875,2435.1875,3706.8125,
2015,"2,189","2,173","2,566","2,901","3,324","2,812","3,413","2,999","2,754","2,862","2,284","4,408","34,685"
2014,"2,146","2,025","2,181","2,802","3,375","3,248","2,943","2,992","2,410","2,838","2,409","3,129","32,498"
2013,"2,564","2,377","2,367","3,091","3,166","2,700","2,600","3,125","2,761","1,218","2,427","3,866","32,262"
2012,"1,617","2,253","2,403","3,255","3,287","3,312","3,347","3,168","3,102","3,409","3,367","5,009","37,529"
2011,"1,613","1,832","1,736","2,189","2,441","2,605","2,756","2,227","1,983","2,819","4,199","5,765","32,165"
2010,"1,782",983,"1,799","2,521","2,838","2,534","3,102","3,105","2,434","3,329","1,975","5,751","32,153"
2009,"1,916","2,194","2,389","2,871","2,887","2,741","7,374","3,646","3,100","3,166","2,476","4,574","39,334"
2008,"3,229","1,656","2,187","2,415","3,151","3,369","3,159","2,826","2,644","3,335","2,433","4,856","35,260"
2007,"2,039","1,711","1,992","2,737","3,440","2,726","2,549","2,342","2,403","2,139","2,746","3,238","30,062"
2006,"2,070","1,511","2,120","2,030","2,146","2,129","3,276","2,326","2,075","2,196","2,874","4,544","29,297"
2005,"2,087","1,766","1,742","2,018","1,757","2,335","2,326","2,145","2,074","2,266","1,855","2,036","24,407"
2004,"1,933","1,784","2,332","2,182","2,898","2,416","2,381","2,338","2,090","2,388","2,087","3,353","28,182"
2003,"1,941","1,793","2,319","2,418","2,783","2,167","2,805","2,377","1,702","2,451","2,311","2,459","27,526"
2002,"1,929","1,936","2,236","2,275","2,546","2,790","2,466","2,235","2,188","2,336","2,164","3,125","28,226"
2001,"1,318","1,706","1,744","2,239","2,044","2,124","2,277","2,136","1,786","1,921","2,026","2,775","24,096"
2000,"1,470","1,476","1,919","2,045","2,017","2,134","2,021","1,923","1,769","2,001","1,922","2,704","23,401"
1999,"1,123","1,223","1,633","1,552","2,344","1,611","1,984","1,891","2,009","1,322","1,692","2,125","20,509"
1998,"1,082","1,530","1,638","2,376","2,458","2,214","2,301","2,400","2,493","3,049","2,687","4,664","28,892"
1997,"1,261","1,649","2,393","3,073","3,574","2,738","3,060","2,884","2,204","2,272","1,418","3,708","30,234"
1996,555,833,"1,784","4,409","3,559","3,481","2,882","2,765","2,071","2,464","1,996","3,419","30,218"
1995,"1,293",802,"1,974","4,021","3,417","3,418","2,102","2,284","2,396","3,008","1,493","4,563","30,771"
1994,841,576,"1,591","2,165","4,164","2,718","2,493","2,707","2,471","2,681","2,086","4,966","29,459"
1993,841,611,"1,226","3,689","3,455","2,513","2,417","2,496","2,880","2,973","1,935","5,552","30,588"
1992,892,661,"1,363","2,271","3,229","2,503","2,564","3,053","2,123","1,733","1,010","3,364","24,766"
1991,586,653,"1,279","2,263","8,125","2,650","2,534","2,421","2,250","1,758","1,283","4,299","30,101"
1990,869,544,"1,504","2,329","5,330","3,063","2,780","2,675","3,465","1,643","1,614","3,333","29,149"
1989,649,508,"1,176","3,290","3,159","2,693","2,321","3,106","7,160","2,259","1,415","3,715","31,451"
1988,681,427,"1,572","1,912","2,736","2,591","2,181","1,907","4,325","1,626","1,193","4,283","25,434"
1987,851,374,"1,103","1,966","2,784","2,846","2,216","2,172","5,863","1,806","1,192","3,748","26,921"
1986,"2,435","1,291","1,967","4,308","5,414","4,320","4,292","3,413","6,102","3,180","2,307","6,089","45,118"
1985,"2,592","1,453","3,045","7,867","6,511","8,808","6,024","4,477","13,774","3,779","3,435","8,205","69,970"
1984,"2,134","2,647","4,135","8,329","7,837","8,803","4,779","5,160","20,613","5,097","3,166","10,042","82,742"
1983,"3,238","2,071","7,045","4,672","9,207","6,858","10,597","5,757","12,928","6,549","4,977","9,165","83,064"
1982,"1,138","1,930","2,781","7,860","7,364","5,310","10,791","7,258","14,940","5,832","3,327","11,580","80,111"
1981,"1,553",962,"2,291","3,185","5,283","4,397","3,666","5,583","9,274","2,632","3,229","7,674","49,729"
1980,"2,095","1,169","3,201","6,964","8,929","8,025","3,395","4,479","10,246","5,307","1,923","4,967","60,700"
1979,561,0,708,657,"2,170","4,047","3,010","3,984","4,180","4,455","2,926","6,634","33,332"
