Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,7967.0625,5757.9375,7088.1875,9310.0625,14296.5,14224.375,18706.4375,23565.5625,12564.5625,11408,10172.8125,17809.875,
2016,"6,989","5,222",,,,,,,,,,,"12,211"
2015,"6,984","4,331","7,287","12,424","14,225","14,139","15,568","19,728","10,836","9,060","6,339","6,233","127,154"
2014,"5,361","3,504","6,757","9,894","12,709","15,019","16,624","21,050","12,640","9,935","7,961","17,632","139,086"
2013,"4,502","3,670","5,764","9,546","13,973","11,704","16,211","22,499","11,528","4,563","7,984","16,975","128,919"
2012,"4,844","4,501","7,764","9,047","12,626","12,462","13,173","17,121","11,652","9,863","11,287","14,472","128,812"
2011,"6,505","3,805","6,249","8,634","12,979","12,540","15,566","13,590","11,211","11,220","8,447","23,503","134,249"
2010,"6,424","4,141","5,917","9,731","13,612","13,112","13,231","25,288","11,342","10,159","8,825","20,730","142,512"
2009,"8,802","7,234","7,652","9,204","13,582","14,637","17,438","37,592","13,678","11,089","7,605","14,373","162,886"
2008,"6,120","3,862","6,051","8,732","14,932","11,595","16,424","26,113","13,568","13,477","7,246","14,536","142,656"
2007,"9,333","4,690","5,677","6,457","9,418","10,305","10,993","19,382","9,314","7,726","12,721","12,282","118,298"
2006,"5,643","4,142","5,242","9,398","15,070","9,863","14,054","17,333","10,174","9,075","8,492","26,494","134,980"
2005,"5,970","11,423","9,929","10,624","13,813","13,586","15,414","26,237","10,486","11,050","6,647","17,035","152,214"
2004,"6,835","4,757","4,699","7,770","13,573","15,011","43,562","25,892","13,654","11,903","9,750","25,139","182,545"
2003,"17,307","11,648","13,039","7,805","15,189","16,173","19,630","24,754","13,750","14,058","9,631","20,380","183,364"
2002,"12,769","6,597","4,966","9,167","17,523","18,367","21,130","30,373","16,107","15,696","20,920","18,197","191,812"
2001,"10,718","5,944","7,596","9,575","16,666","19,469","22,271","25,445","14,755","17,310","14,977","18,914","183,640"
2000,"9,356","7,878","8,822","10,953","18,854","19,608","28,014","24,652","16,338","16,344","13,933","18,063","192,815"
1999,"6,296","9,607","8,282","14,562","18,641","20,464","21,956","25,872","19,274","19,053","14,939","20,404","199,350"
1998,"15,438","14,451","15,374","12,413","19,747","22,497","26,086","33,089","20,173","19,020","12,779","20,865","231,932"
1997,"15,860","12,590","9,701","11,814","14,364","23,445","25,668","29,400","19,650","18,563","13,235","16,446","210,736"
1996,"10,288","9,355","13,982","17,070","22,699","23,481","27,897","31,011","22,029","25,566","18,871","19,508","241,757"
1995,"10,738","12,492","19,470","16,762","24,436","24,405","29,180","30,377","21,943","19,421","14,775","17,960","241,959"
1994,"8,106","8,425","13,105","19,581","28,284","30,664","34,492","34,015","23,518","21,715","12,601","15,327","249,833"
1993,"8,427","6,490","11,965","19,853","25,221","32,039","22,710","26,819","22,234","13,702","13,076","20,732","223,268"
1992,"16,162","12,400","21,237","18,896","23,255","30,334","37,529","54,293","32,329","28,901","13,357","16,924","305,617"
1991,"9,291","12,545","16,214","24,926","32,112","35,299","38,610","45,379","27,797","24,914","11,986","19,062","298,135"
1990,"10,692","11,490","16,617","23,023","29,447","36,929","37,555","46,467","32,126","29,235","13,105","21,625","308,311"
1989,"7,929","7,569","17,101","23,154","28,211","33,655","41,398","45,840","32,883","38,335","11,243","12,513","299,831"
1988,"8,599","8,091","14,620","19,592","33,275","38,952","45,651","45,610","31,183","41,025","14,837","8,785","310,220"
1987,"6,919","7,595","13,389","15,463","23,005","30,396","33,031","30,179","23,281","17,193","9,508","8,705","218,664"
1986,"6,755","6,665","13,197","16,148","24,075","33,477","34,466","33,527","18,771","15,491","11,073","10,295","223,940"
1985,"7,164","5,090","10,540","17,878","23,394","30,293","30,727","30,315","24,130","16,054","5,025","7,235","207,845"
1984,"8,545","8,302","8,798","15,483","22,934","32,513","35,545","31,918","20,091","16,836","10,334","15,130","226,429"
1983,"5,977","10,645","18,101","20,305","23,318","32,906","30,991","46,816","21,275","14,880","9,914","7,434","242,562"
1982,"7,874","11,699","13,519","17,602","27,119","38,390","39,262","32,674","27,773","19,763","10,168","8,491","254,334"
1981,"13,641","9,642","23,192","38,307","24,717","25,651","33,179","31,976","23,064","18,511","8,470","6,560","256,910"
1980,"10,218","10,368","15,858","17,983","23,777","23,008","29,097","27,495","21,105","17,250","10,083","6,460","212,702"
1979,"9,320","8,475","12,405","17,350","19,545","25,525","31,228","30,180","19,610","17,400","8,587","5,403","205,028"
