Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,462.6875,588.5,1497.875,2701,4526.0625,4601.75,5031.0625,4295.25,2970.4375,4424.4375,1858.3125,727.5,
2016,"1,258",,,,,,,,,,,,"1,258"
2015,584,438,"1,588","4,325","5,371","5,485","6,443","5,192","4,681","5,109","3,082","1,289","43,587"
2014,242,399,"2,269","2,518","4,772","4,932","6,135","4,228","3,899","5,008","1,460",570,"36,432"
2013,513,554,"2,664","3,053","4,933","5,262","5,106","4,452","2,594","1,200","1,270",605,"32,206"
2012,606,934,"2,667","3,322","5,122","6,682","5,187","4,610","4,136","3,836","1,711",649,"39,462"
2011,331,607,"1,007","2,001","4,844","4,337","5,610","4,517","2,989","4,645","1,723","1,223","33,834"
2010,300,347,"1,147","2,467","4,866","4,270","5,461","4,505","3,302","5,139","1,362",752,"33,918"
2009,337,518,"1,238","2,597","5,207","4,614","5,575","4,569","2,962","4,407","1,591",564,"34,179"
2008,560,546,866,"2,306","3,930","3,861","3,854","3,252","1,488","4,596","1,814","1,057","28,130"
2007,383,318,"1,581","2,426","4,072","3,808","4,410","3,985","2,873","4,261","1,655",549,"30,321"
2006,708,785,946,"2,663","4,670","4,194","4,152","3,261","2,865","3,630","1,724",738,"30,336"
2005,554,595,"1,100","1,554","4,925","4,698","3,792","3,646","2,406","4,172","2,061",653,"30,156"
2004,475,916,"1,666","3,272","4,297","4,452","5,411","4,901","3,696","4,316","1,759",579,"35,740"
2003,570,436,"1,919","4,314","4,786","5,693","5,909","5,612","3,757","10,397","2,503",711,"46,607"
2002,485,"1,003","1,047","2,139","3,628","4,559","4,329","3,851","1,915","3,165","1,930",621,"28,672"
2001,407,571,"1,060","2,237","3,235","3,344","4,214","3,843","2,058","2,881","2,193",718,"26,761"
2000,348,449,"1,201","2,022","3,759","3,437","4,909","4,300","1,906","4,029","1,895",362,"28,617"
1999,347,580,"1,017","2,250","4,102","3,511","4,529","4,694","2,344","3,757","1,665",486,"29,282"
1998,704,792,"1,200","3,059","5,114","3,562","5,613","6,224","2,698","3,711","2,332",590,"35,599"
1997,558,671,"1,465","2,845","3,898","4,476","5,050","6,199","2,633","4,728","2,137",415,"35,075"
1996,377,830,"1,134","3,517","4,459","4,469","6,379","6,461","2,759","4,558","1,302",760,"37,005"
1995,623,"1,069","1,711","2,565","5,729","4,546","6,865","6,298","3,821","3,911","1,388",310,"38,836"
1994,196,722,"1,112","2,355","4,048","4,063","6,850","6,121","3,552","4,610","2,528",885,"37,042"
1993,638,463,707,"1,944","4,273","4,679","6,325","6,583","3,296","3,241","1,297",386,"33,832"
1992,512,"1,060","1,478","2,962","5,143","5,414","7,447","7,338","4,218","4,347",899,584,"41,402"
1991,400,715,"1,926","2,433","5,257","6,068","7,349","8,325","3,757","3,789","1,506",797,"42,322"
1990,544,793,"1,836","2,867","4,736","4,943","7,365","7,346","3,433","2,355","1,897",394,"38,509"
1989,755,789,"1,883","2,337","5,921","4,821","8,808","7,787","4,226","3,316","1,480",299,"42,422"
1988,796,449,"1,740","2,632","7,469","5,609","9,591","7,195","3,532","3,402","1,502",675,"44,592"
1987,648,"1,032","2,250","2,824","7,862","5,561","7,919","8,241","4,073","4,187","1,575",578,"46,750"
1986,515,589,"2,037","2,518","6,942","5,146","7,443","8,457","3,073","4,753","1,699",682,"43,854"
1985,269,338,"1,632","2,906","5,481","4,677","7,256","6,846","4,017","4,772","1,015",423,"39,632"
1984,475,"1,115",949,"2,620","6,971","5,517","8,419","7,309","2,991","4,244","1,141",669,"42,420"
1983,516,"1,125","1,574","2,315","5,469","5,480","8,762","8,315","3,965","3,914","1,289",289,"43,013"
1982,342,487,"1,899","2,429","6,026","4,902","8,087","9,164","4,185","4,417","1,126",542,"43,606"
1981,533,"1,966","3,645","3,454","7,997","7,363","9,618","10,232","6,070","6,118","2,304",437,"59,737"
1980,456,448,"1,243","3,207","7,753","6,281","9,432","12,215","6,078","5,974","2,636","1,428","57,151"
1979,165,173,"1,320","3,475","8,704","5,690","8,988","9,608","4,226","6,168","2,246",751,"51,514"
