Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1897.125,1682.25,3684.9375,4464.6875,5978.125,5708.75,6737.3125,6704.0625,5939.875,4931.375,3402.25,2335.3125,
2016,"2,231","1,704",,,,,,,,,,,"3,935"
2015,908,927,"1,948","4,034","5,630","5,682","6,258","7,623","6,288","5,452","3,967","2,535","51,252"
2014,"1,050",903,"2,522","4,649","5,331","5,460","6,354","7,578","4,919","4,956","2,692","1,691","48,105"
2013,"1,519","1,103","3,363","3,255","4,564","5,831","5,728","7,615","6,997","1,717","2,863","1,583","46,138"
2012,"1,310","1,673","3,722","5,871","4,997","7,233","5,661","7,583","6,533","3,634","2,982","1,671","52,870"
2011,"1,223","1,521","2,830","4,460","4,881","5,212","7,377","2,944","4,827","5,481","2,197","1,920","44,873"
2010,"1,419","1,282","5,144","4,259","5,365","6,154","6,697","6,809","7,286","6,403","2,958","1,974","55,750"
2009,"1,480","1,680","3,988","4,635","6,241","4,618","6,874","6,655","6,080","4,929","5,473",533,"53,186"
2008,"1,899","1,463","3,150","4,736","4,668","4,304","5,257","7,464","4,455","6,888","3,104","1,940","49,328"
2007,"1,846","1,605","4,166","4,165","10,175","4,737","6,404","6,297","7,298","4,295","3,040","1,985","56,013"
2006,"2,123","1,692","3,544","4,812","4,680","3,888","5,718","6,702","5,539","4,323","3,459","2,759","49,239"
2005,"4,709","2,590","3,482","3,828","5,009","5,639","6,071","5,013","4,639","3,304","3,314","2,382","49,980"
2004,"2,094","2,718","4,115","4,549","3,423","5,815","6,758","6,413","3,542","4,582","3,312","2,925","50,246"
2003,"2,295","1,183","3,554","3,835","9,647","4,672","7,425","5,844","3,858","4,788","3,590","3,003","53,694"
2002,"1,963","2,442","5,444","3,798","5,948","7,517","7,558","6,913","6,180","4,375","3,957","4,638","60,733"
2001,"2,054","1,793","3,172","5,119","7,815","7,739","8,414","7,278","8,219","6,187","4,210","2,898","64,898"
2000,"2,462","2,341","4,815","5,430","7,276","6,839","9,243","8,534","8,378","7,588","3,318","2,928","69,152"
1999,"2,210","2,540","6,938","5,296","7,697","7,979","7,750","9,139","8,227","7,805","4,722","4,000","74,303"
1998,"3,946","4,240","5,916","7,090","8,122","8,310","10,968","11,306","12,650","5,917","4,292","3,789","86,546"
1997,"4,108","4,253","6,843","8,249","9,195","8,259","10,080","12,239","3,502","9,769","4,679","4,760","85,936"
1996,"1,502","2,931","5,543","7,416","10,305","10,498","9,875","11,786","11,738","9,761","6,004","4,053","91,412"
1995,"3,640","3,160","7,307","7,579","9,171","9,143","9,786","10,797","12,068","9,148","4,096","2,070","87,965"
1994,"1,515","2,587","5,255","7,234","10,349","8,215","11,324","12,201","13,742","11,597","5,642","4,755","94,416"
1993,"7,695","4,300","5,031","8,253","11,553","10,129","12,839","14,071","13,072","11,486","5,247","5,543","109,219"
1992,"4,562","5,673","7,198","8,017","10,789","11,999","12,664","17,525","11,134","11,685","7,826","5,438","114,510"
1991,"3,569","4,642","6,897","7,978","10,857","10,737","12,681","13,549","14,313","9,821","6,829","5,365","107,238"
1990,"4,540","4,360","6,323","7,194","9,668","11,665","13,074","12,333","12,958","7,386","6,356","3,359","99,216"
1989,"4,601","3,921","6,076","6,759","13,007","10,433","13,454","12,393","10,369","12,091","6,080","4,011","103,195"
1988,"3,793","4,129","7,126","8,460","13,206","14,127","17,712","16,210","13,408","18,761","8,292","5,196","130,420"
1987,"3,583","4,144","7,970","9,955","13,922","12,558","16,081","20,032","13,309","16,277","8,728","2,311","128,870"
1986,"3,602","3,670","7,776","8,559","15,731","16,329","18,907","21,980","14,639","16,693","6,166","4,586","138,638"
1985,"2,518","5,724","7,862","10,005","16,143","16,035","24,069","22,140","20,080","19,171","6,646","3,634","154,027"
1984,"3,503","4,512","5,230","13,110","12,777","14,419","24,170","20,830","19,471","17,883","7,389","6,526","149,820"
1983,"4,922","6,172","9,186","12,094","13,633","15,611","25,876","24,357","20,051","19,829","6,828","3,600","162,159"
1982,"2,052","5,109","4,747","8,451","14,395","19,688","22,593","25,639","17,924","19,994","6,491","3,892","150,975"
1981,"2,821","4,020","6,776","9,278","17,819","17,027","21,898","23,934","15,739","14,512","6,510","3,096","143,430"
1980,"5,840","3,993","5,561","10,992","17,095","21,720","30,917","27,292","14,286","14,280","7,141","3,957","163,074"
1979,"2,441","3,103","7,469","9,964","12,574","14,633","21,152","21,772","15,093","15,334","7,053","2,862","133,450"
