Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,507.25,1145,793,1515.75,2402,2320.875,3882.25,3782.25,1958.8125,1939.375,894.1875,653.6875,
2016,866,,,,,,,,,,,,866
2015,136,58,187,197,"1,530","3,445","6,333","4,083","3,268","3,352","1,045",872,"24,506"
2014,271,530,701,"1,261","1,561","2,679","5,683","3,222",846,762,206,234,"17,956"
2013,916,"1,829",691,"1,108","1,604","2,778","4,472","1,887","1,791","2,400",977,574,"21,027"
2012,"1,046","1,174","1,190","2,217","2,016","5,658","6,437","5,701","6,437","2,793","1,050",656,"36,375"
2011,"1,423",965,706,"1,189","2,544","3,838","8,538","3,700","3,529","3,024","1,272",771,"31,499"
2010,195,"2,384",829,"2,085","1,941","2,965","6,063","5,224",938,"1,150",533,546,"24,853"
2009,252,"1,226",478,852,"2,674","1,801","3,656","3,656",981,882,279,363,"17,100"
2008,213,"1,992",576,770,"2,390","1,314","2,336","9,806","1,774","3,260","1,436","1,422","27,289"
2007,401,798,"1,470","1,434","2,806","1,425","2,876","4,753","1,019","1,019",361,834,"19,196"
2006,314,815,838,"1,809","2,229","1,580","1,594","5,242","2,337","1,530","1,037",591,"19,916"
2005,176,588,426,578,"1,595","1,379","2,244","2,823","2,359","2,300",627,239,"15,334"
2004,490,"1,255",790,"1,500","1,970","1,415","1,953","1,403",882,"1,451",552,312,"13,973"
2003,311,450,849,"1,680","4,424","1,853","2,741","2,271","1,003","1,410",653,339,"17,984"
2002,567,"1,514",792,"1,159","3,568","1,373","2,111","1,986","1,060",966,"1,151",712,"16,959"
2001,726,"1,432","1,229","2,291","3,121","1,706","2,474","2,183","1,406","2,208","1,614",725,"21,115"
2000,679,"1,310",936,"4,122","2,459","1,925","2,605","2,576","1,711","2,523","1,514","1,269","23,629"
1999,559,"1,212","1,174","2,355","2,810","2,383","3,337","3,294","1,926","2,364","1,204","1,441","24,059"
1998,157,233,762,"1,034",319,"3,743","6,311","4,553","1,753","2,969","1,920","2,138","25,892"
1997,61,391,422,432,572,621,306,374,143,395,268,89,"4,074"
