Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,93.1875,85.3125,113.125,326,1476.3125,1932.375,2823,2780,1510,2479.25,339.625,64.0625,
2016,215,,,,,,,,,,,,215
2015,188,120,291,444,"1,842","2,669","4,412","3,560","2,264","2,011",462,222,"18,485"
2014,232,153,275,761,"1,956","3,321","4,637","4,461","2,307","7,378",625,167,"26,273"
2013,192,146,277,502,"1,753","2,668","3,547","3,563","1,884",983,"1,502",256,"17,273"
2012,174,255,403,879,"1,807","2,696","3,638","3,474","1,922","6,296",971,127,"22,642"
2011,178,131,360,525,"1,185","1,632","2,429","3,453","1,668","6,219",433,253,"18,466"
2010,0,0,0,0,"1,116","1,618","2,649","2,509","1,564","7,766",244,0,"17,466"
2009,12,60,42,164,"2,454","2,207","3,185","3,253","1,805","2,788",363,0,"16,333"
2008,11,54,22,28,706,"2,092","3,054","2,977","1,126",20,0,0,"10,090"
2007,0,0,0,0,"1,185","1,915","2,295","2,346","1,155",0,0,0,"8,896"
2006,12,0,0,0,"1,057","1,088","1,790","1,454","1,089",0,0,0,"6,490"
2005,0,0,0,0,124,"1,793","2,782","1,631","1,286",0,0,0,"7,616"
2004,0,0,0,0,"1,367","1,614","2,743","2,596","1,424","1,329",0,0,"11,073"
2003,0,0,0,0,"1,394","1,429","2,002","2,338","1,050","1,117",0,0,"9,330"
2002,0,0,0,0,"1,636","1,328","1,725","2,207","1,260","1,261",0,0,"9,417"
2001,0,0,0,953,"2,193","1,523","2,243","2,747","1,042","1,082",461,0,"12,244"
2000,492,446,140,960,"1,846","1,325","2,037","1,911","1,314","1,418",373,0,"12,262"
1999,250,250,342,"1,409","3,511","1,831","7,319","2,756","1,795","2,218",886,480,"23,047"
1998,200,200,269,"1,014","1,555","1,438","1,738","1,679","1,165","1,166",250,250,"10,924"
1997,100,150,586,911,"2,127","1,862","2,067","2,570","1,178","1,422",535,0,"13,508"
1996,0,0,0,34,"1,785","2,771","3,033","3,443","2,040","1,658",953,0,"15,717"
1995,0,0,0,0,"1,536","1,351","2,131","2,091","1,463",678,0,0,"9,250"
1994,191,383,736,864,"1,516","1,330","1,622","1,830","1,293","1,296",753,0,"11,814"
1993,625,663,598,"1,027","1,942","1,200","1,293","1,801","1,086","1,215",898,650,"12,998"
1992,128,337,184,142,"1,226","1,471","1,873","2,105","1,191","1,392",820,476,"11,345"
1991,593,751,"1,035","1,098","1,427","1,345","1,839","1,622","1,111","1,168",804,749,"13,542"
1990,426,684,946,"1,394","1,992","1,443","2,497","2,351","1,516","1,345","1,076",721,"16,391"
1989,518,652,919,925,"2,063","1,439","2,023","2,243","1,288","1,317",815,438,"14,640"
1988,506,465,690,"1,054","1,438","1,410","2,219","2,509","1,548","1,702","1,296",659,"15,496"
1987,543,697,"1,196","1,250","1,715","1,622","2,061","2,193","1,763","1,411",906,594,"15,951"
1986,397,242,"1,224","1,290","1,474","1,654","3,150","3,437","1,711","1,929","1,279",845,"18,632"
1985,510,938,"1,260","1,366","1,655","1,739","2,338","2,375","1,548","1,738","1,269",702,"17,438"
1984,544,936,832,"1,442","1,851","1,916","2,697","2,954","1,928","1,742","1,306",759,"18,907"
1983,562,673,767,"1,367","1,600","1,536","2,698","2,846","1,835","1,819","1,672",894,"18,269"
1982,587,0,"1,020","1,404","1,957","1,571","2,046","3,160","1,541","1,611","1,112",820,"16,829"
1981,480,726,836,"1,385","1,680","1,671","2,288","3,100","1,847","1,891","1,236",617,"17,757"
1980,579,677,"1,090","1,431","1,483","1,948","2,076","2,983","1,656","1,581","1,210",585,"17,299"
1979,587,649,"1,011","1,435","1,923","1,888","2,698","3,333","2,043","1,752","1,250",739,"19,308"
