Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1968.125,2103.0625,2886.5625,4365,3371.1875,2408.5,2753.375,2879.375,2615.875,2769.25,2280.125,1942.3125,
2016,"2,775","3,198",,,,,,,,,,,"5,973"
2015,"3,206","2,867","4,031","6,383","4,550","3,735","3,570","2,829","2,359","3,750","2,893","2,442","42,615"
2014,"2,299","2,987","3,293","6,378","4,083","3,660","5,105","2,664","3,108","3,016","2,648","2,294","41,535"
2013,"2,923","2,662","3,435","5,828","2,697","2,304","3,773","3,325","3,023","2,206","2,722","2,879","37,777"
2012,"2,549","2,426","2,820","6,040","3,080","2,659","4,321","3,048","3,002","2,974","2,463","2,021","37,403"
2011,"1,376","1,963","2,038","4,582","2,778","2,499","2,759","2,550","3,139","2,824","2,634","2,094","31,236"
2010,"1,954","2,102","2,647","5,811","3,264","2,249","3,666","3,742","2,847","2,850","1,831","1,941","34,904"
2009,"3,101","1,779","2,606","5,787","3,289","2,443","2,953","2,500","1,960","3,592","2,436","2,070","34,516"
2008,"1,629","1,794","2,960","4,676","3,083","1,619","2,410","3,497","1,753","2,013","1,876","1,460","28,770"
2007,"1,684","1,978","2,914","4,461","2,939","2,200","1,737","3,165","2,589","2,972","2,357","1,879","30,875"
2006,"1,897","1,775","2,367","3,626","2,586","2,253","1,573","3,026","2,545","2,989","2,578","2,284","29,499"
2005,"1,439","1,575","3,083","3,205","2,692","2,800","2,283","2,684","2,431","2,066","1,970","1,938","28,166"
2004,"1,601","1,458","2,907","2,859","3,768","1,995","2,499","2,714","2,690","2,170","1,891","1,321","27,873"
2003,"1,394","2,097","3,010","2,605","3,406","2,003","1,455","2,493","2,317","2,347","1,799","1,652","26,578"
2002,"1,567","2,305","2,495","2,197","3,999","1,784","1,967","2,565","3,057","1,938","2,596","1,472","27,942"
2001,"1,162","1,419","2,088","2,167","3,783","1,750","1,986","2,752","2,765","2,073","1,912","1,400","25,257"
2000,"1,709","2,462","3,491","3,235","3,942","2,583","1,997","2,516","2,269","4,528","1,876","1,930","32,538"
1999,"1,181","1,805","2,654","1,887","3,894","2,787","3,042","2,507","3,187","2,876","2,330","2,842","30,992"
1998,"1,771","1,630","2,810","2,899","2,804","2,991","2,597","2,650","2,980","2,821","2,269","1,829","30,051"
1997,"1,797","2,077","3,033","3,462","3,941","2,948","2,320","1,778","2,396","2,273","2,931","2,578","31,534"
1996,"1,185","1,964","2,121","2,508","3,839","3,584","2,228","2,323","1,815","2,081","2,265","2,132","28,045"
1995,"1,405","2,591","2,692","3,421","2,847","2,334","2,298","2,520","2,345","2,495","2,029",959,"27,936"
1994,"1,793","1,529","2,422","3,342","2,662","2,217","2,224","2,704","3,358","4,139","2,568","2,086","31,044"
1993,"1,514","1,358","2,113","2,589","2,278","2,070","1,700","2,960","1,847","3,626","2,672","4,649","29,376"
1992,"1,178","1,861","1,838","3,156","2,140","1,610","1,812","2,145","1,110","1,582","1,660","1,381","21,473"
1991,"1,190","1,544","1,703","3,386","2,062","1,959","1,894","3,013","1,221","1,524","1,657","1,527","22,680"
1990,"1,280","2,147","2,107","4,096","2,203","1,949","2,229","3,517","1,723","1,247","1,970","1,766","26,234"
1989,"1,730","2,034","3,719","6,061","3,656","2,860","3,781","2,245","1,395","1,958","1,522","2,397","33,358"
1988,"1,941","2,128","2,392","5,654","3,586","2,572","4,815","2,932","2,501","2,144","2,775","2,483","35,923"
1987,"1,968","2,853","2,991","5,218","3,499","2,479","4,206","3,093","1,678","1,842","1,922","1,963","33,712"
1986,"2,109","2,153","2,807","4,710","3,336","3,140","3,615","3,133","5,378","2,452","2,524","2,694","38,051"
1985,"2,031","2,494","2,805","5,222","3,116","2,759","2,812","3,580","2,514","2,184","2,146","2,291","33,954"
1984,"1,702","2,223","2,913","4,833","2,674","2,967","3,084","4,176","1,996","1,910","1,769","1,960","32,207"
1983,"1,555","2,773","2,519","3,184","2,745","2,368","3,083","2,568","1,622","2,095","1,975","1,631","28,118"
1982,"1,890","2,219","2,306","4,594","4,190","2,634","3,414","3,532","2,268","2,159","1,781","2,028","33,015"
1981,"1,551","2,244","2,597","3,555","2,611","1,686","2,915","2,764","1,717","1,709","1,897","1,824","27,070"
1980,"1,884","1,785","2,562","4,028","2,625","2,625","2,452","2,889","1,693","1,712","1,924","1,270","27,449"
1979,"1,679","1,958","1,973","3,370","2,149","2,165","2,325","2,533","1,715","1,890","1,926","1,228","24,911"
