Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,10954.25,9896.875,10325.375,8634.9375,9291.375,9108.4375,12408.125,9286.9375,8936.5,8583.75,8521.0625,10194,
2016,"19,239",,,,,,,,,,,,"19,239"
2015,"13,577","13,162","16,032","13,842","13,191","15,401","16,956","14,242","11,041","13,117","14,182","15,940","170,683"
2014,"14,828","15,270","15,737","13,107","12,234","13,498","15,834","12,689","10,256","10,906","8,716","11,131","154,206"
2013,"18,030","16,588","17,140","13,908","13,616","12,090","13,088","12,252","11,329","6,895","11,553","11,635","158,124"
2012,"14,373","14,750","14,278","12,899","13,633","9,130","12,870","14,024","12,055","12,490","12,249","10,833","153,584"
2011,"17,009","16,007","14,431","13,025","11,325","13,781","13,492","13,178","11,414","13,088","12,833","13,323","162,906"
2010,"13,178","11,473","10,421","10,305","10,488","11,651","12,332","11,378","11,102","8,656","10,691","11,056","132,731"
2009,"18,469","15,316","17,719","2,541","18,418","20,985","11,403","12,468","12,775","11,022","8,754","16,510","166,380"
2008,"10,179","8,402","8,428","7,600","6,612","8,240","8,107","9,472","10,112","9,965","3,458","14,260","104,835"
2007,"7,997","7,871","8,283","7,786","8,164","8,006","14,357","7,322","10,788","12,283","12,496","13,884","119,237"
2006,"6,592","4,907","5,003","8,097","5,212",65,"44,343","8,482","9,420","5,491","7,088","7,644","112,344"
2005,"10,815","7,052","7,563","8,044","8,204","7,288","6,945","5,663","6,235","6,495","5,513","6,074","85,891"
2004,"8,173","7,887","8,772","7,131","7,003","6,965","7,945","7,714","6,923","7,516","7,753","7,680","91,462"
2003,"6,495","6,362","6,931","6,196","6,241","6,074","6,233","5,636","6,113","6,684","7,311","7,356","77,632"
2002,"6,365","5,345","5,699","5,710","5,325","5,076","6,498","6,185","5,525","5,200","6,106","7,067","70,101"
2001,"4,546","4,082","4,808","4,233","4,188","4,101","4,936","4,532","4,637","4,571","4,528","4,838","54,000"
2000,"4,642","3,876","3,961","3,735","4,808","3,384","3,191","3,354","3,259","2,961","3,106","3,873","44,150"
1999,"5,648","4,731","4,961","4,198","4,128","3,121","3,383","3,176","3,552","3,479","3,441","3,510","47,328"
1998,"4,844","4,676","5,464","4,447","4,454","5,637","5,292","4,319","4,112","4,396","4,281","4,662","56,584"
1997,"4,436","3,259","4,014","3,643","4,427","3,837","3,179","2,805","3,044","3,238","3,337","5,039","44,258"
1996,"4,842","4,853","5,201","4,078","3,732","3,313","3,230","3,630","3,693","3,566","4,332","4,366","48,836"
1995,"5,171","4,826","4,209","4,675","4,407","4,209","4,417","3,926","3,244","3,068","3,455","4,027","49,634"
1994,"4,295","3,987","4,053","4,151","4,067","3,537","3,218","3,555","3,383","3,529","3,750","4,845","46,370"
1993,"4,918","4,072","3,906","3,604","3,227","3,638","3,290","3,329","2,878","3,585","4,109","3,925","44,481"
1992,"4,151","3,779","4,252","4,371","4,340","4,109","4,532","2,272","2,207","2,651","2,946","2,981","42,591"
1991,"3,548","3,399","3,801","4,073","3,433","4,049","4,979","3,805","3,775","3,652","4,178","4,088","46,780"
1990,"2,438","2,320","2,747","1,779","1,307","1,138","1,460","1,551","1,737","1,375","2,879","2,849","23,580"
1989,997,844,"1,435","1,083","1,177","1,499","1,803","1,484","1,632","1,358","1,546","2,496","17,354"
1988,118,273,372,920,"1,402","1,652","1,507","1,527","1,338","1,283","1,033","1,037","12,462"
