Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,421412,448114.375,529807.8125,684098.375,736663.6875,867393,842541.5625,841387.5625,690058.9375,559631.625,452716.5625,377312.875,
2016,"399,047",,,,,,,,,,,,"399,047"
2015,"457,006","539,678","612,804","614,654","712,654","788,536","802,996","738,589","675,327","624,608","400,667","330,946","7,298,465"
2014,"310,463","336,164","442,396","534,357","609,803","697,851","888,002","859,212","797,588","546,014","362,853","558,170","6,942,873"
2013,"306,726","322,055","436,380","620,431","729,966","842,757","836,313","643,665","615,300","267,253","406,538","317,330","6,344,714"
2012,"289,946","329,926","419,046","621,985","657,461","753,039","708,281","678,719","634,051","466,462","416,717","309,806","6,285,439"
2011,"299,173","353,689","461,891","644,528","668,557","798,181","733,722","667,820","586,276","436,656","425,462","320,727","6,396,682"
2010,"345,000","389,636","491,335","710,369","707,913","816,772","739,538","840,457","691,446","515,843","488,600","343,849","7,080,758"
2009,"368,557","392,855","504,244","665,213","850,594","848,632","713,069","991,291","756,089","667,954","498,563","411,628","7,668,689"
2008,"365,646","444,062","593,712","740,516","816,102","865,423","747,842","856,057","648,582","572,487","537,129","414,305","7,601,863"
2007,"424,010","462,067","523,754","648,945","648,435","924,552","1,062,772","917,472","636,593","577,787","410,132","385,620","7,622,139"
2006,"533,799","513,381","561,718","639,034","724,420","918,598","1,011,557","941,126","616,981","627,340","436,334","253,465","7,777,753"
2005,"479,822","511,758","583,136","660,942","713,181","1,109,621","864,139","768,414","607,085","592,217","428,829","373,294","7,692,438"
2004,"541,983","513,896","627,473","697,975","722,368","882,206","847,060","807,328","754,426","560,462","418,176","446,631","7,819,984"
2003,"565,840","494,020","504,352","647,055","889,138","834,801","844,088","938,066","736,076","620,136","432,721","409,288","7,915,581"
2002,"474,237","485,642","510,328","798,306","707,608","726,761","806,732","921,909","742,722","566,446","411,311","398,282","7,550,284"
2001,"510,732","529,922","602,594","840,001","778,010","905,404","1,003,259","1,041,354","800,605","541,943","573,310","338,413","8,465,547"
2000,"469,652","551,079","601,762","861,263","850,409","1,165,154","871,295","850,722","741,796","770,498","596,123","425,252","8,755,005"
1999,"578,620","537,516","669,805","766,393","870,624","998,214","873,925","969,205","790,357","735,064","732,951","501,269","9,023,943"
1998,"460,045","561,266","624,747","792,103","867,823","908,584","931,425","998,112","844,152","799,566","611,918","388,314","8,788,055"
1997,"611,169","525,263","660,259","880,612","909,827","962,596","929,072","889,236","699,618","561,326","556,626","342,816","8,528,420"
1996,"741,699","569,091","667,542","829,942","804,075","985,349","1,031,209","958,646","778,976","800,393","573,707","610,218","9,350,847"
1995,"585,256","619,953","806,099","910,469","828,080","866,091","1,207,983","1,213,787","900,868","705,205","798,795","396,116","9,838,702"
1994,"589,468","497,616","832,960","893,171","873,650","1,083,775","1,246,436","887,883","924,876","695,968","568,024","472,898","9,566,725"
1993,"416,006","463,161","713,811","915,470","1,013,495","1,107,035","978,137","903,338","861,211","703,119","464,265","402,177","8,941,225"
1992,"416,960","539,069","734,333","960,115","979,649","1,051,668","1,020,373","882,231","781,869","730,884","597,175","322,199","9,016,525"
1991,"450,623","593,436","561,335","727,659","857,511","905,389","1,020,466","847,640","767,683","799,755","535,426","378,093","8,445,016"
1990,"443,896","448,025","770,732","878,483","902,589","931,510","959,329","911,058","704,073","648,125","559,266","425,137","8,582,223"
1989,"399,600","504,179","725,368","909,100","861,173","796,365","944,774","906,792","706,725","652,207","642,677","446,335","8,495,295"
1988,"367,232","598,606","752,808","768,185","856,819","809,334","895,279","768,343","729,851","698,859","688,338","394,196","8,327,850"
1987,"380,535","529,194","522,302","747,014","953,044","913,786","818,208","796,346","763,781","734,910","562,049","377,516","8,098,685"
1986,"396,839","475,612","657,249","832,593","929,543","824,510","749,834","686,694","616,173","645,998","506,362","431,926","7,753,333"
1985,"309,267","518,651","611,119","838,798","834,378","610,094","654,919","709,763","620,205","485,595","417,181","342,177","6,952,147"
1984,"292,700","446,864","591,402","623,358","655,664","660,413","572,367","658,032","638,736","379,796","377,778","379,452","6,276,562"
1983,"312,964","346,712","373,295","588,963","697,765","607,028","701,425","601,892","541,863","434,366","354,697","352,798","5,913,768"
1982,"270,902","267,388","333,765","732,824","668,495","687,955","543,978","309,870","454,394","471,092","327,160","322,673","5,390,496"
1981,"299,746","342,451","341,869","579,390","729,168","487,178","562,885","559,623","353,099","404,549","322,290","237,018","5,219,266"
1980,"255,720","325,376","354,098","479,256","592,388","551,508","532,552","474,170","420,639","395,019","354,766","230,109","4,965,601"
1979,"291,697","434,243","632,032","643,560","546,323","691,699","622,750","573,418","569,722","460,510","350,107","339,039","6,155,100"
