Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,6044.6875,7386.3125,14336.8125,15994.8125,21477.5,27479.4375,37722.6875,39219.8125,24951.875,17556.3125,9237.875,6510,
2016,"9,685",,,,,,,,,,,,"9,685"
2015,"8,583","10,694","17,229","17,450","25,409","33,546","45,399","43,170","28,193","21,845","11,624","7,268","270,410"
2014,"8,797","6,735","14,945","17,034","22,325","31,381","41,040","41,272","25,647","18,219","10,535","6,991","244,921"
2013,"6,318","7,696","13,900","14,843","18,789","27,057","40,644","42,299","22,279","8,909","8,967","5,321","217,022"
2012,"4,978","5,873","9,524","12,233","16,975","23,948","38,732","38,396","23,232","15,583","6,920","5,310","201,704"
2011,"5,610","5,933","10,662","12,511","17,672","24,427","36,905","33,331","19,768","12,950","6,692","5,406","191,867"
2010,"6,522","7,320","13,753","14,335","20,119","25,971","40,372","40,745","23,191","15,077","6,470","4,678","218,553"
2009,"5,784","6,684","13,195","14,031","20,884","30,338","41,392","41,644","23,790","15,794","6,488","5,822","225,846"
2008,"6,342","6,587","13,368","15,648","20,811","28,552","42,183","45,797","28,303","11,447","7,187","3,832","230,057"
2007,"7,087","8,795","17,248","19,886","25,366","33,728","24,426","36,446","27,480","19,609","9,314","4,995","234,380"
2006,"6,676","10,040","22,196","19,404","23,222","19,776","22,554","25,009","29,644","22,650","8,193","9,452","218,816"
2005,"6,088","9,129","16,062","19,386","25,400","25,153","30,471","30,028","32,528","24,196","17,782","9,043","245,266"
2004,"5,069","7,936","15,896","19,718","26,296","23,514","26,778","25,930","25,119","22,815","11,390","8,731","219,192"
2003,"5,708","6,782","12,396","15,609","21,313","32,067","48,495","52,104","23,528","20,659","10,237","6,955","255,853"
2002,"4,484","6,186","13,581","14,830","19,411","24,976","43,926","47,774","22,869","17,734","9,166","6,970","231,907"
2001,"5,199","6,259","13,251","14,426","20,810","28,354","41,638","42,503","21,341","16,490","9,121","6,745","226,137"
2000,"3,470","5,532","12,183","14,573","18,838","26,883","38,608","41,069","22,318","16,924","7,720","6,641","214,759"
1999,"4,804","5,442","11,426","15,296","18,994","24,587","38,909","40,759","21,871","17,216","6,721","5,469","211,494"
1998,"4,999","6,440","14,862","16,629","23,481","26,332","40,419","47,459","23,636","17,868","7,460","4,642","234,227"
1997,"3,550","5,613","10,690","13,139","19,365","22,087","34,333","40,239","16,450","14,858","11,764","7,734","199,822"
1996,"2,675","2,827","10,657","11,228","17,229","21,896","33,585","39,240","18,132","13,534","5,478","3,092","179,573"
1995,"4,078","4,329","10,978","12,363","18,186","37,148","33,877","37,493","18,057","13,038","4,572",291,"194,410"
1994,"4,465","4,581","12,060","12,878","19,432","23,359","36,735","39,839","17,568","13,344","5,478","3,819","193,558"
1993,"6,290","5,729","13,255","14,977","20,157","24,384","38,433","44,343","18,002","13,574","6,728","4,304","210,176"
1992,"5,892","7,523","17,913","15,373","25,075","31,946","50,298","54,557","21,720","15,429","7,416","4,037","257,179"
1991,"2,834","4,802","11,863","15,326","27,419","38,447","58,967","63,096","26,839","18,072","7,022","5,112","279,799"
1990,"4,567","4,215","13,744","16,424","25,002","34,169","54,124","57,266","26,560","17,193","7,239","2,225","262,728"
1989,"4,097","3,393","10,782","12,144","16,587","26,459","41,149","39,400","26,435","15,404","6,971","4,000","206,821"
1988,"3,194","5,302","11,130","11,503","16,177","25,022","41,097","49,978","19,367","11,791","4,519","4,071","203,151"
1987,"3,559","4,815","10,425","9,234","14,970","22,720","34,615","39,601","16,566","11,039","4,892","2,362","174,798"
1986,"3,147","3,901","9,823","8,329","12,582","24,415","36,096","43,703","15,735","8,828","3,916","3,303","173,778"
1985,"2,728","3,778","9,519","7,664","11,791","21,604","36,394","38,266","14,596","7,421","2,921","3,179","159,861"
1984,"2,529","3,453","9,132","8,356","11,151","19,299","30,983","33,774","16,322","5,943","3,348","1,685","145,975"
1983,"2,428","4,625","9,917","8,091","11,388","18,407","29,593","33,800","16,545","7,671","3,177","1,566","147,208"
1982,"1,698","3,599","9,171","7,394","11,896","19,886","31,210","37,057","15,887","6,428","3,506","1,636","149,368"
1981,"3,467","3,549","8,463","6,284","10,302","12,007","24,581","36,085","14,489","5,808","3,559","2,171","130,765"
1980,"1,895","2,936","6,141","6,223","8,022","10,980","20,152","25,932","7,313","5,300","3,441","2,725","101,060"
1979,"1,498","2,809","7,088","5,547","7,406","10,018","18,384","21,326","8,339","4,802","3,854","2,382","93,453"
