Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,5000.6875,6934.5,13740.75,14481.1875,8714,7106.0625,7251,4878.0625,5157.5,8187,6659.75,7081.6875,
2016,"6,799","10,036",,,,,,,,,,,"16,835"
2015,"5,366","7,910","18,632","18,509","10,277","10,035","10,841","6,203","7,925","11,810","8,004","9,467","124,979"
2014,"6,202","8,158","8,899","8,781","5,598","4,799","5,067","4,245","6,697","10,352","9,123","10,506","88,427"
2013,"3,722","8,585","14,172","15,477","6,190","5,869","5,457","4,219","2,659","2,870","4,457","8,692","82,369"
2012,"5,909","6,779","17,748","15,648","9,391","9,316","9,114","5,750","5,267","8,779","8,483","8,607","110,791"
2011,"4,983","6,393","16,028","13,443","9,117","7,770","7,420","4,380","4,537","9,706","7,747","8,532","100,056"
2010,"5,475","7,246","15,634","18,565","9,576","8,204","9,369","6,412","6,566","11,051","7,683","6,899","112,680"
2009,"6,612","7,521","14,700","13,317","8,082","7,107","7,373","5,774","5,558","8,851","7,252","6,071","98,218"
2008,"4,443","6,528","10,637","13,160","8,536","6,169","6,357","6,422","6,902","9,687","7,114","7,249","93,204"
2007,"3,757","5,510","10,431","11,726","7,207","5,911","9,807","5,406","5,075","8,305","5,928","6,755","85,818"
2006,"4,784","5,443","10,810","10,667","7,305","6,011","6,148","3,677","4,537","7,078","6,636","5,696","78,792"
2005,"3,742","5,511","10,007","12,246","6,314","7,034","5,893","3,652","3,602","5,512","5,940","6,479","75,932"
2004,"4,079","5,546","11,062","18,028","7,412","5,515","6,063","3,665","4,040","6,428","4,737","4,155","80,730"
2003,"4,637","5,417","12,680","13,347","9,499","6,330","6,180","4,403","4,453","6,899","5,319","6,175","85,339"
2002,"5,351","7,280","13,841","15,981","11,550","7,573","5,763","4,681","4,785","6,762","5,447","6,174","95,188"
2001,"4,868","7,701","16,525","16,957","11,708","8,176","7,256","4,296","4,773","7,584","6,265","5,715","101,824"
2000,"6,081","9,424","18,046","15,847","11,662","7,878","7,908","4,864","5,144","9,318","6,421","6,135","108,728"
1999,"7,076","9,663","19,165","19,516","12,069","8,227","9,814","5,321","5,984","10,154","8,076","7,051","122,116"
1998,"6,675","9,034","19,113","20,843","13,516","8,788","9,824","5,688","6,367","9,430","7,720","7,214","124,212"
1997,"5,440","9,717","19,003","20,095","14,537","9,265","10,754","7,677","7,136","10,178","8,994","6,871","129,667"
1996,"6,697","10,341","19,817","17,998","14,348","12,293","11,567","7,671","7,833","12,280","8,175","7,872","136,892"
1995,"8,527","11,925","21,984","29,385","16,946","13,568","14,424","9,314","9,000","12,741","7,992","3,624","159,430"
1994,"7,561","11,369","25,515","29,637","18,169","16,152","18,021","11,782","11,572","13,207","10,167","8,403","181,555"
1993,"8,369","11,546","24,246","27,960","19,237","17,241","19,755","11,952","11,209","14,592","9,957","8,777","184,841"
1992,"7,630","12,847","26,453","24,567","16,567","17,320","21,480","15,618","11,851","16,214","11,544","8,323","190,414"
1991,"7,381","13,071","28,576","27,346","19,211","17,643","20,120","15,605","10,513","15,555","10,718","8,481","194,220"
1990,"9,133","14,294","28,454","23,050","17,376","17,950","21,036","16,437","11,786","13,599","12,355","7,596","193,066"
1989,"15,324","17,013","38,825","40,414","25,701","27,601","31,399","22,707","16,201","23,815","18,103","9,583","286,686"
1988,"11,964","18,017","38,275","41,793","29,111","30,660","34,708","27,240","15,363","23,709","19,502","12,872","303,214"
1987,"14,132","25,670","48,851","45,417","31,212","29,027","36,289","28,861","17,429","23,773","18,006","12,181","330,848"
1986,"12,842","15,990","41,614","37,965","29,230","32,315","38,097","34,097","14,283","19,329","18,497","13,865","308,124"
1985,"9,009","13,421","36,124","40,202","29,983","32,171","36,841","28,139","15,199","18,488","15,373","12,672","287,622"
1984,"9,412","17,394","33,702","36,408","27,841","32,350","35,285","25,425","15,231","15,505","16,044","11,817","276,414"
1983,"13,085","18,169","34,337","38,541","29,611","34,705","40,138","28,396","15,746","21,056","18,217","7,459","299,460"
1982,"11,603","15,001","29,087","32,956","27,118","33,257","41,480","35,030","16,953","20,748","14,554","12,737","290,524"
1981,"15,043","16,635","29,444","36,697","28,634","30,747","41,967","33,952","17,328","19,017","17,501","13,720","300,685"
1980,"12,479","15,944","27,365","37,129","31,546","39,387","40,667","37,649","14,365","22,824","21,020","17,607","317,982"
1979,"9,888","15,438","29,732","38,498","31,277","31,473","36,923","34,807","18,038","19,539","17,154","12,536","295,303"
