Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,104.75,110.8125,189.25,198.875,1180.625,2041.1875,2801,3119.625,4818.9375,2288,553.4375,828.9375,
2015,136,112,132,124,"1,290","3,131","3,385","3,803","2,679","2,266",384,"1,105","18,547"
2014,169,158,187,237,"2,205","2,590","3,961","3,915","2,328","2,459",306,672,"19,187"
2013,92,111,211,216,"1,045","2,716","3,519","3,618","2,611","1,189",201,700,"16,229"
2012,177,150,273,243,832,"2,726","3,180","3,440","6,096","2,679","1,698",568,"22,062"
2011,118,100,264,111,678,"2,173","3,592","3,139","5,072","2,465",346,"1,229","19,287"
2010,150,105,190,209,824,"2,519","2,824","3,903","6,227","3,157",288,659,"21,055"
2009,58,230,540,454,966,"2,051","3,140","3,197","8,223","2,757",495,"1,105","23,216"
2008,144,220,228,420,982,"1,795","2,517","3,217","6,590","2,434","1,831",838,"21,216"
2007,56,27,125,140,858,"1,676","3,008","2,888","7,407","2,148",226,"1,119","19,678"
2006,146,326,442,303,"4,885","1,957","3,080","3,154","6,940","1,912",355,"1,235","24,735"
2005,101,86,212,149,346,"1,047","1,620","1,308","4,075","1,131",61,309,"10,445"
2004,208,48,117,171,364,"1,487","2,254","2,212","4,139","2,192",216,278,"13,686"
2003,14,58,55,216,836,"1,640","2,368","2,628","3,938","2,440",321,80,"14,594"
2002,157,91,118,187,"1,478","2,069","2,248","2,175","4,305","2,448",530,230,"16,036"
2001,52,45,49,68,583,"1,290","2,340","3,342","3,717","2,504",829,"1,131","15,950"
2000,34,18,17,3,168,"2,447","2,124","3,077","1,982","2,145",584,"1,467","14,066"
1999,0,0,0,55,"1,840","2,476","3,041","4,701","3,453","2,548",568,"1,643","20,325"
1998,15,59,125,374,"2,152","2,744","3,235","4,163","3,023","3,675",522,0,"20,087"
1997,126,0,92,88,"1,666","3,344","3,518","3,546","5,856","2,949",205,"1,618","23,008"
1996,12,0,0,0,"1,369","2,806","2,995","2,930","3,446","2,893",956,400,"17,807"
1995,16,16,20,524,"1,742","3,405","2,814","2,750","4,329","2,009",364,"1,413","19,402"
1994,15,20,17,183,"1,062","1,851","2,261","3,369","2,682","1,275",396,744,"13,875"
1993,3,3,5,124,872,"1,496","2,043","2,830","4,025","1,385",311,719,"13,816"
1992,1,8,130,347,"1,246","2,142","1,883","2,115","4,113","1,953",364,180,"14,482"
1991,2,4,6,107,"1,231","2,074","2,616","3,176","2,588","1,398","1,287",881,"15,370"
1990,2,1,12,421,"1,082","1,439","2,675","2,348","1,634","1,127",377,451,"11,569"
1989,45,31,57,412,"1,197","1,709","2,524","1,998","1,516","1,777",490,331,"12,087"
1988,11,12,5,301,800,"2,220","2,624","3,038","1,290","1,310",474,414,"12,499"
1987,0,10,127,108,134,"2,521","2,298","2,818","1,282","1,074",371,381,"11,124"
1986,0,0,0,43,329,"1,246","1,231","1,371",561,162,0,0,"4,943"
1985,0,0,12,42,252,"1,472","1,664","1,196",624,57,16,0,"5,335"
1984,20,67,44,78,289,"1,210",995,"1,539",675,447,0,6,"5,370"
1983,37,24,125,134,274,"1,579","1,431","1,934","1,072",226,40,12,"6,888"
1982,0,0,0,84,303,782,"1,171","3,133",537,"2,994",692,842,"10,538"
