Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,36771.0625,35509.6875,57411.5625,120322.1875,114627.1875,116844.6875,119928.25,115672.5625,108262.625,116620.125,64527.4375,45938.125,
2015,"26,071","12,826","35,230","119,078","99,873","103,075","117,712","119,052","94,710","112,950","63,310","60,443","964,330"
2014,"44,869","24,849","48,324","115,009","120,625","109,810","130,329","126,175","111,862","106,814","65,108","52,775","1,056,549"
2013,"44,871","22,123","43,760","112,456","116,922","121,330","104,270","110,331","90,244","62,653","65,674","53,260","947,894"
2012,"43,674","47,202","54,458","103,802","106,818","101,357","113,202","115,327","100,409","98,642","64,181","52,135","1,001,207"
2011,"40,074","29,259","73,453","102,424","110,874","109,957","108,257","86,360","118,080","105,711","60,101","58,283","1,002,833"
2010,"35,496","25,753","71,172","111,604","109,102","113,607","102,195","112,787","123,722","141,982","83,019","43,309","1,073,748"
2009,"34,733","25,200","53,927","128,418","110,584","106,912","128,789","116,102","146,828","116,479","77,196","50,856","1,096,024"
2008,"35,334","19,683","59,610","126,608","135,522","115,891","124,190","114,288","101,278","144,647","62,476","28,051","1,067,578"
2007,"48,426","30,978","62,061","126,750","134,648","125,610","130,316","114,551","97,119","123,642","56,858","56,295","1,107,254"
2006,"28,104","39,045","55,835","121,035","98,686","118,500","121,909","120,343","107,986","147,315","69,268","56,015","1,084,041"
2005,"21,319","27,730","44,027","119,520","130,911","130,297","114,165","117,020","105,596","114,775","76,267","25,406","1,027,033"
2004,"28,156","52,461","61,710","117,429","105,531","112,088","126,074","120,013","110,623","131,290","64,762","42,012","1,072,149"
2003,"42,829","52,699","73,574","120,617","132,547","132,221","149,469","125,593","110,293","126,628","64,942","44,871","1,176,283"
2002,"36,522","55,388","69,795","167,224","123,041","131,201","133,510","131,702","103,724","115,675","66,552","44,983","1,179,317"
2001,"43,980","62,868","56,815","123,304","101,692","119,210","123,498","120,141","106,998","114,182","58,085","42,206","1,072,979"
2000,"30,627","24,251","43,944","127,320","111,669","118,558","114,386","113,272","114,285","110,316","48,959","46,608","1,004,195"
1999,"29,323","28,666","46,120","101,635","84,863","102,966","94,293","106,756","83,155","105,171","48,991","37,945","869,884"
1998,"27,147","21,083","75,283","117,558","105,416","94,380","115,596","114,082","117,575","90,620","51,526","34,987","965,253"
1997,"28,467","18,871","80,638","67,324","74,887","167,954","112,102","87,100","72,273","72,906","27,162","19,218","828,902"
1996,"25,967","17,924","62,281","124,039","120,793","109,485","160,016","117,999","89,515","79,087","30,373","18,459","955,938"
1995,"36,930","17,141","51,143","145,936","123,203","162,275","162,503","151,166","108,190","81,214","25,993","12,938","1,078,632"
1994,"14,083","17,962","31,670","99,386","126,314","129,581","128,302","151,036","148,722","154,910","27,006","33,189","1,062,161"
1993,"28,018","12,361","24,681","93,867","87,781","111,024","142,810","135,864","90,809","135,305","62,648","28,462","953,630"
1992,"30,166","31,912","41,374","103,701","105,241","128,374","156,467","152,583","129,569","139,344","46,648","26,585","1,091,964"
1991,"21,927","24,730","29,777","70,019","77,739","80,936","95,947","92,359","74,951","122,037","50,773","28,551","769,746"
1990,"29,511","22,961","53,300","85,131","93,241","100,172","116,393","99,079","90,164","88,249","47,614","31,341","857,156"
1989,"35,458","29,153","49,119","88,919","100,417","112,119","140,253","113,545","79,086","104,215","42,514","21,797","916,595"
1988,"27,000","26,858","44,248","94,910","116,202","124,974","138,985","135,199","115,485","108,028","44,799","25,302","1,001,990"
1987,"17,999","19,969","34,500","87,796","112,778","105,512","137,919","124,709","92,909","138,643","46,273","26,523","945,530"
1986,"36,291","37,259","43,698","95,435","120,865","124,250","131,706","218,083","162,096","134,005","67,144","37,722","1,208,554"
1985,"25,441","29,170","51,718","86,098","88,321","96,220","105,066","106,015","80,928","140,693","43,722","42,383","895,775"
1984,"31,170","36,295","38,168","92,702","84,341","128,974","131,059","125,519","104,019","114,072","43,803","30,718","960,840"
1983,"26,376","26,354","59,647","108,717","118,258","125,023","148,736","124,904","79,576","118,373","49,422","29,641","1,015,027"
1982,"28,301","25,706","52,477","116,745","145,741","132,514","112,885","119,355","93,681","125,219","56,818","28,455","1,037,897"
1981,"30,632","35,397","58,812","124,644","143,206","139,105","143,726","136,241","75,265","93,532","46,102","20,577","1,047,239"
1980,"38,539","36,272","56,836","117,545","134,198","130,250","130,658","125,868","75,210","90,352","44,317","25,002","1,005,047"
1979,"23,565","26,755","54,753","102,299","115,100","121,496","132,080","109,334","82,453","106,539","47,813","34,767","956,954"
