Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,3218.625,9222.75,5544.25,6238,6621.5625,6296.5625,5978.8125,5312.25,5584.125,5869.6875,5219.375,3223.125,
2016,"4,831",,,,,,,,,,,,"4,831"
2015,"3,901","12,782","7,928","8,004","7,076","7,543","7,899","6,460","7,546","6,024","10,319","4,462","89,944"
2014,"3,610","14,934","5,210","8,588","7,182","9,112","6,725","5,915","6,578","8,199","8,200","3,521","87,774"
2013,"4,167","6,555","6,406","4,862","7,979","7,447","7,045","6,654","6,088","3,277","7,124","4,726","72,330"
2012,"3,176","13,285","6,910","6,484","5,177","7,087","6,097","6,390","6,789","8,198","6,902","2,850","79,345"
2011,"3,375","10,436","5,703","4,685","5,201","4,495","4,126","4,033","4,510","3,178","4,967","3,409","58,118"
2010,"2,886","6,858","3,888","3,834","4,242","3,799","5,470","4,315","4,291","4,569","4,569","2,605","51,326"
2009,"3,450","11,076","6,251","8,017","8,619","4,293","6,368","4,272","4,049","6,850","3,413","2,206","68,864"
2008,"2,094","5,692","2,820","3,485","3,599","2,628","3,310","5,527","2,950","5,273","4,063","3,379","44,820"
2007,"3,658","9,638","4,464","5,995","6,242","4,783","3,551","3,348","4,339","4,529","2,415","2,077","55,039"
2006,"2,807","5,015","2,575","3,625","4,719","3,224","4,268","3,889","3,485","4,309","3,585","2,877","44,378"
2005,"2,548","4,819","3,749","4,048","5,598","4,155","4,358","4,275","4,288","4,817","3,365","2,386","48,406"
2004,"2,045","9,065","4,645","5,068","5,255","7,142","5,338","4,888","6,076","5,452","3,631","2,071","60,676"
2003,"2,250","6,960","8,317","6,787","6,537","6,175","7,142","5,375","4,083","6,099","5,226","2,321","67,272"
2002,"4,563","9,485","8,813","9,180","7,807","9,826","7,050","5,706","7,237","6,593","5,307","5,215","86,782"
2001,"4,822","13,712","5,146","7,099","9,349","8,703","7,839","6,625","8,270","7,458","5,268","4,029","88,320"
2000,"2,146","7,252","5,883","10,047","11,363","10,333","9,075","7,324","8,767","9,090","5,156","3,436","89,872"
1999,"5,448","5,147","6,197","8,870","9,725","11,339","9,667","6,574","3,561","6,598","6,092","2,356","81,574"
1998,"2,444","5,055","3,667","4,156","5,499","4,554","4,549","3,865","5,054","5,126","4,852","3,389","52,210"
1997,"2,757","4,684","3,854","4,821","5,076","4,005","3,999","4,290","4,567","3,935","2,938","2,213","47,139"
1996,"1,796","4,143","3,371","4,559","5,197","7,176","8,342","5,734","2,851","9,356","3,796","2,195","58,516"
1995,"2,449","8,143","3,509","5,226","6,542","8,780","7,620","3,679","4,833","3,071","2,422","1,432","57,706"
1994,"2,468","8,698","3,484","11,929","6,334","5,253","8,690","6,430","7,025","3,756","3,819","2,339","70,225"
1993,"4,482","7,071","3,242","6,201","6,183","5,782","4,804","5,633","4,443","3,792","4,106","2,476","58,215"
1992,"2,612","5,241","5,530","5,234","6,198","6,508","6,172","10,573","4,842","4,413","4,816","2,819","64,958"
1991,"2,845","5,283","7,088","6,818","5,005","5,186","9,432","8,895","6,919","4,777","3,900","2,363","68,511"
1990,"1,477","5,434","3,314","5,477","4,873","5,720","6,007","5,220","5,158","4,062","3,264","1,634","51,640"
1989,"1,162","2,160","2,844","3,701","4,770","6,757","4,718","7,087","4,480","4,443","3,021","1,117","46,260"
1988,"2,244","3,575","2,911","6,375","4,527","5,604","6,011","3,359","4,233","4,744","3,811","1,626","49,020"
1987,"3,148","1,990","3,385","3,515","3,532","5,316","6,104","3,717","3,432","3,241","1,786","1,860","41,026"
1986,"1,493","2,805","3,175","3,394","4,166","4,881","5,490","6,007","4,633","4,191","3,449","2,137","45,821"
1985,"1,001","2,096","2,541","4,422","4,325","5,293","6,165","5,755","3,795","4,116","2,841","1,558","43,908"
1984,913,"1,333","1,344","1,911","4,831","4,992","4,990","3,745","3,564","1,981","1,483","1,628","32,715"
1983,"1,406","2,484","1,508","3,566","5,247","4,454","5,040","4,088","3,964","3,938","2,701","1,136","39,532"
1982,"1,080","2,472","2,571","5,441","5,839","5,325","5,637","7,241","5,113","4,868","2,946","1,659","50,192"
1981,963,"3,148","2,799","6,017","6,048","5,629","4,143","4,158","4,162","3,611","2,867","1,514","45,059"
1980,873,"2,174","1,780","4,696","4,702","4,587","5,374","5,206","4,298","3,912","3,087","1,104","41,793"
1979,"1,561","1,369","2,448","5,192","5,544","4,276","5,754","5,180","4,456","3,765","2,862","1,865","44,272"
