Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,19477.375,20890,41048.5,50482.4375,158751.625,384796.5625,571067.5625,455169.625,251924.0625,85430.1875,29784,22744.1875,
2016,"22,307",,,,,,,,,,,,"22,307"
2015,"22,725","25,343","57,898","66,378","183,101","444,561","624,736","526,111","304,704","116,939","36,194","25,607","2,434,297"
2014,"18,919","19,947","41,884","51,923","168,661","393,156","583,622","462,364","249,687","100,216","29,343","25,086","2,144,808"
2013,"18,721","21,258","45,612","44,431","168,619","411,023","584,665","463,548","290,369","61,295","32,238","21,219","2,162,998"
2012,"20,506","22,928","53,361","59,103","180,837","389,583","577,922","447,044","285,071","92,485","31,928","24,679","2,185,447"
2011,"16,070","18,011","37,430","51,022","151,639","365,017","566,526","441,359","281,654","99,606","29,663","23,725","2,081,722"
2010,"18,081","19,063","43,456","53,623","177,705","423,248","632,906","520,356","291,711","101,562","29,762","19,764","2,331,237"
2009,"18,354","18,471","33,223","40,173","174,541","437,859","628,245","464,516","312,550","80,716","35,068","16,476","2,260,192"
2008,"17,579","19,615","35,048","42,361","138,202","332,613","487,698","404,866","203,112","63,950","23,706","20,578","1,789,328"
2007,"16,466","15,329","39,155","54,125","148,518","337,906","487,983","412,676","217,553","78,733","28,313","19,361","1,856,118"
2006,"20,731","21,185","37,824","52,677","157,873","363,180","530,200","446,748","227,486","82,400","28,797","20,670","1,989,771"
2005,"17,463","21,989","39,124","49,175","143,797","370,699","573,412","485,721","209,131","77,896","29,236","20,218","2,037,861"
2004,"23,766","25,144","42,134","53,712","156,691","368,560","565,597","424,556","235,202","85,405","31,266","25,787","2,037,820"
2003,"23,212","24,943","42,448","55,045","158,907","428,278","609,163","477,715","247,747","93,546","28,658","28,232","2,217,894"
2002,"25,321","26,576","40,027","52,140","161,600","409,335","599,143","455,848","247,860","84,636","30,354","29,730","2,162,570"
2001,"18,044","16,072","32,630","41,373","132,916","334,773","538,171","425,205","223,067","78,076","35,221","28,571","1,904,119"
2000,"15,680","18,366","35,522","40,458","136,419","346,954","547,092","424,081","203,881","69,422","16,797","14,204","1,868,876"
1999,"12,013","18,835","32,840","40,227","135,169","364,854","555,604","448,387","244,267","75,913","26,392","17,788","1,972,289"
1998,"13,964","17,858","23,760","42,802","143,202","365,486","570,456","467,944","262,449","71,557","18,135","16,872","2,014,485"
1997,"11,747","18,781","37,272","32,973","121,541","316,054","480,022","437,214","194,997","65,095","19,753","16,565","1,752,014"
1996,"14,270","22,428","29,151","42,811","135,496","357,690","546,471","435,392","214,094","68,752","21,536","16,900","1,904,991"
1995,"13,195","19,904","30,031","39,008","119,598","278,838","495,431","400,251","187,877","68,142","22,138","13,116","1,687,529"
1994,"14,885","16,949","38,302","47,146","152,195","370,963","580,256","461,214","243,192","72,963","24,053","21,870","2,043,988"
1993,"13,955","14,334","29,296","41,833","134,107","355,051","557,172","459,042","209,836","74,801","21,904","18,722","1,930,053"
1992,"15,796","17,971","35,596","43,195","152,289","366,441","519,482","442,959","217,978","67,495","21,542","16,390","1,917,134"
1991,"11,544","14,991","35,446","38,155","125,352","379,289","637,381","460,026","226,161","71,574","22,744","21,859","2,044,522"
1990,"10,185","10,515","18,814","31,377","102,152","310,806","503,038","411,827","179,928","58,869","22,089","12,073","1,671,673"
1989,"14,524","8,876","21,912","30,471","110,295","304,218","513,443","413,927","145,221","47,859","20,274","8,966","1,639,986"
1988,"8,235","11,475","19,555","33,873","109,499","326,511","416,967","418,368","142,377","51,308","19,549","12,420","1,570,137"
1987,"12,972","12,625","20,718","38,385","106,917","279,542","424,603","406,737","133,368","54,538","28,736","11,573","1,530,714"
1986,"6,589","6,408","25,530","22,669","82,591","310,702","494,017","439,802","165,502","56,453","20,498","17,976","1,648,737"
1985,"9,091","10,939","25,302","44,861","103,511","337,614","564,523","415,937","179,026","37,780","8,946","3,263","1,740,793"
1984,"8,585","11,710","20,007","24,726","106,629","302,120","469,470","382,548","144,825","55,366","26,009","6,877","1,558,872"
1983,"9,534","13,961","15,852","32,742","106,494","330,881","443,168","381,823","158,241","48,243","16,221","5,399","1,562,559"
1982,"7,672","13,384","16,970","33,574","100,521","302,098","412,347","371,422","154,537","42,281","20,155","9,339","1,484,300"
1981,"11,480","11,506","26,048","37,299","86,457","330,233","426,232","426,544","172,281","51,130","15,948","9,833","1,604,991"
1980,"7,955","9,424","18,450","28,811","76,957","243,897","360,896","352,455","115,935","41,290","15,931","12,887","1,284,888"
1979,"6,803","9,677","23,066","23,122","74,425","254,063","332,002","320,967","134,889","41,646","12,224","12,541","1,245,425"
