Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,450081.3125,433916.75,473070.0625,485727.5,480336.9375,499322.125,538211.0625,483433.6875,478843.6875,502144.6875,457693.3125,430658.3125,
2016,"464,284",,,,,,,,,,,,"464,284"
2015,"470,262","414,844","484,650","509,178","486,175","516,654","542,031","492,061","476,818","518,523","459,006","415,610","5,785,812"
2014,"466,886","422,542","493,266","513,830","490,267","519,539","550,245","496,760","488,825","523,467","461,799","419,048","5,846,474"
2013,"443,307","422,579","349,273","512,248","535,303","563,565","587,695","533,555","534,955","546,421","505,759","478,080","6,012,740"
2012,"430,187","435,840","423,893","493,391","473,498","501,930","534,860","476,022","465,681","506,418","426,020","392,928","5,560,668"
2011,"479,027","458,335","492,723","515,662","500,391","502,554","568,114","482,520","470,050","489,568","403,625","402,774","5,765,343"
2010,"385,212","423,678","508,498","528,248","515,964","519,962","555,496","510,763","517,471","501,305","479,274","465,079","5,910,950"
2009,"481,273","450,714","477,008","508,905","490,961","526,978","544,750","490,269","498,369","524,966","480,463","459,707","5,934,363"
2008,"475,204","461,182","475,037","488,363","475,922","491,981","514,888","478,245","450,304","517,341","468,697","450,071","5,747,235"
2007,"486,268","447,771","498,575","505,335","403,119","491,857","524,859","474,109","503,868","512,747","479,940","449,218","5,777,666"
2006,"474,839","434,219","477,716","503,946","487,032","370,302","525,983","480,152","494,913","529,587","477,071","457,823","5,713,583"
2005,"428,051","407,490","541,775","468,209","467,215","479,246","500,442","466,270","458,832","377,935","445,641","441,176","5,482,282"
2004,"424,687","430,769","445,834","451,028","444,013","470,270","508,307","458,609","451,955","487,854","420,190","395,711","5,389,227"
2003,"442,989","401,744","476,081","499,371","467,168","528,333","526,504","446,900","436,135","478,340","448,321","404,098","5,555,984"
2002,"430,710","442,774","460,834","505,587","474,993","507,257","530,731","476,031","463,066","495,406","451,433","404,348","5,643,170"
2001,"438,429","435,503","475,742","268,799","485,915","504,759","577,879","485,572","464,567","516,144","462,205","436,837","5,552,351"
2000,"443,970","452,684","488,216","499,540","487,455","493,967","518,593","487,101","485,690","508,293","453,649","418,025","5,737,183"
1999,"446,534","433,819","470,419","606,231","580,675","630,186","617,346","519,634","516,760","617,577","521,828","431,952","6,392,961"
1998,"458,349","431,183","467,460","522,766","495,085","527,694","557,394","475,968","479,875","525,454","468,012","400,854","5,810,094"
1997,"469,462","419,169","601,276","499,019","561,745","499,900","568,455","501,200","491,159","519,406","449,924","412,263","5,992,978"
1996,"460,701","457,449","499,342","543,331","505,040","542,799","524,131","511,931","541,407","547,975","503,949","450,555","6,088,610"
1995,"451,087","398,380","492,095","518,024","491,012","518,333","503,147","485,873","520,584","534,817","484,115","451,594","5,849,061"
1994,"396,739","383,668","479,301","458,513","355,593","503,816","495,323","480,401","505,501","514,880","477,912","236,154","5,287,801"
1993,"444,808","387,356","473,827","510,368","489,912","515,996","507,607","487,249","510,076","516,500","476,305","432,876","5,752,880"
1992,"448,601","397,069","483,700","511,396","488,228","538,566","501,100","470,766","499,816","549,802","467,956","419,191","5,776,191"
1991,"440,355","372,102","461,634","502,237","468,253","597,568","528,961","492,463","505,066","537,477","488,252","438,329","5,832,697"
1990,"437,233","380,787","488,352","492,115","452,844","486,197","478,780","463,560","479,423","490,858","458,280","396,824","5,505,253"
1989,"834,673","784,936","950,723","945,971","918,855","936,806","959,449","946,837","878,585","858,960","906,519","915,565","10,837,879"
1988,"743,689","820,369","940,639","1,198,316","1,017,535","1,036,179","1,108,681","1,156,397","939,409","906,099","892,808","925,461","11,685,582"
1987,"777,661","771,375","760,757","795,208","801,709","840,228","920,863","869,466","817,792","914,135","891,444","780,976","9,941,614"
1986,"1,020,379","986,027","1,044,545","1,189,112","1,222,217","1,399,054","1,261,199","1,188,355","1,254,803","1,246,063","1,283,635","1,268,619","14,364,008"
1985,"956,451","860,557","1,041,113","1,114,799","1,154,782","1,184,273","1,133,518","1,166,127","1,101,823","1,097,562","1,058,401","1,062,567","12,931,973"
1984,"949,662","1,014,174","1,180,553","1,120,235","1,265,507","1,203,280","1,185,418","1,142,721","1,156,299","1,069,974","1,040,757","1,149,681","13,478,261"
1983,"1,054,393","978,015","1,056,718","1,058,973","1,064,863","1,026,273","1,058,457","1,074,981","1,079,919","1,090,891","1,114,550","1,138,089","12,796,122"
1982,"784,831","828,322","951,804","992,651","960,251","917,136","931,535","907,159","899,429","1,000,153","989,650","888,219","11,051,140"
1981,"901,835","784,097","891,885","964,525","965,681","969,370","1,012,790","992,409","990,215","965,899","915,434","806,468","11,160,608"
1980,"785,810","738,836","838,242","875,478","919,311","910,509","882,307","890,832","882,331","978,983","924,846","974,081","10,601,566"
1979,"738,908","670,479","844,935","721,983","807,937","786,826","752,698","826,607","753,623","810,389","925,643","835,277","9,475,305"
