Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,1594.8125,1943.0625,3719.9375,6400.5,8259,8447.75,9605.75,9335,7891.9375,6790.0625,3311.25,2001.5,
2015,"1,960","1,446","4,238","6,425","9,174","8,090","7,983","7,359","8,856","6,436","4,733","4,670","71,370"
2014,"1,773","1,851","4,413","5,196","7,919","8,340","7,781","8,985","8,764","4,718","5,210",828,"65,778"
2013,661,"1,638","2,804","3,632","5,716","5,554","8,445","8,264","8,172","4,560","2,816","1,906","54,168"
2012,"2,758","2,588","3,734","5,226","8,211","8,166","7,236","7,178","5,323","4,086","1,681","2,032","58,219"
2011,"1,370","1,007","5,087","7,605","10,501","11,093","12,588","11,477","11,351","9,170","5,227",912,"87,388"
2010,"1,938","2,118","4,095","4,487","10,699","10,530","11,257","9,567","6,504","23,228","3,608","2,665","90,696"
2009,"1,948","1,971","4,350","6,488","9,518","8,963","11,180","10,920","9,537","6,836","3,863","2,327","77,901"
2008,"1,748","2,413","4,642","5,977","9,091","8,273","10,431","10,786","7,810","6,854","3,362","2,756","74,143"
2007,"1,553","1,994","4,436","6,663","8,090","8,074","9,303","8,594","9,071","6,591","3,113","1,963","69,445"
2006,"2,859","4,421","2,926","7,028","8,596","7,849","9,542","8,559","8,366","6,146","3,234","2,069","71,595"
2005,872,819,"3,212","4,295","7,218","6,886","8,300","8,140","6,455","4,823","2,383","1,285","54,688"
2004,"2,912","2,894","3,154","13,694","6,143","6,509","8,395","9,347","7,488","1,718","2,015",977,"65,246"
2003,917,"2,362","2,515","5,658","7,072","8,959","11,864","10,306","6,073","7,219","6,829","6,846","76,620"
2002,753,"1,091","3,841","7,752","6,165","11,519","8,822","6,129","5,581","5,149","1,695","1,785","60,282"
2001,"1,266",969,"3,649","5,825","6,568","7,579","8,043","8,869","6,600","5,505","2,057",974,"57,904"
2000,"1,021","1,460","2,916","6,158","8,103","7,835","9,920","9,898","7,994","6,036","3,487","1,305","66,133"
1999,"1,168","1,493","3,745","6,724","12,534","9,035","10,585","12,341","11,182","6,002","2,400","1,394","78,603"
1998,"3,458","1,076","5,793","7,827","8,428","9,126","11,720","13,984","17,401","6,310","1,817","3,726","90,666"
1997,"1,713","3,274","6,155","7,045","10,019","13,901","16,422","17,483","9,590","8,222","3,435","3,207","100,466"
1996,"2,762","3,306","10,749","9,628","10,358","10,674","11,480","14,207","10,473","8,262","4,435","3,989","100,323"
1995,"1,625","1,591","4,444","12,017","12,835","12,158","17,891","19,166","10,832","8,122","4,020","3,773","108,474"
1994,"1,819","1,451","6,087","7,698","10,216","13,246","17,927","18,654","15,617","6,607","2,657","3,255","105,234"
1993,"1,310","1,399","6,362","8,768","11,309","11,774","15,038","14,602","11,053","8,418","4,246","3,315","97,594"
1992,"1,428","1,152","3,363","8,634","12,646","10,228","15,709","17,332","15,669","14,126","4,382","1,526","106,195"
1991,739,"1,114","3,244","6,032","10,645","10,321","12,919","15,918","10,342","7,065","2,000","1,149","81,488"
1990,839,748,"3,088","6,986","9,606","11,027","13,193","14,270","8,654","4,886","2,550",961,"76,808"
1989,576,897,"4,187","5,747","10,676","12,086","14,014","14,014","10,861","6,527","2,644","1,386","83,615"
1988,540,801,"2,595","4,424","10,102","10,527","15,329","15,845","9,313","6,574","1,964",847,"78,861"
1987,601,749,"1,702","3,901","7,071","10,657","11,280","12,919","7,011","4,195","1,490",865,"62,441"
1986,728,509,"2,005","2,780","4,910","6,512","8,564","9,065","5,708","3,407","1,294","1,072","46,554"
1985,610,575,"1,500","3,500","5,900","6,150","9,000","8,000","5,500","3,990","1,100",877,"46,702"
1984,443,650,"1,450","3,255","5,152","5,500","5,891","6,500","4,750","3,200","1,500",625,"38,916"
1983,489,500,"1,660","2,981","5,872","8,357","7,850","8,283","5,300","3,650","1,250",600,"46,792"
1982,391,353,995,"2,920","4,264","5,126","7,270","8,524","4,291","2,753","1,510",530,"38,927"
1981,745,677,"1,236","2,776","3,681","5,822","7,517","7,499","5,133","2,741","1,018",729,"39,574"
1980,353,486,"1,323","2,816","4,666","6,501","7,094","7,490","4,033","2,765","1,163","1,196","39,886"
1979,236,436,"1,320","3,800","4,788","4,728","6,871","8,272","4,915","3,706","1,267","1,002","41,341"
