Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,22855.8125,19746.75,43416.375,69880.0625,105425.75,205441.4375,292544.5625,274876.5625,159679.4375,102632.8125,78231.625,43332.625,
2016,"18,097",,,,,,,,,,,,"18,097"
2015,"19,608","18,894","52,831","67,016","107,219","200,124","266,307","247,957","134,519","69,432","65,586","28,448","1,277,941"
2014,"20,460","24,506","49,314","70,142","99,481","192,192","291,028","250,696","126,565","81,329","62,286","28,438","1,296,437"
2013,"16,414","18,531","54,710","63,300","107,050","183,272","272,368","241,758","134,338","61,300","69,498","31,164","1,253,703"
2012,"17,109","18,749","53,164","74,248","108,986","223,362","333,381","260,186","151,182","76,592","62,292","27,530","1,406,781"
2011,"17,062","21,108","46,645","51,317","104,375","198,582","331,459","282,429","152,369","86,949","46,204","27,461","1,365,960"
2010,"22,854","21,730","37,760","60,695","121,622","210,844","318,642","274,777","151,902","97,458","66,931","31,314","1,416,529"
2009,"20,151","15,079","53,148","73,913","114,484","187,595","241,985","279,418","143,646","84,600","69,997","24,702","1,308,718"
2008,"21,056","24,385","47,873","72,441","121,271","176,575","233,167","260,541","103,755","76,820","67,839","37,784","1,243,507"
2007,"18,726","24,798","49,912","79,983","135,046","240,098","297,963","313,092","194,794","178,142","141,835","115,394","1,789,783"
2006,"23,991","25,491","45,664","69,143","104,745","226,684","294,163","268,015","157,875","133,435","96,610","45,564","1,491,380"
2005,"22,023","19,635","26,786","56,179","81,987","256,131","314,260","323,026","187,732","126,125","89,581","51,264","1,554,729"
2004,"11,775","11,101","34,998","49,533","72,892","225,306","280,302","248,880","197,263","80,958","51,735","53,003","1,317,746"
2003,"79,125","13,917","22,911","45,060","73,999","159,984","313,631","307,740","146,815","79,595","43,116","15,522","1,301,415"
2002,"17,296","17,767","39,067","83,178","96,392","185,870","272,098","244,050","191,466","171,052","152,694","136,349","1,607,279"
2001,"17,820","18,214","29,390","109,960","118,469","206,298","291,464","292,355","187,589","116,768","77,175","22,853","1,488,355"
2000,"20,223","22,043","50,489","91,973","118,794","214,146","328,495","303,105","193,061","121,570","88,327","16,532","1,568,758"
1999,"15,156","20,898","40,853","95,996","110,660","202,296","325,371","278,610","194,508","126,057","103,278","22,618","1,536,301"
1998,"24,114","19,352","48,014","90,135","138,024","199,673","305,198","300,985","184,236","128,540","90,733","18,985","1,547,989"
1997,"24,478","19,271","41,933","94,175","122,539","219,186","333,335","336,550","192,381","117,580","83,763","17,313","1,602,504"
1996,"22,822","16,844","37,896","72,870","114,262","199,083","313,908","308,604","165,641","101,124","98,426","24,462","1,475,942"
1995,"19,853","23,028","50,016","92,199","112,049","203,633","326,382","310,251","173,380","99,707","88,425","20,930","1,519,853"
1994,"19,273","22,695","35,081","86,987","121,901","219,656","302,468","313,693","161,891","92,117","67,942","27,609","1,471,313"
1993,"23,309","22,418","34,685","94,593","124,624","201,290","307,696","241,912","133,657","104,860","74,136","26,950","1,390,130"
1992,"39,906","44,628","106,607","102,281","154,068","306,793","281,962","251,957","160,542","116,020","62,640","22,258","1,649,662"
1991,"33,746","48,900","138,260","216,895","257,890","282,346","504,612","421,382","166,730","111,893","77,612","44,495","2,304,761"
1990,"31,349","33,797","50,402","104,494","116,055","334,700","309,519","337,268","167,905","126,581","95,939","31,588","1,739,597"
1989,"33,469","33,752","44,008","101,166","163,290","251,810","302,142","288,463","158,802","96,838","78,312","28,748","1,580,800"
1988,"20,212","32,386","44,323","83,496","129,518","253,801","304,263","309,037","150,006","112,704","76,776","30,180","1,546,702"
1987,"20,954","20,217","30,012","59,128","142,092","191,519","259,464","251,923","140,896","92,531","48,022","23,986","1,280,744"
1986,"17,831","20,058","26,374","65,872","148,742","245,259","278,217","271,570","123,293","77,968","51,018","24,816","1,351,018"
1985,"16,465","14,816","27,913","52,791","163,809","237,939","291,566","270,883","112,490","73,685","74,646","21,897","1,358,900"
1984,"15,377","18,547","22,124","43,652","208,572","259,242","321,376","290,403","103,548","64,802","57,429","24,196","1,429,268"
1983,"21,752","20,200","27,821","53,315","133,310","276,815","339,880","280,357","133,078","66,949","38,966","16,199","1,408,642"
1982,"14,072","14,436","26,384","76,952","188,735","246,537","329,335","257,418","136,266","87,501","48,967","22,565","1,449,168"
1981,"9,177","9,335","20,401","68,342","191,956","266,342","296,492","237,735","121,065","71,687","47,129","21,983","1,361,644"
1980,"10,735","6,981","37,078","62,484","101,458","303,108","326,422","312,474","131,052","83,406","41,475","12,038","1,428,711"
1979,"4,072","7,753","23,392","75,481","196,576","270,313","299,333","280,609","166,753","76,515","41,035","11,202","1,453,034"
