Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,3504.75,3678.833333,3667.75,2988.583333,2896.916667,1961.333333,1974.25,1822.083333,1860.25,3156.75,3405.307692,2645.076923,
2016,"4,944","6,294",,,,,,,,,,,"11,238"
2015,"4,269","4,004","3,699","3,016","3,856","2,462","3,437","3,497","3,710","4,857","6,094","4,965","47,866"
2014,"2,794","3,413","4,055","3,567","3,397","3,977","3,038","2,530","2,330","3,626","5,727","3,062","41,516"
2013,"4,811","3,181","3,186","2,319","2,063","1,750","2,398","2,211","2,384","3,621","2,268","2,330","32,522"
2012,"2,695","4,533","3,658","3,370","1,901","3,496","3,324","2,665","2,411","2,981","4,096","1,577","36,707"
2011,"2,300","3,062","1,717",894,"2,903","1,723","2,438",605,"1,663","2,638","2,638","2,171","24,752"
2010,"3,029","3,200","3,243","3,467","2,883",937,718,"1,350","1,272","3,218","1,212","2,336","26,865"
2009,"8,343","8,038","6,186","2,438","2,114","2,584","2,022","1,801","1,793","2,716","1,704","1,860","41,599"
2008,"2,894","3,259","3,027","4,026","2,843","1,256","1,334","1,490",524,"7,976","7,976","8,421","45,026"
2007,"1,863","2,238","3,429","2,020","1,839","1,617",786,"1,809","1,347","1,844","1,634","1,250","21,676"
2006,"2,592","2,565","4,806","7,209","8,024",821,918,783,864,"1,191","1,156","1,188","32,117"
2005,"1,920","2,552","4,104","1,625","1,558","1,296","1,536","1,523",815,"1,631","7,808","3,545","29,913"
2004,"4,547","4,101","2,903","1,912","1,382","1,617","1,742","1,601","3,210","1,582","1,928","1,650","28,175"
2003,,,,,,,,,,,28,31,59
