Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,7706,8478.75,13736.875,15963.5,17448.8125,19925.375,20308.1875,18213.6875,14403.125,15201.875,11420.8125,9356.5,
2016,"7,638",,,,,,,,,,,,"7,638"
2015,"12,056","3,442","11,479","13,852","21,137","22,774","23,467","20,262","19,241","16,979","14,391","13,575","192,655"
2014,"9,672","10,272","11,358","16,277","18,236","21,505","26,587","25,565","19,878","19,618","16,780","9,824","205,572"
2013,"7,042","11,253","15,955","20,695","19,733","18,680","24,613","17,735","19,451","9,307","13,159","12,463","190,086"
2012,"11,003","11,477","14,815","19,996","16,097","18,173","20,123","19,774","16,236","17,299","13,882","9,551","188,426"
2011,"7,369","13,966","14,126","18,972","24,232","26,278","19,789","19,694","12,261","18,290","14,453","23,831","213,261"
2010,"6,644","7,331","15,080","18,913","18,878","18,497","20,204","17,745","15,396","16,534","12,395","7,936","175,553"
2009,"7,399","8,002","13,571","13,601","17,096","19,367","17,924","16,651","12,592","16,964","10,160","9,395","162,722"
2008,"7,300","7,904","14,193","12,232","17,501","19,225","16,760","16,520","12,937","13,307","9,337","6,787","154,003"
2007,"6,929","7,923","14,432","13,326","17,610","18,697","18,057","16,215","12,070","12,875","9,696","6,789","154,619"
2006,"7,394","6,425","15,705","9,254","15,738","27,131","17,939","12,729","12,111","12,653","10,214","5,596","152,889"
2005,"6,517","7,782","11,069","14,855","16,571","16,581","18,834","16,126","11,382","11,654","8,182","3,902","143,455"
2004,"6,608","9,095","14,863","15,899","17,435","17,908","17,063","16,649","12,449","12,865","9,027","8,306","158,167"
2003,"6,234","6,102","12,459","16,722","14,349","19,460","24,074","17,964","8,359","17,394","10,391","9,039","162,547"
2002,"7,830","8,855","11,463","18,051","19,460","19,809","19,179","16,969","14,980","14,161","9,265","7,541","167,563"
2001,"7,557","8,214","14,735","15,788","7,332","16,783","16,774","20,132","14,963","18,581","12,321","8,819","161,999"
2000,"5,742","7,617","14,487","16,983","17,776","17,938","23,544","20,689","16,144","14,749","9,080","6,350","171,099"
1999,"4,849","6,823","9,897","14,290","17,359","17,497","18,476","14,551","12,469","13,835","11,774","6,856","148,676"
1998,"7,145","7,525","12,203","16,562","18,456","15,982","16,568","23,928","16,115","10,254","8,256","2,999","155,993"
1997,"7,411","8,088","13,797","18,215","19,619","20,397","19,606","22,059","14,864","15,281","9,637","8,351","177,325"
1996,"3,731","6,409","13,223","17,693","18,979","21,219","23,282","21,001","14,984","14,240","8,763","7,788","171,312"
1995,"10,892","8,897","16,751","23,007","20,372","28,866","25,244","21,690","16,854","17,044","7,533","3,842","200,992"
1994,"12,320","11,104","12,590","19,799","26,835","25,026","31,505","25,605","17,729","18,361","9,134","8,553","218,561"
1993,"12,413","15,232","23,135","33,770","27,362","37,161","27,038","24,867","13,681","19,842","11,927","8,189","254,617"
1992,"13,725","18,445","23,515","27,917","28,808","36,432","40,079","36,312","23,257","24,236","14,409","12,011","299,146"
1991,"12,046","15,284","22,168","24,405","27,644","33,126","35,763","36,781","26,866","26,251","18,496","15,044","293,874"
1990,"16,220","15,020","18,419","28,476","25,883","31,851","25,948","17,443","17,340","22,561","18,527","12,601","250,289"
1989,"17,416","21,561","40,236","43,258","33,822","45,535","45,014","36,275","25,485","28,554","20,140","13,439","370,735"
1988,"18,755","24,533","39,134","50,686","47,497","47,518","49,574","44,812","34,565","36,941","26,048","22,263","442,326"
1987,"19,129","24,550","61,574","40,877","54,606","49,789","59,309","35,752","35,964","33,539","25,232","19,959","460,280"
1986,"23,798","25,888","65,496","59,417","63,230","57,975","57,512","50,995","40,082","35,179","27,136","18,119","524,827"
1985,"22,325","32,621","57,828","59,724","66,440","53,787","55,450","50,565","39,131","36,451","30,066","21,685","526,073"
1984,"18,247","45,452","50,775","61,726","55,204","57,616","55,388","53,837","39,006","41,129","26,879","27,384","532,643"
1983,"23,450","38,829","70,294","56,616","71,303","60,496","59,321","51,660","38,629","36,332","27,300","18,978","553,208"
1982,"15,663","29,010","53,021","71,655","70,073","51,404","52,611","50,115","38,052","42,475","37,106","39,598","550,783"
1981,"22,601","35,886","69,558","71,135","68,374","51,794","54,019","49,648","37,649","30,904","26,224","18,211","536,003"
1980,"19,546","30,532","59,819","72,066","77,465","62,698","54,329","51,631","36,588","33,683","28,440","18,968","545,765"
1979,"24,617","20,110","81,037","85,754","73,937","61,486","59,171","49,105","36,322","36,043","27,575","22,126","577,283"
