Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,2298.875,2604.9375,4084.75,5116.5,6850.1875,5800.6875,5387.625,5072.625,6168,4498.25,3115.375,2420.75,
2016,17,,,,,,,,,,,,17
2015,"1,663","3,019","4,077","5,400","5,623","2,375","6,010","5,598","6,872","5,613","5,275","3,094","54,619"
2014,"2,868","3,118","4,429","5,367","7,217","5,807","5,612","5,150","6,744","4,362","3,226","2,584","56,484"
2013,"2,240","2,398","4,047","5,165","6,844","5,892","5,460","5,680","6,852",771,"3,284","2,485","51,118"
2012,"2,969","3,283","4,636","5,305","7,968","5,709","4,817","4,630","5,406","4,289","2,987","2,693","54,692"
2011,"2,813","2,843","4,147","4,962","7,083","6,711","5,596","5,254","5,836","5,823","3,139","3,153","57,360"
2010,"2,396","2,530","4,740","4,297","6,876","7,431","5,851","6,155","7,487","5,376","3,272","3,541","59,952"
2009,"2,254","2,314","3,753","4,302","5,899","5,479","4,817","4,074","6,161","4,666","3,093","2,621","49,433"
2008,"1,886","1,973","3,665","4,610","6,460","4,813","4,736","4,055","5,178","4,900","3,045","2,097","47,418"
2007,"1,929","2,206","4,056","4,971","6,442","4,887","4,132","4,214","5,209","3,798","2,793","1,937","46,574"
2006,"2,332","2,795","3,968","5,192","6,967","5,273","4,667","4,485","6,073","4,047","2,974","2,150","50,923"
2005,"2,330","2,789","4,188","4,993","6,783","7,137","5,734","5,427","5,526","3,902","3,385","2,510","54,704"
2004,"2,726","2,865","4,931","6,659","7,480","5,989","5,463","5,246","6,171","4,777","2,961","2,301","57,569"
2003,"2,711","2,836","3,702","4,898","8,167","5,868","5,581","5,162","7,106","5,029","3,161","2,120","56,341"
2002,"2,300","2,743","3,955","4,860","6,999","6,640","5,998","5,666","6,030","4,784","2,625","2,134","54,734"
2001,"1,666","1,806","3,573","4,901","6,170","6,158","5,497","5,031","6,373","4,930","2,802","1,876","50,783"
2000,"1,699","2,161","3,489","5,982","6,625","6,642","6,231","5,335","5,664","4,905","1,824","1,436","51,993"
1999,"1,790","2,153","5,358","4,816","8,839","9,244","8,680","6,955","7,324","5,007","2,729","1,840","64,735"
1998,"1,790","2,908","3,741","5,054","8,428","9,260","8,147","8,765","6,535","5,151","1,929","1,278","62,986"
1997,"3,786","3,901","5,344","5,609","8,091","7,882","7,028","7,616","7,752","5,359","2,466","1,790","66,624"
1996,"1,116","1,756","3,120","3,750","4,806","5,806","6,435","5,976","5,535","3,999","1,521",997,"44,817"
1995,"1,085","1,354","2,030","3,352","5,178","6,597","7,309","7,364","6,128","4,228","1,396",402,"46,423"
1994,"1,376","1,323","2,808","3,833","6,268","6,008","6,814","6,397","6,104","4,749","1,220",937,"47,837"
1993,"1,319","1,957","3,372","5,162","6,510","6,677","7,668","7,300","5,951","3,760","1,729","1,031","52,436"
1992,"1,328","2,324","2,830","5,309","6,220","6,614","7,667","7,221","6,784","6,415","2,220","1,267","56,199"
1991,886,"2,472","3,075","3,721","5,857","6,667","7,270","7,767","7,308","6,481","2,223","1,544","55,271"
1990,"1,405","1,732","3,100","4,269","5,644","5,930","6,223","6,087","5,460","4,172","1,604",816,"46,442"
1989,800,"1,557","3,729","3,042","4,342","5,556","6,091","5,183","4,911","3,922","1,927","1,227","42,287"
1988,914,"1,701","2,809","3,558","4,769","5,237","5,630","5,261","4,724","3,729","1,474",641,"40,447"
1987,"1,010","1,545","1,822","3,010","3,520","5,031","4,976","4,483","4,505","3,452","1,416",878,"35,648"
1986,"1,125","1,560","2,310","2,266","3,892","4,353","4,569","4,672","3,358","2,728","1,603","1,142","33,578"
1985,587,987,"1,627","2,718","3,465","4,211","4,423","4,221","3,477","2,621",941,805,"30,083"
1984,627,"1,032","1,823","2,600","2,672","3,901","4,320","4,254","3,624","2,204","1,081",497,"28,635"
1983,615,868,"1,218","2,129","3,412","4,532","4,316","3,855","3,529","2,361",937,465,"28,237"
1982,436,864,812,"2,284","3,605","4,551","5,576","4,352","3,577","2,542","1,045",511,"30,155"
1981,720,798,"1,164","2,681","3,539","3,964","4,725","4,409","3,981","2,505",923,599,"30,008"
1980,413,712,"1,093","2,147","3,004","3,985","4,043","4,342","2,641","1,815",917,558,"25,670"
1979,398,427,"1,051","2,471","3,112","3,525","3,656","3,452","3,420","2,047",912,475,"24,946"
