Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,528.125,634.25,1397.25,2797.6875,9877.625,11847.1875,17565.75,14365,8851.875,4931.4375,1535.6875,777.8125,
2016,408,608,,,,,,,,,,,"1,016"
2015,568,565,"2,105","3,315","9,172","11,940","14,328","12,392","8,888","5,375","1,482",618,"70,748"
2014,172,350,970,"2,620","8,562","9,480","13,662","11,718","8,620","4,515",880,602,"62,151"
2013,445,722,"1,178","1,840","8,575","12,500","15,395","11,848","7,875","1,692","1,782",908,"64,760"
2012,862,"1,455","2,228","4,580","10,155","12,150","14,082","14,110","9,378","4,358","1,852",820,"76,030"
2011,413,498,753,"2,123","8,525","9,368","12,358","11,358","8,918","4,748","1,443","1,403","61,908"
2010,485,545,"1,558","4,990","9,945","11,268","16,018","14,008","9,035","7,863","1,620",773,"78,108"
2009,913,883,"1,558","2,798","9,935","9,360","14,745","13,683","9,078","3,785","2,233",568,"69,539"
2008,825,678,"1,460","2,040","9,970","10,385","22,195","16,695","8,218","5,040","1,648",983,"80,137"
2007,835,810,"1,645","3,283","9,730","10,220","15,495","12,623","9,270","5,018","2,310","1,183","72,422"
2006,373,585,"1,038","2,610","10,063","9,923","15,873","11,893","6,743","4,853","1,835","1,078","66,867"
2005,278,535,"1,248","2,935","9,945","12,505","17,930","12,113","6,328","4,385",925,693,"69,820"
2004,555,418,"1,203","2,560","10,735","13,228","20,580","16,998","9,593","4,093","1,255",555,"81,773"
2003,470,380,"1,578","2,003","10,215","13,508","20,183","18,070","8,630","5,730",953,570,"82,290"
2002,633,743,"1,013","1,903","11,485","14,505","20,463","16,053","9,938","4,875","1,730",958,"84,299"
2001,288,263,768,"2,410","10,295","15,645","22,395","18,298","9,995","6,015","1,755",385,"88,512"
2000,335,718,"2,053","2,753","10,735","13,570","25,350","17,980","11,123","6,558",868,348,"92,391"
1999,400,800,"1,448","2,525","11,348","13,785","22,640","20,223","9,710","6,958","1,998",770,"92,605"
1998,753,705,"1,085","2,520","10,075","16,245","23,293","20,618","8,975","5,600","1,263",653,"91,785"
1997,150,390,"1,055","1,353","8,853","15,335","25,443","21,195","7,570","4,755",948,860,"87,907"
1996,310,663,"1,285","2,320","9,965","15,325","27,848","22,163","8,810","6,198",950,320,"96,157"
1995,530,613,"1,165","2,653","11,265","16,708","32,510","22,490","8,845","5,913",990,325,"104,007"
1994,435,545,"1,510","3,543","12,123","19,545","33,793","26,720","10,105","5,565","1,450","1,040","116,374"
1993,410,690,"1,580","3,353","10,453","16,195","29,483","26,408","10,150","6,115","1,585",870,"107,292"
1992,765,"1,085","2,618","3,415","14,118","19,363","33,040","28,980","11,150","7,015","1,393","1,133","124,075"
1991,525,875,"2,003","3,670","13,263","20,360","33,105","29,125","9,615","5,608",990,"1,280","120,419"
1990,598,965,"1,783","3,148","12,250","16,725","29,823","23,338","10,485","4,385","2,343",780,"106,623"
1989,548,543,"1,285","2,895","12,458","17,515","30,113","24,710","10,718","6,305","1,435",673,"109,198"
1988,465,618,"1,608","3,328","10,400","15,805","30,835","22,115","10,230","7,445","1,553",788,"105,190"
1987,"2,068","2,248","2,705","4,190","11,633","18,215","28,898","26,245","11,973","6,105","2,060",713,"117,053"
1986,748,"1,140","4,163","3,788","14,390","22,975","37,100","32,988","10,318","7,113","2,340","1,930","138,993"
1985,593,"1,348","2,880","5,475","13,953","23,265","33,533","29,738","9,560","7,958","1,573","1,328","131,204"
1984,868,797,"1,587","3,768","11,718","19,635","37,435","30,478","12,965","5,620","3,228",965,"129,064"
1983,830,"1,498","1,958","4,695","14,565","20,960","38,525","28,248","11,762","7,695","2,473",622,"133,831"
1982,292,"1,155","1,960","3,730","13,512","22,315","37,185","31,420","12,290","7,235","2,423","1,265","134,782"
1981,"1,288","1,635","4,300","5,908","14,297","23,460","34,950","38,533","13,795","6,803","3,143","1,060","149,172"
1980,"1,312","1,070","2,575","5,770","11,940","22,272","39,148","28,647","11,525","6,392","4,457","1,250","136,358"
1979,675,718,"1,200","4,053","11,678","21,375","45,240","32,538","13,820","8,280","2,588","1,830","143,995"
