Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,38.1875,49.25,184.75,148.625,36.4375,31.8125,52.9375,9.6875,11.1875,35,112.125,81.1875,
2016,30,,,,,,,,,,,,30
2015,1,24,2,12,8,0,10,3,2,16,18,24,120
2014,31,33,181,13,13,0,0,0,0,1,10,39,321
2013,37,59,282,78,49,30,30,36,7,40,44,11,703
2012,17,35,333,54,41,2,0,10,4,76,76,46,694
2011,36,8,268,433,9,4,0,4,3,59,44,5,873
2010,54,177,468,58,46,31,22,2,0,99,108,38,"1,103"
2009,80,111,343,56,28,36,33,2,33,64,136,25,947
2008,25,52,301,37,49,8,12,32,23,30,137,900,"1,606"
2007,12,15,75,65,11,23,568,6,25,60,765,35,"1,660"
2006,4,0,54,20,0,12,0,0,0,12,30,3,135
2005,21,34,85,43,34,7,4,0,3,2,80,6,319
2004,58,72,54,242,52,28,0,8,11,4,17,42,588
2003,25,6,82,215,40,106,63,0,8,44,46,21,656
2002,27,100,69,364,86,167,26,32,3,0,65,0,939
2001,0,55,231,260,68,45,79,20,46,25,159,98,"1,086"
2000,183,7,128,428,49,10,0,0,11,28,59,6,909
1999,78,124,322,60,2,1,0,0,7,0,77,7,678
1998,68,34,167,79,0,4,0,0,0,25,46,39,462
1997,93,32,191,64,30,2,0,6,2,4,61,4,489
1996,32,26,95,188,0,0,0,2,0,62,54,39,498
1995,27,76,254,58,15,0,6,20,0,0,37,0,493
1994,2,0,336,83,0,80,0,8,42,58,81,3,693
1993,45,7,237,72,7,52,2,6,0,6,36,0,470
1992,68,20,246,262,82,39,0,16,3,75,64,87,962
1991,68,44,216,113,40,11,0,8,3,54,44,27,628
1990,44,22,171,120,35,31,0,0,5,0,77,20,525
1989,87,62,169,148,17,9,2,26,24,11,56,51,662
1988,77,17,170,156,35,18,21,4,17,114,143,50,822
1987,94,31,320,92,39,18,11,4,0,28,94,12,743
1986,95,22,197,234,27,13,9,7,7,27,102,65,805
1985,99,16,200,170,31,12,0,2,19,34,60,59,702
