Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,135681.5,125067.875,144596.3125,181911.875,183245.375,217263,221611.25,234848.4375,175360.1875,197087.3125,156245.875,109867.4375,
2015,"147,983","126,350","176,135","175,723","211,473","297,004","273,682","304,748","242,943","192,050","159,500","136,181","2,443,772"
2014,"120,827","123,165","202,206","171,781","212,653","301,048","277,217","262,622","221,724","263,251","170,927","110,527","2,437,948"
2013,"141,929","123,080","168,760","144,613","175,110","170,886","192,292","201,852","216,278","151,038","162,063","121,094","1,968,995"
2012,"126,448","117,796","135,951","167,538","173,471","215,525","218,888","215,943","185,887","191,008","140,957","113,973","2,003,385"
2011,"135,200","121,735","137,429","189,823","185,635","216,215","217,458","216,629","148,797","220,816","142,494","118,259","2,050,490"
2010,"137,157","118,351","97,144","165,488","170,468","207,364","204,821","205,989","157,581","194,038","148,125","76,931","1,883,457"
2009,"138,150","135,568","150,029","195,183","187,575","210,706","188,292","240,581","170,107","194,069","150,352","115,888","2,076,500"
2008,"133,656","135,495","150,591","198,967","195,443","221,742","181,678","224,341","170,209","185,581","159,885","118,878","2,076,466"
2007,"148,848","130,994","144,271","189,851","187,135","212,914","206,620","210,057","162,788","185,499","155,280","127,109","2,061,366"
2006,"163,868","123,499","147,107","204,358","188,525","229,865","241,132","210,701","173,041","228,140","156,800","114,827","2,181,863"
2005,"135,087","133,180","140,104","191,160","182,496","219,208","239,857","224,860","161,210","224,654","154,731","125,541","2,132,088"
2004,"137,033","138,511","147,919","193,130","182,453","220,097","238,960","218,387","157,824","196,658","167,470","117,074","2,115,516"
2003,"133,579","125,337","141,926","179,856","145,168","228,291","231,282","233,366","164,934","174,594","162,092","116,306","2,036,731"
2002,"132,986","127,515","146,980","187,500","181,717","226,256","226,943","220,042","175,499","168,153","174,910","107,186","2,075,687"
2001,"129,290","119,253","142,613","185,580","196,379","215,652","240,992","312,596","169,386","206,357","167,717","99,998","2,185,813"
2000,"130,555","114,779","131,624","176,843","184,935","194,236","226,786","281,829","178,195","186,176","151,011","82,590","2,039,559"
1999,"126,291","112,828","128,887","168,919","182,763","186,203","212,562","277,780","192,303","183,365","135,120","91,698","1,998,719"
1998,"123,046","111,226","131,753","172,854","177,346","211,976","264,428","215,293","203,652","180,572","133,799","89,880","2,015,825"
1997,"126,984","108,555","125,945","165,113","172,137","206,266","262,257","208,560","239,803","176,144","124,487","84,834","2,001,085"
1996,"100,888","106,842","121,745","165,223","167,118","189,498","244,813","195,889","181,680","169,146","146,778","84,202","1,873,822"
1995,"118,163","109,550","126,350","174,703","308,588","202,521","236,968","216,764","206,984","161,268","111,752","75,530","2,049,141"
1994,"107,582","106,316","155,574","181,210","183,215","308,629","311,721","291,671","298,783","154,644","117,040","115,660","2,332,045"
1993,"107,264","101,015","115,132","159,255","188,004","179,165","323,896","218,939","284,896","179,903","139,148","149,929","2,146,546"
1992,"106,045","114,237","115,078","134,984","201,213","225,081","246,896","240,432","194,411","168,043","118,774","106,225","1,971,419"
1991,"114,927","104,195","120,438","145,787","217,133","233,435","309,347","285,852","257,108","136,308","122,373","108,867","2,155,770"
1990,"117,104","117,889","126,857","194,417","211,418","254,171","293,798","205,341","249,376","174,923","142,055","116,776","2,204,125"
1989,"75,791","68,064","79,784","159,090","192,679","254,187","422,328","214,982","205,355","161,022","123,645","92,724","2,049,651"
1988,"42,332","61,200","79,450","112,827","208,080","194,092","302,912","180,664","187,784","95,084","66,938","33,090","1,564,453"
1987,"42,462","50,683","85,598","118,369","172,498","176,939","252,725","263,393","219,090","135,046","121,584","86,278","1,724,665"
1986,"53,454","35,748","97,090","178,889","214,524","294,340","312,445","373,801","268,518","154,283","145,078","60,079","2,188,249"
1985,"30,400","37,599","63,325","102,317","174,792","265,851","345,105","286,011","215,261","223,517","75,578","71,783","1,891,539"
1984,"28,466","40,832","35,943","77,836","104,304","245,637","256,336","300,803","155,282","131,822","60,155","55,222","1,492,638"
1983,"52,012","30,647","75,142","102,544","289,140","354,131","485,174","333,317","424,313","100,640","67,505","46,226","2,360,791"
1982,"22,277","31,834","93,841","87,819","254,882","221,810","341,917","287,328","181,547","106,210","68,070","67,000","1,764,535"
1981,"25,857","84,565","39,572","55,573","73,928","132,166","93,367","133,759","68,928","87,879","73,287","48,429","917,310"
1980,"85,286","61,131","39,344","93,259","113,528","102,755","215,131","120,265","82,196","49,282","49,048","48,569","1,059,794"
1979,"36,527","18,902","81,030","43,026","114,354","108,381","209,981","187,915","168,449","63,117","66,452","58,459","1,156,593"
