Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,353.6,426.7,442.4,366.4,305.1,283.1,234.9,132.4,82.8,101.2,261.3,473.7,
2016,"2,369","2,262",,,,,,,,,,,"4,631"
2015,823,959,996,796,476,566,793,230,176,276,495,"1,522","8,108"
2014,396,523,586,379,308,430,670,113,277,220,475,815,"5,192"
2013,612,612,366,599,538,487,292,247,82,138,221,597,"4,791"
2012,579,588,396,554,431,473,479,353,136,121,528,579,"5,217"
2011,0,138,228,107,62,55,0,381,157,257,445,589,"2,419"
2010,109,95,0,0,0,0,0,0,0,0,0,0,204
2009,303,392,551,398,339,287,0,0,0,0,185,85,"2,540"
2008,285,396,509,267,472,0,0,0,0,0,22,233,"2,184"
2007,241,229,362,85,151,179,0,0,0,0,45,163,"1,455"
2006,188,335,430,479,274,354,115,0,0,0,197,154,"2,526"
