Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,120412.5625,121482.9375,234483.25,344671.3125,370711.4375,429092.9375,548306.9375,520913.5625,318572.9375,277305.5,217638.125,204149.6875,
2016,"144,330","148,610",,,,,,,,,,,"292,940"
2015,"135,389","112,500","244,725","377,152","456,962","494,904","608,261","587,099","373,881","355,219","256,916","276,012","4,279,020"
2014,"125,723","115,579","238,593","385,288","433,552","511,017","598,570","604,799","340,784","345,184","239,979","259,747","4,198,815"
2013,0,0,0,0,0,0,"432,579","486,923","302,179","174,664","233,637","253,562","1,883,544"
2012,"137,943","148,547","250,018","358,329","376,025","449,853","528,776","487,363","292,589",0,0,0,"3,029,443"
2011,"129,060","127,830","238,964","329,786","371,357","462,100","553,726","445,491","322,021","310,016","225,191","234,440","3,749,982"
2010,"148,239","120,947","237,930","356,050","385,181","446,500","517,713","497,498","344,571","326,661","254,086","197,912","3,833,288"
2009,"125,938","136,423","214,622","351,284","367,723","416,877","524,094","502,279","360,927","334,978","262,693","231,645","3,829,483"
2008,"128,085","128,434","255,410","282,455","346,555","433,409","479,406","478,705","297,856","306,413","215,896","202,620","3,555,244"
2007,"122,660","111,671","223,303","295,933","343,351","394,483","462,361","422,553","300,819","281,061","223,426","198,675","3,380,296"
2006,"123,779","115,266","220,111","319,185","315,105","369,182","453,795","386,550","255,077","258,674","222,065","224,796","3,263,585"
2005,"130,879","146,255","313,741","391,834","430,235","492,078","589,166","542,292","367,441","315,436","275,019","241,219","4,235,595"
2004,"96,423","121,232","222,013","339,237","348,360","402,917","469,364","475,178","318,790","334,405","253,391","236,743","3,618,053"
2003,"102,861","74,577","184,137","265,016","288,738","363,826","503,357","465,207","257,412","305,126","234,243","186,747","3,231,247"
2002,"82,384","107,810","216,834","310,344","315,868","366,213","497,148","486,621","290,162","306,738","235,819","192,619","3,408,560"
2001,"168,356","184,959","321,772","585,272","584,401","636,665","817,753","755,512","208,998",0,0,"54,310","4,317,998"
2000,"168,882","191,697","369,559","567,576","567,970","625,463","736,842","710,547","463,660","482,313","349,849","275,348","5,509,706"
1999,"146,834","169,968","333,020","515,399","549,229","599,923","725,292","704,931","430,290","471,481","397,298","326,350","5,370,015"
1998,"176,158","181,074","288,273","483,975","544,025","559,706","713,551","706,456","436,956","451,529","352,892","306,038","5,200,633"
1997,"133,705","159,296","299,648","424,605","511,562","548,044","640,869","647,463","391,633","424,182","287,671","269,710","4,738,388"
1996,"55,537","107,664","252,001","422,944","503,407","537,401","619,393","668,385","393,599","397,448","298,840","237,457","4,494,076"
1995,"132,137","114,372","250,684","440,193","455,540","494,781","637,641","697,113","389,674","377,829","184,313","70,448","4,244,725"
1994,"79,876","88,191","214,188","353,203","441,177","492,009","614,085","625,953","402,471","404,042","281,574","256,054","4,252,823"
1993,"142,473","103,235","167,996","378,443","463,562","482,939","603,582","617,593","351,613","359,790","249,791","190,986","4,112,003"
1992,"120,316","129,511","203,254","354,661","437,928","470,916","612,818","643,671","386,465","374,798","249,606","173,960","4,157,904"
1991,"122,425","119,296","232,157","359,925","515,555","538,664","599,012","595,967","403,090","381,218","262,124","213,584","4,343,017"
1990,"69,596","74,547","131,047","229,116","249,272","325,927","433,040","411,372","338,828","362,053","254,268","193,119","3,072,185"
1989,"70,352","65,590","159,135","197,806","268,647","338,749","457,258","439,134","228,233","200,468","142,574","87,851","2,655,797"
1988,"67,721","66,160","143,618","221,314","293,235","365,551","475,242","451,876","246,031","224,670","153,697","124,309","2,833,424"
1987,"72,289","77,877","155,035","264,850","373,358","403,320","485,036","489,705","257,973","237,704","159,005","116,534","3,092,686"
1986,0,0,0,0,0,0,"324,829","542,052","332,752","342,723","227,268","154,068","1,923,692"
1985,"7,207","11,240","26,352","40,081","56,019","49,273",0,0,0,0,0,0,"190,172"
1984,"23,232","27,144","40,959","72,202","93,378","77,831","93,058","83,844","46,978","35,190","25,078","18,286","637,180"
1983,"33,458","31,212","70,839","109,095","175,306","234,506","315,545","267,680","139,787","120,295","63,800","37,306","1,598,829"
1982,"28,056","34,554","61,975","128,886","202,067","231,116","329,485","331,588","162,334","145,166","77,142","51,928","1,784,297"
1981,"32,533","39,321","69,553","136,441","218,986","255,835","329,462","347,396","167,997","142,411","89,142","56,364","1,885,441"
1980,"38,705","34,452","67,232","111,906","205,837","232,842","324,455","337,993","158,345","131,948","79,279","48,072","1,771,066"
1979,"21,163","17,829","66,856","130,880","163,652","222,496","310,753","294,210","156,044","127,438","87,729","62,382","1,661,432"
