Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,316.9375,364.8125,926.375,1428.5,2877.0625,3660.75,2430.9375,1815.4375,2375.25,2360.8125,993.3125,362.875,
2016,524,944,,,,,,,,,,,"1,468"
2015,435,440,"1,189","1,643","2,204","10,657","2,901","2,428","2,990","3,185","1,029",457,"29,558"
2014,258,532,919,"1,206","2,427","2,011","2,171","1,946","2,813","2,307",874,312,"17,776"
2013,443,380,860,"1,284","2,545","2,735","2,253","1,768","2,033",828,739,260,"16,128"
2012,440,504,"1,215","1,459","2,578","2,549","2,301","1,835","2,436","2,119",969,513,"18,918"
2011,254,277,860,"1,574","2,661","2,604","2,288","1,623","2,192","2,268",805,487,"17,893"
2010,193,196,939,"1,551","3,236","3,273","3,008","2,141","2,721","2,933","1,432",424,"22,047"
2009,381,590,"1,097","1,329","3,754","3,693","3,431","2,420","2,888","2,323","1,522",285,"23,713"
2008,298,231,940,"1,485","3,399","2,923","2,685","2,148","2,284","2,388",976,318,"20,075"
2007,166,205,"1,108","1,622","3,335","3,747","3,232","2,024","3,204","3,042","1,157",158,"23,000"
2006,457,294,901,"1,616","3,230","9,180","2,730","1,834","2,645","2,753","1,175",445,"27,260"
2005,122,250,601,"1,472","2,811","2,367","2,270","1,447","2,189","2,707",987,392,"17,615"
2004,241,306,671,"1,225","2,450","2,160","2,080","1,407","1,874","1,928",623,316,"15,281"
2003,325,389,675,"1,077","3,850","2,391","1,658","1,364","1,763","2,332",629,309,"16,762"
2002,365,377,910,"1,084","2,307","2,543","1,819","1,509","2,090","1,754","1,169",458,"16,385"
2001,328,330,984,"1,654","2,615","2,756","1,767","1,604","2,048","2,536","1,084",443,"18,149"
2000,365,536,953,"1,575","2,631","2,983","2,301","1,549","1,834","2,370",723,229,"18,049"
1999,281,734,"1,069","1,331","3,135","3,428","2,446","2,221","2,099","2,894","1,746",402,"21,786"
1998,172,332,387,"1,587","3,045","2,640","2,988","2,230","2,035","2,192","1,041",345,"18,994"
