Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,66853.125,75696.875,247652.8125,390761.4375,304661.9375,265519.875,257172.1875,206753.75,135602.1875,161913.5,122216.4375,75023.25,
2016,"88,085",,,,,,,,,,,,"88,085"
2015,"70,261","58,037","274,123","483,573","417,621","380,928","353,589","296,064","209,088","232,171","190,272","136,715","3,102,442"
2014,"67,573","84,107","197,237","566,069","358,240","300,683","304,373","259,360","154,699","196,757","119,989","99,520","2,708,607"
2013,"106,603","84,715","336,587","480,629","346,901","272,203","294,763","220,245","167,051","84,459","130,304","85,003","2,609,463"
2012,"73,835","76,768","324,757","325,515","393,259","332,875","297,461","237,877","156,800","171,168","126,293","96,523","2,613,131"
2011,"43,861","53,899","183,488","301,771","271,499","207,253","212,992","192,224","131,296","157,632","117,376","72,405","1,945,696"
2010,"58,731","54,656","216,117","484,565","301,312","250,229","248,555","237,632","131,616","170,635","104,736","47,072","2,305,856"
2009,"94,997","88,907","241,835","384,331","305,856","263,701","249,856","242,283","138,251","175,499","107,712","44,640","2,337,868"
2008,"65,269","89,728","326,677","396,949","267,179","290,965","254,155","191,189","121,333","190,709","102,187","66,923","2,363,263"
2007,"63,605","61,344","231,872","354,443","336,427","280,576","275,435","181,397","139,349","181,963","137,963","82,880","2,327,254"
2006,"57,035","72,459","245,995","368,363","330,592","247,723","231,499","170,763","137,611","147,381","127,413","82,421","2,219,255"
2005,"95,808","87,093","225,024","392,864","321,163","292,661","258,763","164,832","125,643","155,403","120,704","72,768","2,312,726"
2004,"53,717","100,501","250,485","368,181","222,965","210,485","238,443","188,533","124,181","222,432","139,125","81,323","2,200,371"
2003,"50,293","45,056","156,811","275,040","196,576","166,325","203,573","171,776","76,779","132,427","112,320","55,317","1,642,293"
2002,"51,413","81,045","222,123","332,779","224,821","244,661","234,923","203,488","151,637","128,693","122,901","68,448","2,066,932"
2001,"66,195","89,665","247,926","443,893","314,281","278,547","262,668","190,304","94,849","94,135","85,108","58,185","2,225,756"
2000,"50,454","83,170","281,388","293,218","265,899","228,503","193,707","160,093","109,452","149,152","111,060","50,229","1,976,325"
1999,"61,580","82,912","211,137","427,393","306,974","241,886","216,331","181,760","132,982","161,611","125,577","68,694","2,218,837"
1998,"63,255","63,117","259,223","281,600","321,909","225,429","233,144","226,369","103,966","145,420","121,546","94,571","2,139,549"
1997,"32,319","32,234","107,894","100,841","113,847","101,887","101,090","79,305","57,749","82,014","74,444","69,784","953,408"
1996,"7,497","27,603","61,622","121,471","86,027","78,080","96,148","82,262","51,635","70,546","34,304","31,667","748,862"
1995,"15,705","17,813","60,770","88,736","76,877","71,583","76,161","65,332","41,717","38,710","25,996","8,651","588,051"
1994,"10,092","16,704","49,044","83,928","71,436","55,147","64,446","55,723","33,938","46,058","26,296","18,624","531,436"
1993,"32,737","25,526","56,182","124,925","98,304","83,582","76,715","74,398","45,130","50,848","26,933","18,815","714,095"
1992,"18,859","25,088","51,072","104,704","100,416","66,602","344,079","68,032","48,338","50,121","40,650","21,891","939,852"
1991,"18,112","23,296","76,416","86,848","83,326","66,304","74,624","59,870","48,933","55,352","40,888","21,475","655,444"
1990,"31,235","41,536","98,304","100,992","121,408","95,986","80,256","81,280","50,241","41,152","33,536","18,176","794,102"
1989,"44,116","42,752","102,356","108,175","111,808","108,160","113,216","92,224","63,296","67,180","47,296","23,232","923,811"
1988,"30,865","33,994","115,819","306,415","121,181","251,007","118,789","103,276","75,730","80,704","65,096","26,655","1,329,531"
1987,"33,600","47,588","128,239","321,434","114,792","262,020","223,636","235,285","160,268","152,494","88,532","50,734","1,818,622"
1986,"49,014","66,189","258,668","644,932","539,864","557,391","456,918","289,609","147,626","146,203","79,434","37,726","3,273,574"
1985,"51,759","61,983","133,441","326,303","287,087","259,315","403,617","207,633","227,084","168,410","76,986","57,859","2,261,477"
1984,"28,772","44,214","128,589","279,696","201,286","270,990","230,583","204,483","148,897","171,763","93,721","70,734","1,873,728"
1983,"34,260","38,874","103,428","203,465","152,475","192,704","234,365","230,788","93,941","101,307","67,204","32,720","1,485,531"
1982,"26,006","39,038","95,410","191,556","144,864","146,069","178,941","163,211","98,866","90,137","61,092","35,608","1,270,798"
1981,"38,147","51,268","72,590","340,178","296,961","245,329","227,969","229,022","100,255","90,833","60,811","34,904","1,788,267"
1980,"31,643","31,668","65,791","256,552","143,693","156,187","167,967","158,866","61,254","64,218","46,084","33,043","1,216,966"
1979,"23,526","15,342","176,003","363,640","349,975","365,159","330,505","320,152","159,316","118,615","60,995","44,867","2,328,095"
