Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,139.625,134.0625,177.25,360.9375,9350.25,23179.9375,33052,25515.375,13928.5625,6787.6875,186.75,147.8125,
2015,100,125,135,160,"10,131","22,840","27,412","23,082","14,043","5,721",150,124,"104,023"
2014,155,155,124,180,"9,888","21,916","26,226","23,478","13,035",248,150,124,"95,679"
2013,155,140,155,180,"5,054","23,643","26,300","24,694","10,426",248,150,124,"91,269"
2012,155,140,155,180,"10,550","25,704","31,652","28,002","15,036","6,916",150,124,"118,764"
2011,155,140,155,180,"3,006","24,396","34,415","15,399","13,103","5,742",150,124,"96,965"
2010,150,10,110,170,"9,840","22,322","37,554","24,906","16,463","8,442",150,124,"120,241"
2009,150,50,110,170,"13,506","26,326","40,696","32,979","19,061","5,243",130,150,"138,571"
2008,150,50,110,170,"11,103","26,256","38,880","30,838","10,506","5,339",130,150,"123,682"
2007,100,50,110,170,"11,642","24,318","32,549","26,168","14,472","4,878",130,150,"114,737"
2006,100,50,110,170,"8,531","23,007","33,640","25,848","15,436","3,668",130,150,"110,840"
2005,100,50,110,150,"8,922","19,042","32,286","25,254","14,316","4,007",130,150,"104,517"
2004,100,50,110,153,"8,505","22,073","33,449","24,671","13,275","4,514",120,150,"107,170"
2003,100,95,110,153,"7,659","20,123","30,110","25,016","12,752","9,642",120,150,"106,030"
2002,36,420,70,100,"10,347","24,126","31,323","26,875","11,466","9,771",102,100,"114,736"
2001,208,173,242,591,"12,002","24,939","34,166","26,489","15,392","11,632",368,68,"126,270"
2000,341,447,851,"2,225","10,464","22,319","31,528","19,522","13,419","13,520",243,236,"115,115"
1999,79,125,204,833,"8,585","20,369","34,058","28,107","14,699","14,793",635,291,"122,778"
1998,114,110,120,123,"8,531","17,930","31,668","28,841","13,791","16,965",537,344,"119,074"
1997,129,94,174,205,"8,189","21,219","32,801","28,274","10,905","10,339",361,87,"112,777"
1996,62,195,225,210,"7,343","21,921","29,528","27,078","9,692",475,427,94,"97,250"
1995,87,212,187,193,"4,616","18,297","26,207","25,350","3,671",461,243,117,"79,641"
1994,52,56,78,127,"3,300","20,538","26,432","21,444","4,139",987,250,125,"77,528"
1993,28,0,0,45,"5,013","19,452","30,683","29,681","5,750",47,41,63,"90,803"
1992,19,52,24,504,"12,938","23,490","34,020","29,912","14,655","4,734",17,9,"120,374"
1991,147,38,0,0,"6,850","21,950","30,684","28,391","12,263","4,401",15,6,"104,745"
1990,231,231,899,"1,478","7,675","24,966","32,436","28,612","16,033","1,092",429,165,"114,247"
1989,173,170,858,"1,487","10,737","24,687","36,483","28,231","16,029","7,259",546,216,"126,876"
1988,238,454,796,"1,448","10,729","25,009","38,498","34,382","15,445","10,999",537,159,"138,694"
1987,339,427,709,"1,771","11,251","27,272","36,404","34,977","16,146","7,017",734,232,"137,279"
1986,179,321,"1,171",992,"8,384","24,739","37,144","34,788","11,639","4,153",618,282,"124,410"
1985,96,57,230,"1,475","9,935","26,677","34,758","35,666","14,478","4,510",557,183,"128,622"
1984,56,51,158,532,"6,673","21,233","34,842","32,853","16,913","6,036",272,69,"119,688"
1983,126,91,181,355,"3,809","9,539","35,266","29,391","14,387","4,770",509,51,"98,475"
1982,106,248,480,720,"8,154","23,813","30,002","27,484","9,924","3,188",421,90,"104,630"
1981,256,222,336,"1,844","8,462","24,027","30,673","27,003","10,855",304,391,124,"104,497"
1980,225,159,603,"1,801","8,249","23,218","30,192","27,031","10,353","4,550",450,210,"107,041"
1979,163,279,594,"1,584","12,415","26,171","35,297","28,878","13,256","5,647",460,336,"125,080"
