Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Textbox5
Average,11445.3125,6953.9375,19301.8125,33594.8125,42939.4375,48591.5625,50002.4375,48467,43328.5,43597.8125,23930.5,19291.6875,
2016,"32,233","14,328",,,,,,,,,,,"46,561"
2015,"9,561","5,925","21,771","30,382","41,395","50,525","58,194","55,512","53,506","47,068","35,533","22,589","431,961"
2014,"7,148","4,444","17,904","30,360","42,529","44,857","50,233","47,937","49,132","48,476","32,931","22,496","398,447"
2013,"12,200","6,810","21,885","33,106","41,160","51,118","50,604","53,876","42,879","15,422","24,072","19,437","372,569"
2012,"14,342","8,058","19,410","40,684","50,626","65,047","57,506","51,830","38,770","35,444","23,383","18,007","423,107"
2011,"13,119","4,720","13,109","34,202","42,193","43,710","55,111","45,911","37,114","33,032","23,213","22,246","367,680"
2010,"16,149","6,826","19,612","45,558","45,779","45,597","40,418","54,689","38,031","37,684","24,570","15,612","390,525"
2009,"14,869","10,955","16,860","38,880","51,138","43,165","43,509","46,323","36,945","32,818","22,311","22,687","380,460"
2008,"14,617","8,949","22,069","45,291","39,057","37,830","36,819","45,234","31,105","41,395","18,601","19,367","360,334"
2007,"16,241","5,358","20,063","36,809","46,115","49,152","49,830","41,825","45,933","45,399","25,699","15,701","398,125"
2006,"16,422","6,144","26,486","25,616","43,623","44,013","42,363","46,542","39,746","60,434","24,815","15,695","391,899"
2005,"7,966","7,307","18,364","32,293","43,629","45,143","46,500","43,253","42,299","40,675","25,013","20,075","372,517"
2004,"8,889","7,810","17,551","18,807","43,551","44,870","54,373","43,039","78,151","49,693","24,529","14,001","405,264"
2003,"6,029","5,780","16,901","24,648","26,838","62,188","52,450","41,723","36,337","53,070","19,015","15,003","359,982"
2002,"8,904","10,200","18,386","29,182","33,329","50,893","51,485","55,885","38,339","53,860","18,393","34,160","403,016"
2001,"8,455","2,096","25,425","32,165","40,557","46,446","57,080","52,297","39,729","51,944","23,147","17,315","396,656"
2000,"8,214","9,881","13,033","39,534","55,512","52,911","53,564","49,596","45,240","51,151","17,663","14,276","410,575"
1999,"9,197","4,329","3,192","41,844","32,070","43,621","49,247","45,982","29,251","26,303","16,195","12,632","313,863"
1998,"11,834","18,377","21,706","18,413","38,686","48,769","57,246","43,167","43,111","52,529","16,502","12,698","383,038"
1997,"4,800","7,347","15,079","25,201","52,206","50,094","64,849","52,350","29,958","50,394","15,788","14,351","382,417"
1996,"1,300","6,299","13,197","28,166","48,501","52,284","41,585","56,531","37,076","51,854","16,639","15,467","368,899"
1995,"10,178","8,322","16,819","47,317","77,548","48,024","21,740","26,897","25,619","51,649","16,360","4,464","354,937"
1994,"6,657","8,294","8,794","31,784","51,871","28,983","54,602","25,043","24,524","58,238","15,224","15,517","329,531"
1993,"7,565","4,618","5,053","48,022","66,483","60,965","59,120","73,021","49,194","48,224","16,098","14,573","452,936"
1992,"10,560","15,000","25,000","50,000","42,258","36,576","28,547","40,239","55,376","61,347","17,637","10,162","392,702"
1991,"24,560","27,713","39,650","56,394","53,085","41,766","35,002","23,634","62,679","54,805","9,921","5,545","434,754"
1990,"17,502","22,793","45,381","62,559","67,088","105,844","71,832","99,392","96,092","56,987","49,565","28,486","723,521"
1989,"13,093","14,938","27,836","41,742","52,898","54,183","56,660","72,235","88,847","105,991","30,016","14,749","573,188"
1988,"10,253","11,067","26,317","37,236","37,236","58,457","58,883","53,573","47,424","54,471","21,232","16,569","432,718"
1987,"4,828","6,935","18,849","38,636","55,515","53,256","55,555","53,884","38,683","52,258","19,843","13,149","411,391"
1986,"6,173","6,924","23,298","37,996","48,916","40,424","47,990","47,006","47,311","57,314","13,483","18,762","395,597"
1985,"3,893","6,898","26,840","37,804","36,416","31,275","32,631","38,063","39,587","49,478","16,466","4,777","324,128"
1984,"2,558","6,936","17,046","24,853","49,564","47,955","50,332","51,390","44,192","60,242","18,315","9,709","383,092"
1983,"7,174","11,333","22,215","33,065","53,819","59,187","47,964","63,118","49,682","53,572","15,960","3,015","420,104"
1982,"7,360","8,043","16,162","30,711","45,308","36,723","52,699","39,662","35,401","66,911","20,699","9,257","368,936"
1981,"5,563","9,644","13,248","42,643","61,420","55,869","62,667","67,250","43,651","47,206","15,051","3,487","427,699"
1980,"8,492","9,281","27,769","30,544","52,680","48,202","49,133","49,488","32,911","47,547","15,979","5,725","377,751"
1979,"2,283","3,876","11,065","31,439","45,598","39,144","49,016","44,532","34,934","47,840","17,044","8,504","335,275"
